Battery,Brand,CPU,Color,Display,Graphics,MFG_year,Name,OS,Price,Ram,Size,Storage,URL,Weight,Wireless
"
                                                    2 cục 3 cell; có option 1 cục 6 cell (tùy từng lô hàng)                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1"" FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit                                            ","
                                                    Intel Graphics HD 520                                            ","
                                                            2016                                                    ",ThinkPad T460 i5 6300U 8GB SSD 128GB intel FHD IPS,"
                                                            Windows 10 Pro 64bit                                                    ",5.300.000đ,"
                                                    8GB DDR3L                                            ","
                                                            33.9 x 23.3 x 2.1 cm                                                    ","
                                                     128GB SSD                                            ",https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,"
                                                            1.5-1.7kg (tùy cầu hính)                                                    ",
"
                                                    3 Cell Internal + 3 Cell external                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 6600U (2 nhân 4 luồng, xung nhịp cơ bản 2.6GHz, có thể đạt tối đa 3.4GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1inch Full HD (1920 x 1080 pixels) IPS panel, màn nhám không cảm ứng, tỷ lệ 16:9, 250nits                                            ","
                                                    Intel HD Graphics 520                                            ","
                                                            2016                                                    ",ThinkPad T460s i7 6600U 8GB SSD 256GB Full HD IPS,"
                                                            Windows 10                                                    ","
                            7.200.000đ                        ","
                                                    8 GB DDR4-RAM                                            ","
                                                            33.1 x 22.6 x 1.6-1.8Cm                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/thinkpad-t460s-i7-intel-hd-graphics-520-like-new-p1931/,"
                                                            1.3-1.5kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    2 cục 3 cell; có option 1 cục 6 cell (tùy từng lô hàng)                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1"" FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit                                            ","
                                                    Intel Graphics HD 520                                            ","
                                                            2016                                                    ",ThinkPad T460 i5 6300U 16GB SSD 512GB intel FHD IPS,"
                                                            Windows 10 Pro 64bit                                                    ",6.600.000đ,"
                                                    8GB DDR3L                                            ","
                                                            33.9 x 23.3 x 2.1 cm                                                    ","
                                                     128GB SSD                                            ",https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,"
                                                            1.5-1.7kg (tùy cầu hính)                                                    ",
"
                                                    2 cục 3 cell; có option 1 cục 6 cell (tùy từng lô hàng)                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1"" FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit                                            ","
                                                    Intel Graphics HD 520                                            ","
                                                            2016                                                    ",ThinkPad T460 i5 6300U 8GB SSD 256GB intel FHD IPS,"
                                                            Windows 10 Pro 64bit                                                    ",5.600.000đ,"
                                                    8GB DDR3L                                            ","
                                                            33.9 x 23.3 x 2.1 cm                                                    ","
                                                     128GB SSD                                            ",https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,"
                                                            1.5-1.7kg (tùy cầu hính)                                                    ",
"
                                                    4-cell, 52 Wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 6600U (2 nhân 4 luồng, xung nhịp cơ bản 2.6GHz, có thể đạt tối đa 3.4GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1inch 2K IPS, không cảm ứng                                            ","
                                                    Intel HD 520                                            ","
                                                            2016                                                    ",Thinkpad X1 Carbon Gen 4 i7 6600U RAM 16GB SSD 256GB 2K IPS,"
                                                            Windows 10                                                    ","
                            10.500.000đ                        ","
                                                    16GB LPDDR3 1600MHz không nâng cấp được                                            ","
                                                            33.3cm x 22.9cm x 1.49-1.64cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/thinkpad-x1-carbon-gen-4-cpu-i7-skylake-p1710/,"
                                                            1.17kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    USB 3.0, USB 2.0, 1 DisplayPort, 1 VGA, 1 combo stereo headphone/mic jack, 1 AC power 1 RJ-45, 1 docking connector, 1 Media Card Reader                                            ","
                                                            HP                                                    ","
                                                    Intel Core i5 8350U (4 nhân 8 luồng, xung nhịp cơ bản 1.7GHz có thể đạt tối đa tới 3.6GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Platinum (bạc)                                                    ","
                                                    13.3"" FHD IPS có cảm ứng                                            ","
                                                    Intel® UHD Graphics 620                                            ","
                                                            2018                                                    ",Hp Elitebook X360 1030 G3 2-in-1 i5 8350U 8GB SSD 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ","
                            12.300.000đ                        ","
                                                    8GB DDR4 onboard                                            ",,"
                                                    256GB SSD                                            ",https://trungtran.vn/hp-elitebook-folio-x360-nhieu-cau-hinh/,,"
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell, 90whr                                            ","
                                                            Lenovo                                                    ","
                                                     Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp đơn nhân 2.6GHz và đạt tối đa turbo boost 4.3GHz, 9 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6"" 4K (3840x2160) WVA, màn nhám có cảm ứng, độ sáng 400 nits, tỷ lệ khung hình 16:9, tỷ lệ tương phản 1000:1, độ phủ màu 100%                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P2000 4GB GDDR5                                            ","
                                                            2018                                                    ",Thinkpad P52 Core i7 8850H RAM 16GB SSD 512GB P2000 4K IPS Touch,"
                                                            Windows 10                                                    ",21.300.000đ,"
                                                    16GB DDR4 2666MHz nhưng chỉ nhận tới 2400MHz                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm                                                     ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/thinkpad-p52-i7-4k-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell, 90whr                                            ","
                                                            Lenovo                                                    ","
                                                     Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp đơn nhân 2.6GHz và đạt tối đa turbo boost 4.3GHz, 9 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6"" 4K (3840x2160) WVA, màn nhám có cảm ứng, độ sáng 400 nits, tỷ lệ khung hình 16:9, tỷ lệ tương phản 1000:1, độ phủ màu 100%                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P2000 4GB GDDR5                                            ","
                                                            2018                                                    ",Thinkpad P52 Core i7 8850H RAM 32GB SSD 512GB P2000 4K IPS Touch,"
                                                            Windows 10                                                    ",23.700.000đ,"
                                                    16GB DDR4 2666MHz nhưng chỉ nhận tới 2400MHz                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm                                                     ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/thinkpad-p52-i7-4k-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell, 90whr                                            ","
                                                            Lenovo                                                    ","
                                                     Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp đơn nhân 2.6GHz và đạt tối đa turbo boost 4.3GHz, 9 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6"" 4K (3840x2160) WVA, màn nhám có cảm ứng, độ sáng 400 nits, tỷ lệ khung hình 16:9, tỷ lệ tương phản 1000:1, độ phủ màu 100%                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P2000 4GB GDDR5                                            ","
                                                            2018                                                    ",Thinkpad P52 Core i7 8850H RAM 64GB SSD 1TB P2000 4K IPS Touch,"
                                                            Windows 10                                                    ",26.700.000đ,"
                                                    16GB DDR4 2666MHz nhưng chỉ nhận tới 2400MHz                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm                                                     ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/thinkpad-p52-i7-4k-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell, 97whr                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i7 9850H (6 nhân 12 luồng, xung nhịp cơ bản 2.6GHz có thể đạt tối đa Turbo Boost 4.6GHz, 12 MB Intel® Smart Cache)                                            ","
                                                            Aluminum – Titan Gray (Xám bạc)                                                    ","
                                                    15.6″ UltraSharp FHD IGZO4, FHD (1920X1080) IPS, màn nhám, chống lóa, không cảm ứng, Premier Panel Guard, đổ phủ màu 100% sRGB                                            ","
                                                    NVIDIA Quadro T1000                                            ","
                                                            2019                                                    ",Dell Precision 5540 i7 9850H RAM 16GB SSD 512GB T1000 FHD IPS,"
                                                            Windows 10                                                    ",19.500.000đ,"
                                                    16GB DDR4 bus 2666Mhz                                            ","
                                                            35.7cm x 23.5cm x 1.15cm                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/dell-precision-5540-i7-nhieu-cau-hinh/,"
                                                            1.78kg                                                    ","
                                                            Intel Dual Band Wireless AX200 2×2 + Bluetooth 5.1                                                    "
"
                                                    4-cell, 60 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5-8365U (4 nhân 8 luồng, 6MB SmartCache, xung nhịp cơ bản 1.6 GHz, có thể đạt tới 4.1 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920 x 1080) IPS, tần số quét 60Hz, màn nhám, không cảm ứng (NHIỀU OPTION)                                            ","
                                                    Đồ họa Intel® UHD cho Bộ xử lý Intel® thế hệ thứ 8                                            ","
                                                            2019                                                    ",Dell Latitude 7400 i5-8265U/8365U 8GB SSD 240GB/256GB 14inch HD TN,"
                                                            Windows 10                                                    ",8.100.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400 (theo nhà sản xuất công bố); Có 2 khe có thể lắp tối đa tới 32GB nhận bus 2400MHz                                            ","
                                                            32.1 x 21.4 x 1.8-1.9cm                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7400-i5-intel/,"
                                                            1.35kg                                                    ","
                                                            Intel Dual-Band Wireless-AC 9560 Wi-Fi + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5-8365U (4 nhân 8 luồng, 6MB SmartCache, xung nhịp cơ bản 1.6 GHz, có thể đạt tới 4.1 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920 x 1080) IPS, tần số quét 60Hz, màn nhám, không cảm ứng (NHIỀU OPTION)                                            ","
                                                    Đồ họa Intel® UHD cho Bộ xử lý Intel® thế hệ thứ 8                                            ","
                                                            2019                                                    ",Dell Latitude 7400 i5-8265U/8365U 8GB SSD 240GB/256GB 14inch FHD IPS,"
                                                            Windows 10                                                    ",8.400.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400 (theo nhà sản xuất công bố); Có 2 khe có thể lắp tối đa tới 32GB nhận bus 2400MHz                                            ","
                                                            32.1 x 21.4 x 1.8-1.9cm                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7400-i5-intel/,"
                                                            1.35kg                                                    ","
                                                            Intel Dual-Band Wireless-AC 9560 Wi-Fi + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5-8365U (4 nhân 8 luồng, 6MB SmartCache, xung nhịp cơ bản 1.6 GHz, có thể đạt tới 4.1 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920 x 1080) IPS, tần số quét 60Hz, màn nhám, không cảm ứng (NHIỀU OPTION)                                            ","
                                                    Đồ họa Intel® UHD cho Bộ xử lý Intel® thế hệ thứ 8                                            ","
                                                            2019                                                    ",Dell Latitude 7400 i5-8265U/8365U 8GB SSD 240GB/256GB 14inch FHD IPS Touch,"
                                                            Windows 10                                                    ",8.900.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400 (theo nhà sản xuất công bố); Có 2 khe có thể lắp tối đa tới 32GB nhận bus 2400MHz                                            ","
                                                            32.1 x 21.4 x 1.8-1.9cm                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7400-i5-intel/,"
                                                            1.35kg                                                    ","
                                                            Intel Dual-Band Wireless-AC 9560 Wi-Fi + Bluetooth 5.0                                                    "
"
                                                    6 cell, Li-ion 90Wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel® Core™ i7 8850H 12 Luồng Cực Mạnh Turbo 4.3 Ghz, 9MB cache 45W                                            ","
                                                            Đen                                                    ","
                                                    15.6 inch Full HD 1920x1080 IPS                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P3200                                            ","
                                                            2018                                                    ",ThinkPad P52 i7 8850H RAM 16GB SSD 512GB P3200 Full HD IPS,"
                                                            Windows 10                                                    ",22.000.000đ,"
                                                    16GB DDR4 hoặc 32GB DDR4                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm (có độ vát dần về cạnh trước)                                                    ","
                                                    512GB M.2 PCIe NVMe SS                                            ",https://trungtran.vn/lenovo-thinkpad-p52-i7-p3200-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wifi + Bluetooth 5.0                                                    "
"
                                                    6 cell, Li-ion 90Wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel® Core™ i7 8850H 12 Luồng Cực Mạnh Turbo 4.3 Ghz, 9MB cache 45W                                            ","
                                                            Đen                                                    ","
                                                    15.6 inch Full HD 1920x1080 IPS                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P3200                                            ","
                                                            2018                                                    ",ThinkPad P52 i7 8850H RAM 32GB SSD 512GB P3200 Full HD IPS,"
                                                            Windows 10                                                    ",23.000.000đ,"
                                                    16GB DDR4 hoặc 32GB DDR4                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm (có độ vát dần về cạnh trước)                                                    ","
                                                    512GB M.2 PCIe NVMe SS                                            ",https://trungtran.vn/lenovo-thinkpad-p52-i7-p3200-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wifi + Bluetooth 5.0                                                    "
"
                                                    4 cell                                            ","
                                                            Acer                                                    ","
                                                    Intel Core i7 10750H, 2.6GHz - 5.00GHz, 12MB Cache                                            ","
                                                            Đen                                                    ","
                                                    15.6"", FHD (1920x1080), IPS, 144Hz                                            ","
                                                    NVIDIA GeForce RTX 2060 Super                                            ","
                                                            2020                                                    ",Acer Predator Helios 300 2020 i7-10750H 16GB SSD 512GB NVIDIA GeForce RTX 2060 FHD IPS,"
                                                            Windows 10                                                    ","
                            17.500.000đ                        ","
                                                    16GB DDR4 3200MHz                                            ",,"
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/acer-predator-helios-300-2020-i7-nhieu-cau-hinh/,,
"
                                                    4-cell, 52WHr                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5 8350U (4 nhân 8 luồng, xung nhịp cơ bản 1.7GHz có thể đạt tối đa tới 3.6GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Platinum (bạc)                                                    ","
                                                    13.3-inch FHD (1920 x 1080) InfinityEdge display, 400nits, màn nhám, không cảm ứng                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2019                                                    ",Dell XPS 9380 i5-8365U 8GB SSD 256GB FHD IPS,"
                                                            Windows 10                                                    ","
                            12.790.000đ                        ","
                                                    8GB LPDDR3 2133MHz                                            ","
                                                            30.1 x 19.9 x 0.7 - 1.2cm                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/dell-xps-9380-i5-intel/,"
                                                            1.27kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6 Cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Xeon E3-1505M v5 (4 nhân 8 luồng, xung nhịp cơ bản 2.8GHz có thể đạt tối đa tới 3.7GHz với Turbo Boost, 8MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6 inch FHD (1920 x 1080) IPS Anti-Glare, có cảm ứng                                            ","
                                                    Intel® HD Graphics P530 + Nvidia Quadro M2000M 4GB                                            ","
                                                            2017                                                    ",ThinkPad P50 Xeon 16GB 512GB M2000M Full HD IPS Touch,"
                                                            Windows 10                                                    ",15.000.000đ,"
                                                    16GB DDR4 2133Mhz                                            ","
                                                            37.7 x 25.2 x 2.6-3.1m                                                    ","
                                                    512GB SSD                                             ",https://trungtran.vn/thinkpad-p50-xeon-nvidia-quadro-p1903/,"
                                                            2.8-2.9kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6 Cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Xeon E3-1505M v5 (4 nhân 8 luồng, xung nhịp cơ bản 2.8GHz có thể đạt tối đa tới 3.7GHz với Turbo Boost, 8MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6 inch FHD (1920 x 1080) IPS Anti-Glare, có cảm ứng                                            ","
                                                    Intel® HD Graphics P530 + Nvidia Quadro M2000M 4GB                                            ","
                                                            2017                                                    ",ThinkPad P50 Xeon 32GB 512GB M2000M Full HD IPS Touch,"
                                                            Windows 10                                                    ",16.000.000đ,"
                                                    16GB DDR4 2133Mhz                                            ","
                                                            37.7 x 25.2 x 2.6-3.1m                                                    ","
                                                    512GB SSD                                             ",https://trungtran.vn/thinkpad-p50-xeon-nvidia-quadro-p1903/,"
                                                            2.8-2.9kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6 Cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Xeon E3-1505M v5 (4 nhân 8 luồng, xung nhịp cơ bản 2.8GHz có thể đạt tối đa tới 3.7GHz với Turbo Boost, 8MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6 inch FHD (1920 x 1080) IPS Anti-Glare, có cảm ứng                                            ","
                                                    Intel® HD Graphics P530 + Nvidia Quadro M2000M 4GB                                            ","
                                                            2017                                                    ",ThinkPad P50 Xeon 64GB 512GB M2000M Full HD IPS Touch,"
                                                            Windows 10                                                    ",18.000.000đ,"
                                                    16GB DDR4 2133Mhz                                            ","
                                                            37.7 x 25.2 x 2.6-3.1m                                                    ","
                                                    512GB SSD                                             ",https://trungtran.vn/thinkpad-p50-xeon-nvidia-quadro-p1903/,"
                                                            2.8-2.9kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6 Cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Xeon E3-1505M v5 (4 nhân 8 luồng, xung nhịp cơ bản 2.8GHz có thể đạt tối đa tới 3.7GHz với Turbo Boost, 8MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6 inch FHD (1920 x 1080) IPS Anti-Glare, có cảm ứng                                            ","
                                                    Intel® HD Graphics P530 + Nvidia Quadro M2000M 4GB                                            ","
                                                            2017                                                    ",ThinkPad P50 Xeon 64GB SSD 512GB + SSD 512 M2000M Full HD IPS Touch,"
                                                            Windows 10                                                    ",19.000.000đ,"
                                                    16GB DDR4 2133Mhz                                            ","
                                                            37.7 x 25.2 x 2.6-3.1m                                                    ","
                                                    512GB SSD                                             ",https://trungtran.vn/thinkpad-p50-xeon-nvidia-quadro-p1903/,"
                                                            2.8-2.9kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    3-cell, 50wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i7 10510U (4 nhân 8 luồng, xung nhịp đơn nhân 1.8GHz, tối đa có thể đạt tới 4.9GHz Turbo Boost đa nhân, 8 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FHD IPS (1920x1080), màn nhám không cảm ứng, độ sáng màn hình 250nits, tần số quét màn 60Hz, độ phủ màu 45% NTSC, tỉ lệ màn hình 16:9, tỷ lệ tương phản ánh sáng 700:1                                            ","
                                                    Intel UHD Graphics + NVIDIA GeForce MX330 2GB GDDR5                                            ","
                                                            2010                                                    ",ThinkPad T14 Gen 1 i7-10510U 16GB SSD 512GB MX330 FHD IPS,"
                                                            Windows 10                                                    ","
                            16.500.000đ                        ","
                                                    16 GB DDR4 2666MHz                                            ","
                                                            32.9cm x 22.7cm x 1.79cm                                                    ","
                                                    512 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/thinkpad-t14-gen-1-i7-nhieu-cau-hinh/,"
                                                            1.47-1.55kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    Xem trong bài viết                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5 11320H (4 nhân 8 luồng, tần số xung nhịp cơ bản 2.3GHz – tối đa Turbo boost có thể đạt 4.5GHz, 8MB Smart Cache)                                            ","
                                                            Platinum Silver (bạc)                                                    ","
                                                    13.3"" FHD+ (1920X1200), WVA, không cảm ứng, 300nits, 100% sRGB                                            ","
                                                    Intel® Iris® Xe Graphics                                            ","
                                                            2021                                                    ",Dell Inspiron 5310 i5 11320H 16GB SSD 512GB Intel FHD+ Like New,"
                                                            Windows 10                                                    ",13.800.000đ,"
                                                    16gb không nâng cấp được                                            ","
                                                            29.6 x 21 x 1.4-1.6cm                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/dell-inspiron-5310-i5-nhieu-cau-hinh/,"
                                                            1.28kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.1                                                    "
"
                                                    Xem trong bài viết                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5 11320H (4 nhân 8 luồng, tần số xung nhịp cơ bản 2.3GHz – tối đa Turbo boost có thể đạt 4.5GHz, 8MB Smart Cache)                                            ","
                                                            Platinum Silver (bạc)                                                    ","
                                                    13.3"" FHD+ (1920X1200), WVA, không cảm ứng, 300nits, 100% sRGB                                            ","
                                                    Intel® Iris® Xe Graphics                                            ","
                                                            2021                                                    ",Dell Inspiron 5310 i5 11320H 16GB SSD 512GB Intel FHD+ Open box,"
                                                            Windows 10                                                    ",14.800.000đ,"
                                                    16gb không nâng cấp được                                            ","
                                                            29.6 x 21 x 1.4-1.6cm                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/dell-inspiron-5310-i5-nhieu-cau-hinh/,"
                                                            1.28kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.1                                                    "
