Battery,Brand,CPU,Color,Display,Graphics,MFG_year,Name,OS,Price,Ram,Size,Storage,URL,Weight,Wireless
"
                                                    2 cục 3 cell; có option 1 cục 6 cell (tùy từng lô hàng)                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1"" FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit                                            ","
                                                    Intel Graphics HD 520                                            ","
                                                            2016                                                    ",ThinkPad T460 i5 6300U 16GB SSD 512GB intel FHD IPS,"
                                                            Windows 10 Pro 64bit                                                    ",6.600.000đ,"
                                                    8GB DDR3L                                            ","
                                                            33.9 x 23.3 x 2.1 cm                                                    ","
                                                     128GB SSD                                            ",https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,"
                                                            1.5-1.7kg (tùy cầu hính)                                                    ",
"
                                                    2 cục 3 cell; có option 1 cục 6 cell (tùy từng lô hàng)                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1"" FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit                                            ","
                                                    Intel Graphics HD 520                                            ","
                                                            2016                                                    ",ThinkPad T460 i5 6300U 8GB SSD 256GB intel FHD IPS,"
                                                            Windows 10 Pro 64bit                                                    ",5.600.000đ,"
                                                    8GB DDR3L                                            ","
                                                            33.9 x 23.3 x 2.1 cm                                                    ","
                                                     128GB SSD                                            ",https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,"
                                                            1.5-1.7kg (tùy cầu hính)                                                    ",
"
                                                    6-cell, 90whr                                            ","
                                                            Lenovo                                                    ","
                                                     Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp đơn nhân 2.6GHz và đạt tối đa turbo boost 4.3GHz, 9 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6"" 4K (3840x2160) WVA, màn nhám có cảm ứng, độ sáng 400 nits, tỷ lệ khung hình 16:9, tỷ lệ tương phản 1000:1, độ phủ màu 100%                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P2000 4GB GDDR5                                            ","
                                                            2018                                                    ",Thinkpad P52 Core i7 8850H RAM 16GB SSD 512GB P2000 4K IPS Touch,"
                                                            Windows 10                                                    ",21.300.000đ,"
                                                    16GB DDR4 2666MHz nhưng chỉ nhận tới 2400MHz                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm                                                     ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/thinkpad-p52-i7-4k-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell, 90whr                                            ","
                                                            Lenovo                                                    ","
                                                     Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp đơn nhân 2.6GHz và đạt tối đa turbo boost 4.3GHz, 9 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6"" 4K (3840x2160) WVA, màn nhám có cảm ứng, độ sáng 400 nits, tỷ lệ khung hình 16:9, tỷ lệ tương phản 1000:1, độ phủ màu 100%                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P2000 4GB GDDR5                                            ","
                                                            2018                                                    ",Thinkpad P52 Core i7 8850H RAM 32GB SSD 512GB P2000 4K IPS Touch,"
                                                            Windows 10                                                    ",23.700.000đ,"
                                                    16GB DDR4 2666MHz nhưng chỉ nhận tới 2400MHz                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm                                                     ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/thinkpad-p52-i7-4k-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell, 90whr                                            ","
                                                            Lenovo                                                    ","
                                                     Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp đơn nhân 2.6GHz và đạt tối đa turbo boost 4.3GHz, 9 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    15.6"" 4K (3840x2160) WVA, màn nhám có cảm ứng, độ sáng 400 nits, tỷ lệ khung hình 16:9, tỷ lệ tương phản 1000:1, độ phủ màu 100%                                            ","
                                                    Intel UHD Graphics 630 + NVidia Quadro P2000 4GB GDDR5                                            ","
                                                            2018                                                    ",Thinkpad P52 Core i7 8850H RAM 64GB SSD 1TB P2000 4K IPS Touch,"
                                                            Windows 10                                                    ",26.700.000đ,"
                                                    16GB DDR4 2666MHz nhưng chỉ nhận tới 2400MHz                                            ","
                                                            37.7cm x 25.2cm x 2.4-2.9cm                                                     ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/thinkpad-p52-i7-4k-nhieu-cau-hinh/,"
                                                            2.45kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    4-cell, 57wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i7-1185G7 (4 nhân 8 luồng, có thể đạt xung nhịp tối đa turbo boost tới 4.8GHz, 12MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FHD+ (1920x1200) IPS, LED backlit, có cảm ứng, 400 nits, 100% sRGB, low blue light, low power                                            ","
                                                     Đồ họa Intel® Iris® Xe                                            ","
                                                            2021                                                    ",Thinkpad X1 Carbon Gen 9 i7-1185G7 16GB SSD 256GB Intel FHD+ IPS Touch,"
                                                            Windows 10                                                    ","
                            25.800.000đ                        ","
                                                    16GB LPDDR4x-4266, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            31.5 x 22.2 x 1.5cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất                                            ",https://trungtran.vn/thinkpad-x1-carbon-gen-9-i7-nhieu-cau-hinh/,"
                                                            1.13kg                                                    ","
                                                            Intel® Wi-Fi 6 + Bluetooth 5.1                                                    "
"
                                                    3-cell, 51wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i7-10610U (4 nhân 8 luồng, xung nhịp đơn nhân 1.8GHz và đạt tối đa turbo boost 4.9GHz, 8MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920×1080) IPS, LED backlight, màn nhám, cảm ứng, 400 nits, tỷ lệ màn hình 16:9, độ tương phản 700:1, độ phủ màu 72% NTSC                                            ","
                                                    Intel UHD Graphics                                            ","
                                                            2020                                                    ",Thinkpad X1 Carbon Gen 8 i7-10610U 16GB SSD 512GB FHD IPS Touch,"
                                                            Windows 10                                                    ","
                            17.900.000đ                        ","
                                                    16GB LPDDR3-2133, không hỗ trợ nâng cấp                                            ","
                                                            32.3 x 21.7 x 1.49 cm                                                    ","
                                                    512 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/thinkpad-x1-carbon-gen-8-i7-intel/,"
                                                            1.09kg                                                    ","
                                                            Intel Wireless-AC 8265 2×2 AC + Bluetooth                                                    "
"
                                                    4-cell, 60 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-8665U (4 nhân 8 luồng, 8M SmartCache, xung nhịp cơ bản 1.9 GHz, có thể đạt tới 4.8 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920 x 1080) IPS, có cảm ứng, độ sáng màn 300 nits, tần số quét 60Hz                                            ","
                                                    Intel® UHD 620 onboard                                            ","
                                                            2018                                                    ",Dell Latitude 7400 core i7 8665U RAM 8GB SSD 256GB FHD IPS,"
                                                            Windows 10                                                    ",9.400.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400 (theo nhà sản xuất công bố); Có 2 khe có thể lắp tối đa tới 32GB nhận bus 2400MHz                                            ","
                                                            32.1 x 21.4 x 1.8-1.9cm                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7400-i7-nhieu-cau-hinh/,"
                                                            1.35kg                                                    ","
                                                            Intel Dual-Band Wireless-AC 9560 Wi-Fi + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-8665U (4 nhân 8 luồng, 8M SmartCache, xung nhịp cơ bản 1.9 GHz, có thể đạt tới 4.8 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920 x 1080) IPS, có cảm ứng, độ sáng màn 300 nits, tần số quét 60Hz                                            ","
                                                    Intel® UHD 620 onboard                                            ","
                                                            2018                                                    ",Dell Latitude 7400 core i7 8665U RAM 8GB SSD 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ",9.900.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400 (theo nhà sản xuất công bố); Có 2 khe có thể lắp tối đa tới 32GB nhận bus 2400MHz                                            ","
                                                            32.1 x 21.4 x 1.8-1.9cm                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7400-i7-nhieu-cau-hinh/,"
                                                            1.35kg                                                    ","
                                                            Intel Dual-Band Wireless-AC 9560 Wi-Fi + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-8665U (4 nhân 8 luồng, 8M SmartCache, xung nhịp cơ bản 1.9 GHz, có thể đạt tới 4.8 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920 x 1080) IPS, có cảm ứng, độ sáng màn 300 nits, tần số quét 60Hz                                            ","
                                                    Intel® UHD 620 onboard                                            ","
                                                            2018                                                    ",Dell Latitude 7400 core i7 8665U RAM 16GB SSD 256GB FHD IPS,"
                                                            Windows 10                                                    ",9.900.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400 (theo nhà sản xuất công bố); Có 2 khe có thể lắp tối đa tới 32GB nhận bus 2400MHz                                            ","
                                                            32.1 x 21.4 x 1.8-1.9cm                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7400-i7-nhieu-cau-hinh/,"
                                                            1.35kg                                                    ","
                                                            Intel Dual-Band Wireless-AC 9560 Wi-Fi + Bluetooth 5.0                                                    "
