Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,Color,Weight,Battery,Brand
Lenovo Ideapad 3 15 (AMD),9990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2021/9/9/lenovo-ideapad-5-15-amdjpg,https://thinkpro.vn/laptop/lenovo-ideapad-3-15-amd-6471,"AMD AMD 3000, 2C/4T",4GB DDR4 2400MHz,256GB (M.2 NVMe),AMD Radeon Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Mới, Full box, Nhập khẩu",Plantium Grey,1.6kg,Battery,LENOVO
Dell Vostro 5620,16990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/9/dell-vostro-5620-thinkpro.jpg,https://thinkpro.vn/laptop/dell-vostro-5620-6375,"Intel Core i5 1240P, 12C/16T",8GB DDR4 3200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 1920 x 1200px, 60Hz","Mới, Full box, Nhập khẩu",Gray,1.95kg,Battery,DELL
Dell Latitude 14 7400 2 in 1,11990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/1/dell-latitude-14-7400-2-in-1-thinkpro-1.png,https://thinkpro.vn/laptop/dell-latitude-14-7400-2-in-1-6588,"Intel Core i7 8665U, 4C/8T",8GB LPDDR3 2133MHz,256GB (,Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Silver,1.36kg,Battery,DELL
Dell XPS 13 9310 2-in-1,22390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2020/10/3/xps93102-1s_00.jpg,https://thinkpro.vn/laptop/dell-xps-13-9310-2-in-1-6399,"Intel Core i7 1165G7, 4C/8T",16GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Silver,1.32kg,Battery,DELL
LG Gram 17 2022 (17Z90Q-G.AH74A5),37990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/8/3/LG-Gram-17-2022-ThinkPro-1.jpg,https://thinkpro.vn/laptop/lg-gram-17-2022-4478,"Intel Core i7 1260P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"17 inch, 2560 x 1600px, 60Hz","Mới, Full box, Chính hãng",White,1.35kg,Battery,LG
Lenovo Legion Pro 5 2023 (Y9000P),38990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/12/lenovo-legion-5-pro-2023-thinkpro-1.png,https://thinkpro.vn/laptop/lenovo-legion-pro-5-2023-6654,"AMD Ryzen 7 7745HX, 8C/16T",16GB DDR5 5600MHz,1024GB (M.2 NVMe),AMD Radeon 610M,"16 inch, 2560 x 1600px, 240Hz","Mới, Sealed, Nhập khẩu",Storm Grey,2.5kg,Battery,LENOVO
HP Envy 14 2 in 1 2023,16790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/16/hp-envy-14-2-in-1-2023-thinkpro-UnQ.jpg,https://thinkpro.vn/laptop/hp-envy-14-2-in-1-2023-6745,"Intel Core i5 1335U, 10C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px,","Mới, Sealed, Nhập khẩu",Silver,1.81kg,Battery,HP
Lenovo ThinkPad P16,42990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/17/lenovo-yoga-9i-thinkpro-xoz.jpg,https://thinkpro.vn/laptop/lenovo-yoga-9-6754,"Intel Core i7 12800HX, 16C/24T",32GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Carbon Black,2.95kg,Battery,LENOVO
GIGABYTE G5 2022 (Chính hãng) (ME-51VN263SH),21450000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/20/gigabyte-g5-2022-thinkpro-01.jpg,https://thinkpro.vn/laptop/gigabyte-g5-2022-chinh-hang-6008,"Intel Core i5 12500H, 12C/16T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Mới, Full box, Chính hãng",Black,1.9kg,Battery,GIGABYTE
Dell Precision 7670,49990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/dell-precision-7670-thinkpro-thumb.png,https://thinkpro.vn/laptop/dell-precision-7670-5985,"Intel Core i7 12850HX, 16C/24T",32GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 1920 x 1200px, 60Hz","Mới, Full box, Nhập khẩu",Xám bạc,2.6kg,Battery,DELL
HP Pavilion 14 x360 2022,12390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/8/hp-pavilion-14-x360-2022-thinkpro-01.png,https://thinkpro.vn/laptop/hp-pavilion-14-x360-2022-6352,"Intel Core i3 1215U, 6C/8T",8GB DDR4 3200MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14 inch, 1920 x 1080px, 60Hz","Mới, Full box, Nhập khẩu",Space Blue,1.48kg,Battery,HP
Dell Inspiron 15 3520,15990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/10/dell-insprion-15-3520-thinkpro-10.jpg,https://thinkpro.vn/laptop/dell-inspiron-15-3520-6290,"Intel Core i5 1235U, 10C/12T",16GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Mới, Sealed, Nhập khẩu",Carbon Black,1.68kg,Battery,DELL
Dell Gaming G15 5525 (Chính hãng) (P105F009),26690000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/12/9/laptop-gaming-dell-g15-5525-thinkpro-01.png,https://thinkpro.vn/laptop/dell-gaming-g15-5525-5850,"AMD Ryzen 5 6600H, 6C/12T",8GB DDR5 4800MHz,512GB (NVMe),AMD Radeon Graphics 660M,"15.6 inch, 1920 x 1080px, 120Hz","Mới, Full box, Chính hãng",Xám đen,2.72kg,Battery,DELL
Dell Gaming G15 5520 (Chính hãng) (P105F007),38990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/12/9/dell-gaming-g15-5520-thinkpro-01.png,https://thinkpro.vn/laptop/dell-gaming-g15-5520-5851,"Intel Core i7 12700H, 14C/20T",16GB DDR5 4800MHz,512GB (,Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 165Hz","Mới, Full box, Chính hãng",Xám đen,2.67kg,Battery,DELL
Lenovo ThinkBook 13X Gen 2,22990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/12/19/lenovo-thinkbook-13x-g2-thinkpro-01.png,https://thinkpro.vn/laptop/lenovo-thinkbook-13x-gen-2-5925,"Intel Core i5 1235U, 10C/12T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3 inch, 2560 x 1600px, 60Hz","Mới, Sealed, Nhập khẩu",Cloud Grey,1.21kg,Battery,LENOVO
Lenovo IdeaPad 5 Pro 14 ARH5R (XiaoxinPro),18390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/6/7/lenovo-ideapad-5-pro-14-arh5r-xiaoxinpro-thinkpro-0Nj.jpg,https://thinkpro.vn/laptop/lenovo-ideapad-5-pro-14-arh5r-xiaoxinpro-6875,"AMD Ryzen 7 6800HS, 8C/16T",16GB LPDDR5 5200MHz,512GB (,Intel Iris Xe Graphics,"14 inch, 2880 × 1800px, 120Hz","Used, Nhập khẩu",Black,1.46kg,Battery,LENOVO
Lenovo ThinkPad X1 Yoga Gen 8,39990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/18/lenovo-thinkpad-x1-yoga-gen-8-thinkpro-2AG.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-yoga-gen-8-5951,"Intel Core i5 1340P, 12C/16T",16GB LPDDR5X 6400MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 60Hz","Outlet, Nhập khẩu",Storm Grey,1.38kg,Battery,LENOVO
Lenovo Slim 7 ProX,27990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/12/23/yoga-slim-7-prox-14arh7.png,https://thinkpro.vn/laptop/lenovo-slim-7-prox-6150,"AMD Ryzen 9 6900HS, 8C/16T",32GB LPDDR5 6400MHz,1024GB (M.2 NVMe),AMD Radeon 680M,"14.5 inch, 3072 x 1920px, 120Hz","Used, Nhập khẩu",Grey,1.45kg,Battery,LENOVO
Microsoft Surface Laptop 4 15,14990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/28/microsoft-surface-laptop-4-15-thinkpro-7U3.png,https://thinkpro.vn/laptop/microsoft-surface-laptop-4-15-6648,"AMD Ryzen 7 4980U, 8C/16T",8GB LPDDR4X,256GB (M.2 NVMe),AMD Radeon Graphics,"15 inch, 2496 x 1664px, 60Hz","Outlet, Nhập khẩu",Platium Silver,1.54kg,Battery,MICROSOFT
HP Envy 13 X360 2022,16990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/31/hp-envy-13-x360-2022-thinkpro-O0F.jpg,https://thinkpro.vn/laptop/hp-envy-13-x360-2022-5990,"Intel Core i7 1255U, 10C/12T",8GB DDR4 3200MHz,512GB (,Intel Iris Xe Graphics,"44998 inch, 1920 x 1080px,","Mới, Full box, Nhập khẩu",Nature Silver,1.33kg,Battery,HP
Lenovo ThinkPad T490,10690000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/31/lenovo-thinkpad-t490-thinkpro-MqF.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-t490-6456,"Intel Core i5 8265U, 4C/8T",16GB DDR4 2400MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Black,1.45kg,Battery,LENOVO
Lenovo ThinkPad X12 Detachable,27990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/24/lenovo-thinkpad-x12-thinkpro-1.png,https://thinkpro.vn/laptop/lenovo-thinkpad-x12-detachable-2174,"Intel Core i7 1160G7, 4C/8T",16GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"12.3 inch, 1920 x 1280px, 60Hz","Mới, Sealed, Nhập khẩu",Đen,0.76kg,Battery,LENOVO
Lenovo ThinkBook 14P Gen 2,17390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/3/23/Lenovo ThinkBook 14P Gen 2 ACH.png,https://thinkpro.vn/laptop/lenovo-thinkbook-14p-gen-2-6744,"AMD Ryzen 7 5800H, 8C/16T",16GB  3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2240 x 1400px, 60Hz","Mới, Sealed, Nhập khẩu",Mineral Gray,45017kg,Battery,LENOVO
Lenovo ThinkPad T14 Gen 2 (Intel) (Vỏ kim loại),15990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/1/9/lenovo-thinkpad-t14-gen 2-intel-thinkpro-01.png,https://thinkpro.vn/laptop/lenovo-thinkpad-t14-gen-2-intel-6590,"Intel Core i5 1145G7, 4C/8T",16GB DDR4 3200MHz,512GB (,Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Silver,1.53kg,Battery,LENOVO
Lenovo ThinkBook 14 G4+ (AMD),18990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/6/29/ThinkBook-14-G4-111.jpg,https://thinkpro.vn/laptop/lenovo-thinkbook-14-g4-amd-6434,"AMD AMD 6000, 6C/12T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),AMD Radeon 660M Graphics,"14 inch, 2880 x 1800px, 90Hz","Mới, Full box, Nhập khẩu",Mineral Gray,1.43kg,Battery,LENOVO
Acer Predator Triton 300 SE (2022),28490000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/12/acer-predator-triton-300-se-2022-thinkpro-zXF.jpg,https://thinkpro.vn/laptop/acer-predator-triton-300-se-2022-6735,"Intel Core i7 12700H, 14C/20T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 165Hz","Mới, Sealed, Nhập khẩu",Titanium Gray,1.7kg,Battery,ACER
LG Gram 15 2022,25990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/15/D_01.jpeg,https://thinkpro.vn/laptop/lg-gram-15-2022-5548,"Intel Core i7 1260P, 8C/12T",16GB LPDDR5 5200MHz,1024GB (NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Mới, Full box, Nhập khẩu",Đen,1.15kg,Battery,LG
HP Elitebook 840 G7,13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/6/6/hp-elitebook-840-g7-thinkpro-Tkl.jpg,https://thinkpro.vn/laptop/hp-elitebook-840-g7-195,"Intel Core i7 10610U, 4C/8T",16GB DDR4 2666MHz,512GB (M.2 NVMe),Intel UHD Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Silver,1.33kg,Battery,HP
Lenovo Yoga Slim 7 (Slim 7 14IAP7),19990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/3/lenovo-yoga-slim-7-pro-g7-2022-thinkpro-2.jpg,https://thinkpro.vn/laptop/lenovo-yoga-slim-7-5996,"Intel Core i7 1260P, 12C/16T",16GB LPDDR5 4800MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2560 x 1600px, 90Hz","Outlet, Nhập khẩu",Plantium Silver,1.4kg,Battery,LENOVO
Dell Inspiron 14 7415 2 in 1,13690000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2021/9/19/dell-inspiron-14-7405jpg,https://thinkpro.vn/laptop/dell-inspiron-14-7415-2-in-1-6739,"Intel Core i5 1135G7, 4C/8T",8GB DDR4 3200MHz,(,Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Dark Grey,1.35kg,Battery,DELL
Dell Inspiron 14 7400 (INS0088956-R0017608-SA),13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/1/dell-alienware-x14-thinkpro-01-thinkpro-01.png,https://thinkpro.vn/laptop/dell-alienware-x14-6795,"Intel Core i5 1135G7, 4C/8T",8GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14.5 inch, 2560 x 1600px, 60Hz","Used, Nhập khẩu",Black,1.35kg,Battery,DELL
Lenovo ThinkPad P1 Gen 3 (20TJS07200),26990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/28/lenovo-thinkpad-p1-gen-3-thinkpro-01.png,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-3-4493,"Intel Core i7 10750H, 6C/12T",16GB DDR4 2933MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Black,1.7kg,Battery,LENOVO
Dell Latitude 9420,19990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/6/1/dell-latitude-9420-thinkpro-tN4.jpg,https://thinkpro.vn/laptop/dell-latitude-9420-2414,"Intel Core i7 1185G7, 4C/8T",16GB LPDDR4X 4266MHz,512GB (,Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 60Hz","Outlet, Nhập khẩu",Silver,1.27kg,Battery,DELL
Dell XPS 15 9510,31990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/dell-xps-13-9370-thinkpro-01.jpg,https://thinkpro.vn/laptop/dell-xps-15-9510-4519,"Intel Core i7 11800H, 8C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Sliver,2.04kg,Battery,DELL
Dell Inspiron 13 5320 (Intel Gen 12th),19390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/21/dell-inspiron-13-5320-thinkpro-01.png,https://thinkpro.vn/laptop/dell-inspiron-13-5320-intel-gen-12th-5485,"Intel Core i5 1240P, 12C/16T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3 inch, 2560 x 1600px, 60Hz","Mới, Full box, Nhập khẩu",Platium Grey,1.25kg,Battery,DELL
Dell Gaming G15 5525,19990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/18/2655_f789755420_sp_11492918.jpeg,https://thinkpro.vn/laptop/dell-gaming-g15-5525-6849,"AMD Ryzen 6600H, 6C/12T",8GB DDR5 4800MHz,512GB (M.2 NVMe),AMD Radeon,"15.6 inch, 1920 x 1080px, 120Hz","Mới, Sealed, Nhập khẩu",Shadow Grey,2.72kg,Battery,DELL
Lenovo ThinkPad X13 Gen 3,24990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/1/lenovo-thinkpad-x13-gen-3-thinkpro-01.png,https://thinkpro.vn/laptop/lenovo-thinkpad-x13-gen-3-6285,"Intel Core i5 1245U, 10C/12T",16GB LPDDR5 4800MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3 inch, 1920 x 1200px, 60Hz","Mới, Full box, Nhập khẩu",Black,1.19kg,Battery,LENOVO
Acer Swift 3,12990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/6/8/Acer-Swift-3-14-AMD-(Chinh-hang)-(SF314-43-R4X3)-001.jpeg,https://thinkpro.vn/laptop/acer-swift-3-4245,"AMD AMD 5000, 8C/16T",8GB LPDDR4X 4266MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"14 inch, 1920 x 1080px, 60Hz","Outlet, Nhập khẩu",Silver,1.19kg,Battery,ACER
Dell Vostro 7620,24790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/1/dell-vostro-7620-thinkpro-1.png,https://thinkpro.vn/laptop/dell-vostro-7620-6503,"Intel Core i7 12700H, 14C/20T",8GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 1920 x 1080px, 60Hz","Outlet, Nhập khẩu",Shadow Grey,1.96kg,Battery,DELL
Dell Inspiron 15 3525,15990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/26/dell-inspiron-15-3525-thinkpro-01.jpg,https://thinkpro.vn/laptop/dell-inspiron-15-3525-5405,"AMD AMD 5000, 8C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Outlet, Nhập khẩu",Platium Silver,1.68kg,Battery,DELL
Dell Inspiron 16 Plus 7620,24790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/26/dell-inspiron-16-7620-thinkpro-01.jpg,https://thinkpro.vn/laptop/dell-inspiron-16-plus-7620-6383,"Intel Core i7 12700H, 14C/20T",40GB DDR5 4800MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 3072 x 1920px, 60Hz","Outlet, Nhập khẩu",Dark Green,2.05kg,Battery,DELL
Dell XPS 15 9500,29990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2021/2/18/dellxps9500sil-00jpg,https://thinkpro.vn/laptop/dell-xps-15-9500-6697,"Intel Core i7 10750H, 6C/12T",32GB DDR4 2933MHz,1024GB (,Intel UHD 630,"15.6 inch, 3840 x 2400px, 60Hz","Used, Nhập khẩu",Platinum Silver,1.83kg,Battery,DELL
Acer Swift 3 2022 (Intel),13490000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/1/acer-swift-3-2022-thinkpro-01.png,https://thinkpro.vn/laptop/acer-swift-3-2022-intel-5472,"Intel Core i5 1240P, 12C/16T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Outlet, Nhập khẩu",Pure Silver,1.2kg,Battery,ACER
Lenovo ThinkBook 16P NX ARH,28990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/7/27/ThinkBook-16p-NX-ARH-ThinkPro-01.jpg,https://thinkpro.vn/laptop/lenovo-thinkbook-16p-nx-arh-4790,"AMD AMD 6000, 8C/16T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),AMD Radeon 680M,"16 inch, 2560 x 1600px, 120Hz","Mới, Full box, Nhập khẩu",Arctic Grey,1.9kg,Battery,LENOVO
Lenovo ThinkPad T14 Gen 3 (Intel),18790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/lenovo-thinkpad-t14-gen-3-thinkpro-1.png,https://thinkpro.vn/laptop/lenovo-thinkpad-t14-gen-3-intel-6439,"Intel Core i5 1235U, 10C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Black,1.21kg,Battery,LENOVO
Dell XPS 13 9305,18990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/dell-xps-13-9305-thinkpro-01.jpg,https://thinkpro.vn/laptop/dell-xps-13-9305-4817,"Intel Core i7 1165G7, 4C/8T",8GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Platinum Silver,1.16kg,Battery,DELL
Dell Insprion 16 7620 2-in-1,22990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/19/inspiron-16-7620-2-in-1-thinkpro.jpg,https://thinkpro.vn/laptop/dell-insprion-16-7620-2-in-1-5080,"Intel Core i7 1260P, 12C/16T",16GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 1920 x 1200px, 60Hz","Outlet, Nhập khẩu",Platium Silver,2.17kg,Battery,DELL
Dell XPS 13 9300,17990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/3/dell-xps-13-9300-thinkpro-1.jpg,https://thinkpro.vn/laptop/dell-xps-13-9300-3078,"Intel Core i5 1035G1, 4C/8T",8GB LPDDR4X 3733MHz,256GB (M.2 NVMe),Intel UHD Graphics,"13.4 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Platium Silver,1.3kg,Battery,DELL
Lenovo ThinkPad T480s,10390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/17/lenovo-thinkpad-t480s-thinkpro-jSD.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-t480s-492,"Intel Core i5 8350U, 4C/8T",16GB DDR4 2400MHz,256GB (M.2 NVMe),Intel UHD 620,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Black,1.31kg,Battery,LENOVO
Lenovo Thinkpad T14,10990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/Lenovo-Thinkpad-T14-thinkpro-01.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-t14-6526,"Intel Core i5 10310U, 4C/8T",8GB DDR4 2666MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Black,1.47kg,Battery,LENOVO
Dell Inspiron 14 5415,13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2021/10/22/dell-inspiron-14-5415jpg,https://thinkpro.vn/laptop/dell-inspiron-14-5415-3110,"AMD AMD 5000, 6C/12T",8GB DDR4 3200MHz,256GB (M.2 NVMe),AMD Radeon Graphics,"14 inch, 1920 x 1080px, 60Hz","Mới, Sealed, Nhập khẩu",Plantium,1.44kg,Battery,DELL
Surface Laptop 3 15,12790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/surface-laptop-3-15inch-thinkpro-01.png,https://thinkpro.vn/laptop/surface-laptop-3-15-704,"AMD AMD 3000, 4C/8T",8GB DDR4 2400MHz,128GB (M.2 NVMe),Radeon RX Vega 9 Graphics,"15 inch, 2256 x 1504px, 60Hz","Outlet, Nhập khẩu",Platium Silver,1.29kg,Battery,MICROSOFT
Microsoft Surface Pro 8,17990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/microsoft-surface-pro-8-thinkpro-01.jpg,https://thinkpro.vn/laptop/microsoft-surface-pro-8-6882,"Intel Core i5 1135G7, 4C/8T",8GB LPDDR4X 4267MHz,128GB (M.2 NVMe),Intel Iris Xe Graphics,"13 inch, 2880 x 1920px, 120Hz","Used, Nhập khẩu",Plantium Silver,0.891kg,Battery,MICROSOFT
Lenovo ThinkPad X13 Gen 2 (AMD),31990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/2/lenovo-thinkpad-x13-gen2.png,https://thinkpro.vn/laptop/lenovo-thinkpad-x13-gen-2-amd-3516,"AMD Ryzen 5 Pro 5650U, 6C/12T",16GB LPDDR4X 4266MHz,512GB (,Intel Iris Xe Graphics,"44998 inch, 1920 x 1200px, 60Hz","Mới, Sealed, Nhập khẩu",Off Black,1.34kg,Battery,LENOVO
Dell Inspiron 13 5310,13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/7/11/Dell-Inspiron-13-5310-002.jpg,https://thinkpro.vn/laptop/dell-inspiron-13-5310-4270,"Intel Core i5 11320H, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Silver Grey,1.28kg,Battery,DELL
