Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,Color,Weight,Battery,Brand
Dell XPS 13 2 in 1 9315 (2022),27990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/29/dell-xps-13-2-in-1-9315-2022-thinkpro-VVQ.png,https://thinkpro.vn/laptop/dell-xps-13-2-in-1-9315-2022-6770,"Intel Core i5 1230U, 10C/12T",16GB LPDDR4X 4267MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13 inch, 2880 x 1920px, 60Hz","Outlet, Nhập khẩu",Sky,0.736kg,Battery,DELL
Dell Latitude 7430,19990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/1/Dell-Latitude-7430-ThinkPro-01.png,https://thinkpro.vn/laptop/dell-latitude-7430-6016,"Intel Core i5 1245U, 10C/12T",16GB DDR4 3200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Outlet, Nhập khẩu",Shadow Grey,1.24kg,Battery,DELL
Dell Vostro 5310,16390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/1/14/dell-vostro-5310-thinkpro-01.png,https://thinkpro.vn/laptop/dell-vostro-5310-5083,"Intel Core i5 11320H, 4C/8T",16GB LPDDR4X 4267MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3 inch, 2560 x 1600px, 60Hz","Mới, Sealed, Nhập khẩu",Forest,1.25kg,Battery,DELL
Lenovo Slim 7 16 Gen 7,21990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/1/lenovo-yoga-slim-7i-pro-thinkpro-01.png,https://thinkpro.vn/laptop/lenovo-slim-7-16-gen-7-6452,"Intel Core i7 12700H, 14C/20T",32GB LPDDR5 4800MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 2560 x 1600px, 120Hz","Used, Nhập khẩu",Storm Grey,2.1kg,Battery,LENOVO
Acer Nitro 5 15'' 2021 (AMD) (AN515-45-R9SC),29990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/17/acer-nitro-5-15-2021-amd-thinkpro-01-thinkpro-yu0.png,https://thinkpro.vn/laptop/acer-nitro-5-15-2021-amd-1899,"AMD AMD 5000, 8C/16T",8GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Mới, Full box, Chính hãng",Shale Black,2.2kg,Battery,ACER
Lenovo ThinkPad P16,42990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/lenovo-thinkpad-p16-thinkpro-01.png,https://thinkpro.vn/laptop/lenovo-thinkpad-p16-6106,"Intel Core i7 12800HX, 16C/24T",32GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 1920 x 1200px, 60Hz","Mới, Full box, Nhập khẩu",Carbon Black,2.95kg,Battery,LENOVO
Dell XPS 13 9315 (2022),21990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/6/13/xps139315 1.png,https://thinkpro.vn/laptop/dell-xps-13-9315-2022-5235,"Intel Core i5 1230U, 10C/12T",8GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4 inch, 1920 x 1200px, 60Hz","Outlet, Nhập khẩu",Sky,1.17kg,Battery,DELL
LG Gram 14 2023 (14ZD90R-G.AX51A5),25990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/18/lg-gram-14-2023-thinkpro-hvu.jpg,https://thinkpro.vn/laptop/lg-gram-14-2023-6712,"Intel Core i5 1340P, 16C/12T",8GB LPDDR5 6000MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 60Hz","Mới, Full box, Chính hãng",White,0.999kg,Battery,LG
Microsoft Surface Pro 9 (Only Device),22990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/24/microsoft-surface-pro-9-thinkpro-1.png,https://thinkpro.vn/laptop/microsoft-surface-pro-9-6105,"Intel Core i5 1235U, 10C/12T",8GB LPDDR5 4800MHz,128GB (M.2 NVMe),Intel Iris Xe Graphics,"13 inch, 2880 x 1920px, 120Hz","Mới, Full box, Nhập khẩu",Platinum,0.879kg,Battery,MICROSOFT
Dell Inspiron 14 7400 (INS0088956-R0017608-SA),13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/12/9/msi-modern-15-b12m-thinkpro-01.png,https://thinkpro.vn/laptop/msi-modern-15-b12m-5852,"Intel Core i5 1135G7, 4C/8T",8GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14.5 inch, 2560 x 1600px, 60Hz","Used, Nhập khẩu",Black,1.35kg,Battery,DELL
Lenovo ThinkPad T14s Gen 2 (Intel) (Vỏ kim loại),19990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/8/26/T14sG2is 2.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-t14s-gen-2-intel-6591,"Intel Core i7 1185G7, 4C/8T",16GB LPDDR4 4266MHz,512GB (,Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Platium Silver,1.36kg,Battery,LENOVO
Lenovo ThinkPad E14 Gen 4 (Intel),17990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/lenovo-thinkpad-e14-gen-4-thinkpro-0001.png,https://thinkpro.vn/laptop/lenovo-thinkpad-e14-gen-4-intel-4328,"Intel Core i5 1240P, 12C/16T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Mới, Sealed, Nhập khẩu",Đen,1.59kg,Battery,LENOVO
Dell Inspiron 14 7400 (INS0088956-R0017608-SA),13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/2/dell-inspiron-14-7400-thinkpro-1.png,https://thinkpro.vn/laptop/dell-inspiron-14-7400-2739,"Intel Core i5 1135G7, 4C/8T",8GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14.5 inch, 2560 x 1600px, 60Hz","Used, Nhập khẩu",Black,1.35kg,Battery,DELL
Lenovo ThinkBook 16 G5+,24390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/18/lenovo-thinkbook-16-g5-01-thinkpro-Woa.png,https://thinkpro.vn/laptop/lenovo-thinkbook-16-g5-6662,"AMD AMD 7000, 8C/16T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),AMD Radeon 680M,"16 inch, 2560 x 1600px, 60Hz","Mới, Full box, Nhập khẩu",Storm Grey,1.8kg,Battery,LENOVO
