Name,Price,URL,ImgURL,CPU,Ram,Storage,Graphics,Display,Status,Battery,Wireless,Weight,Size,Color,OS,Brand,MFG_year
Alienware X14 R1 i7 12700H Ram 16GB SSD 512GB RTX 3050Ti 14inch FHD IPS 144Hz - Phím không LED,29999000,https://trungtran.vn/alienware-x14-r1-i7-rtx/,https://trungtran.vn/images/products/2023/resized/notebook-dell-alienware-x14-r1-trungtran_(1).png,"Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel Smart Cache)","16GB LPDDR5, 4800MHz MHz, dual channel, không hỗ trợ nâng cấp","512GB PCIe NVMe M.2 SSD, có 1 khe lắp duy nhất"," Intel Iris Xe, NVIDIA GeForce RTX 3050Ti 4GB GDDR6","14 inch, FHD (1920 x 1080) WVA, không cảm ứng, 400 nits, độ phủ màu 100% sRGB/ DCI-P3 100%, 144Hz, low blue light",Outlet/Refurbished,Battery,"Wi-Fi 6, Bluetooth 5.2",1.79 - 1.84,32.1 x 26.2 x 1.45,Lunar Light (Trắng),Windows 11,Dell,2022
Alienware X14 R1 i7 12700H Ram 16GB SSD 512GB RTX 3050Ti 14inch FHD IPS 144Hz - Phím LED Zone,31499000,https://trungtran.vn/alienware-x14-r1-i7-rtx/,https://trungtran.vn/images/products/2023/resized/notebook-dell-alienware-x14-r1-trungtran_(1).png,"Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel Smart Cache)","16GB LPDDR5, 4800MHz MHz, dual channel, không hỗ trợ nâng cấp","512GB PCIe NVMe M.2 SSD, có 1 khe lắp duy nhất"," Intel Iris Xe, NVIDIA GeForce RTX 3050Ti 4GB GDDR6","14 inch, FHD (1920 x 1080) WVA, không cảm ứng, 400 nits, độ phủ màu 100% sRGB/ DCI-P3 100%, 144Hz, low blue light",Outlet/Refurbished,Battery,"Wi-Fi 6, Bluetooth 5.2",1.79 - 1.84,32.1 x 26.2 x 1.45,Lunar Light (Trắng),Windows 11,Dell,2022
Dell XPS 9320 i7 1260P 16GB SSD 512GB FHD+ IPS,29800000,https://trungtran.vn/dell-xps-13-plus-9320-i5-oled/,https://trungtran.vn//upload_images/images/products/dell-xps/resized/dell-xps-9320-5-copy.webp,"Intel core i5 1240P (12 nhân, 16 luồng, xung nhịp cơ bản 1.7Ghz và tối đa tới 4.4GHz, 12MB Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp",512GB PCIe NVMe M.2 SSD,Intel Iris Xe Graphics,"13.4 inch 3.5K OLED (3456 x 2160), WVA, viền siêu mảnh InfinityEdge, màn gương (anti-reflective), có cảm ứng, độ sáng 400-nits, 100% DCI-P3, 100% sRGB, tỷ lệ tương phản 1000000:1, mật độ điểm ảnh 304PPI, tần số quét 60Hz, tốc độ phản hồi hình ảnh 2ms.",Outlet Fullbox,Battery,"Wi-Fi 6, Bluetooth 5.2",1.26,29.5 x 19.9 x 1.5,Platinum (bạc),Windows 11,Dell,2022
Legion 5 Pro 2022 i9 12900H 16GB SSD 512GB RTX 3060 16inch 2.5K 165hz,31900000,https://trungtran.vn/legion-5-pro-16iah7h-i9-rtx/,https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2021_r9000p_trungtranvn_6-copy.png,"Intel Core i9 12900H (14 nhân 20 luồng, tần số cơ bản 3.8GHz, có thể đạt tới 5.0GHz với turbo boost, 24 MB Intel Smart Cache)",16GB DDR5 4800MHz,512GB PCIe NVMe M.2 SSD gen 4,Intel Iris Xe+ NVIDIA GeForce RTX 3060 6GB GDDR6,"16.0 inch WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",2.49,35.9 x 26.4 x 1.9 ,Storm Grey (Xám - nắp) ; Black (Đen - dưới đáy),Windows 11,Lenovo,2022
Legion 5 Pro 2022 i9 12900H 16GB SSD 512GB RTX 3060 16inch 2.5K 165hz,31900000,https://trungtran.vn/legion-5-pro-2021-ryzen-7-rtx/,https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2021_r9000p_trungtranvn_(6).png,"AMD Ryzen 7 5800H (8 nhân 16 luồng, xung nhịp cơ bản 3.2GHz có thể đạt tối đa tới 4.4GHz với Turbo Boost, L3 Cache 16 MB)",16GB DDR4 3200MHz,512GB PCIe NVMe M.2 SSD,AMD Radeon Graphics + NVIDIA GeForce RTX 3060 6GB GDDR6,"16.0 inch WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.2",2.45,35.6 x 26.0 x 2.17 - 2.68,Storm Grey (Xám - nắp) ; Black (Đen - dưới đáy),Windows 11,Lenovo,2021
Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4060 2.5k 240Hz,39500000,https://trungtran.vn/lenovo-legion-5-pro-2023-i9-rtx-4050/,https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_12-copy.jpg,"Intel Core i9 13900HX (24 nhân 32 luồng, xung nhịp có thể đạt tới 5.4GHz với turbo boost, 36 MB Intel Smart Cache)",16GB DDR5 5600MHz,1TB PCIe NVMe M.2 SSD gen 4,Intel UHD cho gen 13 + NVIDIA GeForce RTX 4050 6GB GDDR6,"16.0 inch WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",2.55,,Đen,Windows 11,Lenovo,2023
Dell Inspiron 7501 i5 10300H 8GB SSD 256GB FHD IPS,16900000,https://trungtran.vn/dell-inspiron-15-7501-i5-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/dell-inspiron-15-7501-thumbnail.png,"Intel Core i5-10300H Processor ( 4 nhân 8 luồng xung nhịp cơ bản 2.5 GHz có thể đạt tối đa Turbo Boost 4.5 GHz, 8 MB Smart Cache)",Ram 8GB DDR4 2933MHz,256GB PCIe NVMe M.2 SSD,Intel UHD Graphics,"15.6 inch FHD (1920x1080) không cảm ứng, độ sáng 220nits, độ phủ màu 45%NTSC (khoảng 65% sRGB), tần số quét 60Hz",New 100%,Battery,Wi-Fi + Bluetooth 5.1,1.9,35.6 x 23.4 x 1.7 - 1.9,Platinum Silver,Windows 10,Dell,2020
Dell Latitude 5300 2-in-1 i7-8665U 16GB SSD 256GB Intel FHD IPS Touch,11500000,https://trungtran.vn/dell-latitude-5300-2-in-1-i7-intel/,https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail-copy.png,"Intel Core i7-8665U (4 nhân, 8 luồng, xung cơ bản 1.9GHz, có thể đạt 4.8GHz với Turbo Boost, 8 MB Intel Smart Cache)","16GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400, max upgrade tới 32GB",256GB PCIe NVMe M.2 SSD,Intel UHD Graphics 620,"14 inch FHD IPS (1920 x 1080), màn gương chống chói, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 255nits, độ phủ màu 72% NTSC, tần số quét 60Hz",Đã qua sử dụng,Battery,Intel Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0,1.43,30.5 x 20.7 x 1.6-1.9,Đen,Windows 10,Dell,2019
Acer Swift Go 16 2023 i5 13500H RAM 16GB SSD 512GB 16 3.2K OLED 120Hz,21900000,https://trungtran.vn/acer-swift-go-16-2023-i5-intel-oled/,https://trungtran.vn/images/products/2023/resized/Acer_swift_go_2023_trungtran_(16).png,"Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel Smart Cache)",16GB LPDDR5 4800MHz (không nâng cấp được),512GB PCIe NVMe M.2 SSD gen 4, Intel Iris Xe,"16 inch, 3.2k OLED (3200x2000), tỷ lệ khung hình 16:10, độ sáng màn 500nits, độ phủ màu 100% DCI-P3, tần số quét màn 120Hz, tỷ lệ tương phản cao 1.000.000:1; màn có chứng nhận EyeSafe",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.2",1.64,35.5 x 24.5 x 1.49-1.7,Steel Gray (Xám),Windows 11,Acer,2023
Dell Latitude 9420 i7 1185G7 RAM 16GB SSD 512GB FHD+,19990000,https://trungtran.vn/dell-latitude-9420-i7-nhieu-cau-hinh/,https://trungtran.vn//upload_images/images/products/dell-latitude/resized/laptop_latitude_14_9420t_2_in_1_gallery_3.webp,"Intel Core  i7-1185G7 vPro (4 nhân 8 luồng, xung nhịp tối đa có thể đạt 4.8GHz Turbo Boost, 12.0 MB Smart cache)","16GB LPDDR4x-4266 RAM, không nâng cấp được",512GB PCIe NVMe M.2 SSD,"Intel Iris Xe Graphics, on board","14 inch, FHD+ (1920x1200) WVA, 60Hz, không cảm ứng, tỷ lệ khung hình 16:10, 500nits, 100% sRGB, LOW BLUE LIGHT",Outlet/Refurbished,Battery,Intel Wi-Fi 6E + Bluetooth 5.2,1.27,31 x 21.5 x 0.8-1.4,Platinum silver (bạc),Windows 10,Dell,2021
