Name,Price,URL,ImgURL,CPU,Ram,Storage,Graphics,Display,Status,Battery,Wireless,Weight,Size,Color,OS,Brand,MFG_year
Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4060 2.5k 240Hz,39500000,https://trungtran.vn/lenovo-legion-5-pro-2023/,https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_(12).jpg,"Intel Core i9 13900HX (24 nhân 32 luồng, xung nhịp có thể đạt tới 5.4GHz với turbo boost, 36 MB Intel Smart Cache)",16GB DDR5 5600MHz,1TB PCIe NVMe M.2 SSD gen 4,Intel UHD cho gen 13 + NVIDIA GeForce RTX 4060 8GB,"16.0 inch WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",2.55,,Đen,Windows 11,Lenovo,2023
ThinkBook 14 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14 2.8K 90Hz,20900000,https://trungtran.vn/thinkbook-14-g5-plus-2023-i5-rtx/,https://trungtran.vn/images/products/2023/resized/thinkbook_14_plus_2023_1-copy.png,"Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel Smart Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp",512GB PCIe NVMe M.2 SSD gen 4,Intel Iris Xe + NVIDIA GeForce RTX 3050 4GB GDDR6,"14 inch, 2.8K (2880x1800) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",1.41,31.2 x 22.4 x 1.59,Slate Gray (Xám),Windows 11,Lenovo,2023
ThinkBook 16 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14 2.5K 90Hz,20900000,https://trungtran.vn/thinkbook-14-g5-plus-2023-i5-rtx/,https://trungtran.vn/images/products/2023/resized/thinkbook_14_plus_2023_1-copy.png,"Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel Smart Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp",512GB PCIe NVMe M.2 SSD gen 4,Intel Iris Xe + NVIDIA GeForce RTX 3050 4GB GDDR6,"14 inch, 2.8K (2880x1800) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",1.41,31.2 x 22.4 x 1.59,Slate Gray (Xám),Windows 11,Lenovo,2023
Acer Nitro 16 Phoenix i5 13500H RAM 16GB SSD 512GB RTX 4050 FHD+ 165Hz,26500000,https://trungtran.vn/acer-nitro-16-phoenix-i5-rtx/,https://trungtran.vn/images/products/2023/resized/2023_Acer_Nitro_phoenix_AN16-51_thumbnail.png,"Intel Core i5 13500H (12 nhân 16 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz, 18 MB Intel Smart Cache)",16GB DDR5-4800MHz (2 khe lắp),512GB PCIe NVMe M.2 SSD," Intel Iris Xe, NVIDIA GeForce RTX 4050 6GB GDDR6 (140W)","16 inch, FHD+ (1920 x 1200) IPS, ComfyView, màn nhám chống lóa, không cảm ứng, tần số quét 165Hz, tỷ lệ khung hình 16:10, GSYNC, 100% sRGB, độ sáng 400nits, DC dimmer",New 100%,Battery," Killer Wi-Fi 6, Bluetooth 5.2",2.6,36.0 x 27.99 x 2.59-2.79,Obsidian Black (đen), Windows 11,Acer,2023
Dell XPS 9510 i7 11800H 16GB 1TB RTX 3050Ti OLED Touch (Frost White),35000000,https://trungtran.vn/dell-xps-15-9510-i7-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/dell_xps_9310_OLED_screen.png,"Intel Core i7 11800H (8 nhận, 16 luồng, xung nhịp đơn nhân cơ bản 2.3Ghz , xung nhịp tối đa 4.6GHz, 24 MB Intel Smart Cache)",16GB DDR4 3200MHz,1TB PCIe M.2 SSD,Intel Core UHD dành thế hệ thứ 11 + NVIDIA GeForce RTX 3050 Ti 4GB DDR6,15.6 inch 3.5K OLED (3456 x 2160),New 100%,Battery,IntelWi-Fi 6E ; Bluetooth 5.2,~2.04  (tùy từng cấu hình),34.4 x 23.0 x 0.18 - 0.77,Frost White (Trắng),Windows 10 Home,Dell,2021
ThinkBook 16 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14 2.5K 90Hz,20900000,https://trungtran.vn/thinkbook-14-g5-plus-2023-i5-intel/,https://trungtran.vn/images/products/2023/resized/THINKBOOK_14_plus_2023_(1).png,"Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel Smart Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp",512GB PCIe NVMe M.2 SSD gen 4,Intel Iris Xe,"14 inch, 2.8K (2880x1800) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",1.41,31.2 x 22.4 x 1.59,Slate Gray (Xám),Windows 11,Lenovo,2023
ThinkBook 14 G5+ 2023 i5-13500H RAM 16GB SSD 512GB RTX 3050 2.8K IPS 90Hz,25500000,https://trungtran.vn/thinkbook-14-g5-plus-2023-i5-intel/,https://trungtran.vn/images/products/2023/resized/THINKBOOK_14_plus_2023_(1).png,"Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel Smart Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp",512GB PCIe NVMe M.2 SSD gen 4,Intel Iris Xe,"14 inch, 2.8K (2880x1800) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",1.41,31.2 x 22.4 x 1.59,Slate Gray (Xám),Windows 11,Lenovo,2023
ThinkBook 14 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14 2.8K 90Hz,20900000,https://trungtran.vn/thinkbook-16-g5-plus-2023-i5-intel/,https://trungtran.vn/images/products/2023/resized/thinkbook_16_plus_2023_thumbnail.png,"Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel Smart Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp",512GB PCIe NVMe M.2 SSD gen 4,Intel Iris Xe,"16 inch, 2.5K (2560x1600) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.2",1.8,35.6 x 25.1 x 1.65,Slate Gray (Xám),Windows 11,Lenovo,2023
ThinkBook 14 G5+ 2023 i5-13500H RAM 16GB SSD 512GB RTX 3050 2.8K IPS 90Hz,25500000,https://trungtran.vn/thinkbook-16-g5-plus-2023-i5-intel/,https://trungtran.vn/images/products/2023/resized/thinkbook_16_plus_2023_thumbnail.png,"Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel Smart Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp",512GB PCIe NVMe M.2 SSD gen 4,Intel Iris Xe,"16 inch, 2.5K (2560x1600) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.2",1.8,35.6 x 25.1 x 1.65,Slate Gray (Xám),Windows 11,Lenovo,2023
Lenovo Thinkpad T470 i7 7600U RAM 8GB SSD 256GB FHD IPS Touch,7600000,https://trungtran.vn/lenovo-thinkpad-t470-i7-intel-hd-graphics-620-sao-chep/,https://trungtran.vn/images/products/2023/resized/lenovo-thinkpad-t470.png,"Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel Smart Cache)",8GB DDR4 bus 2133Mhz,256GB SSD,Intel HD Graphics 620,"14 inch FullHD (1920x1080) IPS, anti-glare,có cảm ứng, LED backlight, 250 nits, 16:9",Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,1.5 - 1.8,33.6 x 23.2 x 1.9,Đen,Windows 10,Lenovo,2017
Lenovo Thinkpad T470 i7 7600U RAM 16GB SSD 256GB FHD IPS Touch,8100000,https://trungtran.vn/lenovo-thinkpad-t470-i7-intel-hd-graphics-620-sao-chep/,https://trungtran.vn/images/products/2023/resized/lenovo-thinkpad-t470.png,"Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel Smart Cache)",8GB DDR4 bus 2133Mhz,256GB SSD,Intel HD Graphics 620,"14 inch FullHD (1920x1080) IPS, anti-glare,có cảm ứng, LED backlight, 250 nits, 16:9",Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,1.5 - 1.8,33.6 x 23.2 x 1.9,Đen,Windows 10,Lenovo,2017
Lenovo Thinkpad T470 i7 7600U RAM 16GB SSD 512GB FHD IPS Touch,8600000,https://trungtran.vn/lenovo-thinkpad-t470-i7-intel-hd-graphics-620-sao-chep/,https://trungtran.vn/images/products/2023/resized/lenovo-thinkpad-t470.png,"Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel Smart Cache)",8GB DDR4 bus 2133Mhz,256GB SSD,Intel HD Graphics 620,"14 inch FullHD (1920x1080) IPS, anti-glare,có cảm ứng, LED backlight, 250 nits, 16:9",Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,1.5 - 1.8,33.6 x 23.2 x 1.9,Đen,Windows 10,Lenovo,2017
Dell Inspiron 5510 i5 11320H 8GB SSD 256GB FHD IPS,16200000,https://trungtran.vn/dell-inspiron-15-5510-i5-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/dell_inspiron_5510_png_resize.png,"Intel Core i5-11320H Processor ( 4 nhân 8 luồng, xung nhịp có thể đạt tối đa Turbo Boost 4.5 GHz, 8 MB Smart Cache)",8GB RAM DDR4 3200MHz,256GB PCIe NVMe M.2 SSD,Intel Iris Xe Graphics,"15.6-inch, FHD 1920 x 1080, 60 Hz, anti-glare, non-touch, 72% NTSC, 300 nits, wide-viewing angle",New 100%,Battery,"Wi-Fi , Bluetooth 5.2",1.63,35.6 x 22.8 x 1.8,Platinum (bạc),Windows 10 Home Bản Quyền,Dell,2021
HP ZBook 17 G3 i7-6820HQ RAM 16GB SSD 512GB FHD IPS M1000M,13800000,https://trungtran.vn/hp-zbook-17-g3-i7-6820hq-full-hd-ips-nvidia-quadro-m1000m-p1869/,https://trungtran.vn//upload_images/images/products/hp-zbook-workstation/resized/hp-zbook-15-g3_1497352220-copy-copy-copy.webp,"Intel Core i7 6820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.7GHz có thể đạt tối đa 3.6GHz với Turbo Boost, 8 MB Intel Smart Cache)",16GB DDR4-2133,512GB SSD,Intel HD Graphics 530+NVIDIA Quadro M1000M (2 GB GDDR5),17.3 in diagonal FHD UWVA IPS anti-glare LED backlit (1920 x 1080),Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,3,42.0 x 28.0 x 3.0,Xám,Windows 10,HP,2016
Lenovo Legion 5 2023 Ryzen 7 7840H RAM 16GB SSD 1TB RTX 4060 16 2.5K+ 165Hz,29500000,https://trungtran.vn/lenovo-legion-5-2023-ryzen-7-rtx/,https://trungtran.vn/images/products/2023/resized/legion_5_2023_r7000p_front.jpg,"AMD Ryzen 7 7840H Zen 4 (8 nhân 16 luồng, tần số cơ bản 3.8GHz, có thể đạt tới 5.1GHz với turbo boost, bộ nhớ đệm 8MB L2 / 16MB L3, 4nm, TDP 35-54W)",16GB DDR5-5600MHz,1TB PCIe NVMe M.2 SSD gen 4,AMD Radeon 780M và NVIDIAGeForce RTX 4060 8GB GDDR6,"16 inch WQXGA (2560x1600) IPS, không cảm ứng, 16:10, độ sáng 350nits, tần số quét 165Hz, 100% sRGB, chỉ số DeltaE <2, Dolby Vision, AMD Free-Sync Premium, NVidia G-Sync, DC dimmer, màn giảm ánh sáng xanh",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.2",,,Đen,Windows 11,Lenovo,2023
Alienware m15 R7 i7 12700H Ram 16GB SSD 1TB RTX 3060 15.6 QHD 240Hz - Led 1 Zone,33500000,https://trungtran.vn/alienware-m15-r7-i7-rtx/,https://trungtran.vn/images/products/2023/resized/laptop-alienware-m15-r7-gallery-1__457x320.png,"Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel Smart Cache)","16GB DDR5, 4800MHz, dual channel, có 2 khe lắp hỗ trợ nâng cấp max 64GB","1TB PCIe M.2 NVMe Gen 4 Class 40 SSD. Theo nhà sản xuất, bản RTX3060 trở lên sẽ được hỗ trợ 2 khe cắm M.2 SSD."," Intel Iris Xe, NVIDIA GeForce RTX 3060 6GB GDDR6","15.6 inch, QHD (2560 x 1440) WVA, không cảm ứng, 400 nits, DCI-P3 99%, 240Hz, G-SYNC, FreeSync, Advanced Optimus, Low Blue Light",Outlet/Refurbished,Battery,Killer Wi-Fi 6 và Bluetooth 5.2,2.5-2.6,35.6 x 27.2 x 1.29-2.06,Darkside of the moon (đen),Windows 11,Dell,2022
Alienware m15 R7 i7 12700H Ram 16GB SSD 1TB RTX 3060 15.6 QHD 240Hz - Led Per Key,34500000,https://trungtran.vn/alienware-m15-r7-i7-rtx/,https://trungtran.vn/images/products/2023/resized/laptop-alienware-m15-r7-gallery-1__457x320.png,"Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel Smart Cache)","16GB DDR5, 4800MHz, dual channel, có 2 khe lắp hỗ trợ nâng cấp max 64GB","1TB PCIe M.2 NVMe Gen 4 Class 40 SSD. Theo nhà sản xuất, bản RTX3060 trở lên sẽ được hỗ trợ 2 khe cắm M.2 SSD."," Intel Iris Xe, NVIDIA GeForce RTX 3060 6GB GDDR6","15.6 inch, QHD (2560 x 1440) WVA, không cảm ứng, 400 nits, DCI-P3 99%, 240Hz, G-SYNC, FreeSync, Advanced Optimus, Low Blue Light",Outlet/Refurbished,Battery,Killer Wi-Fi 6 và Bluetooth 5.2,2.5-2.6,35.6 x 27.2 x 1.29-2.06,Darkside of the moon (đen),Windows 11,Dell,2022
ThinkPad T460 i5 6300U 8GB SSD 128GB intel FHD IPS,5300000,https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,https://trungtran.vn/images/products/2023/resized/thumbnail.png,"Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel Smart Cache)",8GB DDR3L,128GB SSD,Intel Graphics HD 520,"14.1 inch FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit",Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,1.5-1.7 (tùy cầu hính),33.9 x 23.3 x 2.1,Đen,Windows 10 Pro 64bit,Lenovo,2016
ThinkPad T460 i5 6300U 16GB SSD 512GB intel FHD IPS,6600000,https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,https://trungtran.vn/images/products/2023/resized/thumbnail.png,"Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel Smart Cache)",8GB DDR3L,128GB SSD,Intel Graphics HD 520,"14.1 inch FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit",Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,1.5-1.7 (tùy cầu hính),33.9 x 23.3 x 2.1,Đen,Windows 10 Pro 64bit,Lenovo,2016
ThinkPad T460 i5 6300U 8GB SSD 256GB intel FHD IPS,5600000,https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,https://trungtran.vn/images/products/2023/resized/thumbnail.png,"Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel Smart Cache)",8GB DDR3L,128GB SSD,Intel Graphics HD 520,"14.1 inch FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit",Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,1.5-1.7 (tùy cầu hính),33.9 x 23.3 x 2.1,Đen,Windows 10 Pro 64bit,Lenovo,2016
Asus Vivobook 14 i3 1005G1 RAM 4GB SSD 128GB FHD,9500000,https://trungtran.vn/asus-vivobook-14-i3-nhieu-cau-hinh/,https://trungtran.vn//upload_images/images/products/asus-vivobook-series/resized/pngresize.webp,"Intel Core i3-1005G1 Processor 1.2 GHz (2 nhân 4 luồng, xung nhịp cơ bản đơn nhân 1.2GHz, có thể đạt Turbo Boost 3.4GHz, 4Mb Cache)", 4GB DDR4 2400MHz không nâng cấp được,"14, FHD (1920 x 1080) WVA", Intel Core UHD dành thế hệ thứ 10,"14inch, FHD 1920 x 1080, WVA, 60 Hz, màn nhám, chống lóa, độ phủ màu 45% NTSC, độ sáng màn hình 250 nits.",New 100%,Battery, Wi-Fi 5 + Bluetooth 4.1,1.4, 32.4 x 21.5 x 1.9,Trắng ngọc trai, windows 10,Asus, 2020
ThinkPad T14s Gen 2 Ryzen 7 Pro 5850U RAM 16GB SSD 512GB FHD IPS,22500000,https://trungtran.vn/thinkpad-t14s-gen-2-ryzen-7-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/ThinkPad_T14s_Gen_2_AMD_CT1_06_(2).png,"AMD Ryzen 7 Pro 5850U (8 nhân 16 luồng, tần số xung nhịp cơ bản 1.9GHz – tối đa Turbo boost có thể đạt 4.4GHz, 4 MB L2 Cache, 16MB L3 Cache)","16GB LPDDR4x-4266 RAM, không nâng cấp được","512GB PCIe NVME M.2 SSD, chỉ có 1 khe cắm M.2 2280 PCIe NVME SSD, Max cấu hình 2TB M.2 2280 SSD. Nâng cấp theo dạng thay thế.",AMD Radeon Graphics,"14 inch FHD IPS (1920×1080) chống lóa, màn nhám, không cảm ứng, độ sáng màn hình 300nits, tần số quét màn 60Hz, độ phủ màu 45% NTSC (khoảng 65% sRGB)",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.2",1.28 Kg – 1.36Kg tùy từng cấu hình,32.75 x 22.44 x 1.68,Đen,Windows 11,Lenovo,2021
Dell XPS 9320 i7 1260P 16GB SSD 512GB FHD+ IPS,29800000,https://trungtran.vn/dell-xps-9320-i7-intel/,https://trungtran.vn/images/products/2023/resized/dell_xps_9320_trungtran_display_(5).png,"Intel Core i7 1260P (tổng cộng có 12 nhân, 16 luồng, có thể đạt xung nhịp tối đa (P-core) tới 4.4GHz, 18MB Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp","512GB M.2 2280 PCIe 4.0 x4 , có 1 khe lắp hỗ trợ nâng cấp", Intel Iris Xe,"13.4 inch FHD+ (1920 x 1200) IPS, InfinityEdge, không cảm ứng, 500-nits, 100% sRGB, low blue light",Outlet/Refurbished,Battery,Intel Wi-Fi 6E + Bluetooth 5.2,1.23,29.5 x 19.9 x 1.5,"Platinum (Bạc), Umbre (Nâu đỏ)",Windows 11,Dell,2022
Dell XPS 13 Plus 9320 i5 1240P 16GB SSD 512GB 3.5K OLED Touch,25700000,https://trungtran.vn/dell-xps-9320-i7-intel/,https://trungtran.vn/images/products/2023/resized/dell_xps_9320_trungtran_display_(5).png,"Intel Core i7 1260P (tổng cộng có 12 nhân, 16 luồng, có thể đạt xung nhịp tối đa (P-core) tới 4.4GHz, 18MB Cache)","16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp","512GB M.2 2280 PCIe 4.0 x4 , có 1 khe lắp hỗ trợ nâng cấp", Intel Iris Xe,"13.4 inch FHD+ (1920 x 1200) IPS, InfinityEdge, không cảm ứng, 500-nits, 100% sRGB, low blue light",Outlet/Refurbished,Battery,Intel Wi-Fi 6E + Bluetooth 5.2,1.23,29.5 x 19.9 x 1.5,"Platinum (Bạc), Umbre (Nâu đỏ)",Windows 11,Dell,2022
Dell Inspiron 16 7610 i7 11800H 16GB SSD 1TB 16 3K IPS 100% SRGB,21500000,https://trungtran.vn/dell-inspiron-16-7610-i7-intel-nhieu-cau-hinh/,https://trungtran.vn//upload_images/images/products/dell-inspiron/resized/inspiron_7610.webp,16GB DDR4 3200MHz,IPS,Đồ họa Intel Core UHD dành cho Bộ xử lý Intel thế hệ thứ 11,12 tháng,hàng outlet fullbox,hàng outlet fullbox,Battery,Wi-Fi + Bluetooth,,,Đen,Windows 10,Lenovo,2018
Lenovo Thinkpad T470P i7-7820HQ 16GB SSD 512GB NVIDIA Geforce 940MX 2K IPS,14990000,https://trungtran.vn/lenovo-thinkpad-t470p-i7-vga-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/thinkpad_t470p_thumbnail.png,"Intel Core i7-7820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.9GHz, có thể đạt tối đa với Turbo Boost tới 3.9GHz, 8 MB Intel Smart Cache) ",16GB RAM DDR4 2400Mhz,512GB SSD,Intel HD Graphics 630 + NVIDIA GeForce 940MX 2GB,"14.1inch Màn 2K IPS (2560 x 1440) Anti-Glare LED Backlit, không cảm ứng",Đã qua sử dụng,Battery,Wi-Fi + Bluetooth,1.85 - 1.95,"34 x 23,5 x 2,45",Đen,Windows 10,Lenovo,2017
Dell Precision 5560 i5 11500H 8GB 256GB NVidia Quadro T1200 FHD+,23800000,https://trungtran.vn/dell-precision-5560-i5-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/front-view-dell-precision-5560.png,"Intel Core i5 11500H (6 nhân 12 luồng, xung nhịp cơ bản 2.9GHz có thể đạt tối đa Turbo Boost 4.6GHz, 12 MB Intel Smart Cache, vPro)",16GB DDR4 3200MHz,256GB PCIe NVMe M.2 SSD,NVIDIA Quadro T1200 4GB DDR6,"15.6-inch, FHD+ (1920 x 1200), WVA, độ sáng 500nits, không cảm ứng, 100% sRGB",Outlet/Refurbished,Battery,Intel Wi-Fi 6 + Bluetooth 5.1,1.84 - 2.04,34.4 x 23.0 x 0.77-1.16,Titan Gray (Xám bạc),Windows 10 Pro,Dell,2021
Dell Precision 5560 i5 11500H 16GB 256GB NVidia Quadro T1200 FHD+,24800000,https://trungtran.vn/dell-precision-5560-i5-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/front-view-dell-precision-5560.png,"Intel Core i5 11500H (6 nhân 12 luồng, xung nhịp cơ bản 2.9GHz có thể đạt tối đa Turbo Boost 4.6GHz, 12 MB Intel Smart Cache, vPro)",16GB DDR4 3200MHz,256GB PCIe NVMe M.2 SSD,NVIDIA Quadro T1200 4GB DDR6,"15.6-inch, FHD+ (1920 x 1200), WVA, độ sáng 500nits, không cảm ứng, 100% sRGB",Outlet/Refurbished,Battery,Intel Wi-Fi 6 + Bluetooth 5.1,1.84 - 2.04,34.4 x 23.0 x 0.77-1.16,Titan Gray (Xám bạc),Windows 10 Pro,Dell,2021
Dell Precision 5530 i7 8850H RAM 16GB SSD 512GB P1000 4GB FHD IPS,13900000,https://trungtran.vn/dell-precision-5530-i7-p1000/,https://trungtran.vn/images/products/2023/resized/dell_precision_5530_trungtranvn.png,"Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp cơ bản 2.6GHz có thể đạt tối đa Turbo Boost 4.3GHz, 9 MB Intel Smart Cache)",16GB DDR4 bus 2666Mhz,512GB PCIe NVMe M.2 SSD,Intel UHD Graphics 630 + Nvidia Quadro P1000 4GB DDR5,"15.6 inch UltraSharp FHD IGZO4 (1920x1080), chống lóa, không cảm ứng, 72% Color Gamut, viền mỏng",Đã qua sử dụng,Battery,"Wi-Fi 6, Bluetooth 5.1","1,87","35.7 x 23.5 x 1,7",Platinum (bạc),Windows 10 Pro,Dell,2018
Dell Precision 5530 i7 8850H RAM 32GB SSD 512GB P1000 4GB FHD IPS,14900000,https://trungtran.vn/dell-precision-5530-i7-p1000/,https://trungtran.vn/images/products/2023/resized/dell_precision_5530_trungtranvn.png,"Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp cơ bản 2.6GHz có thể đạt tối đa Turbo Boost 4.3GHz, 9 MB Intel Smart Cache)",16GB DDR4 bus 2666Mhz,512GB PCIe NVMe M.2 SSD,Intel UHD Graphics 630 + Nvidia Quadro P1000 4GB DDR5,"15.6 inch UltraSharp FHD IGZO4 (1920x1080), chống lóa, không cảm ứng, 72% Color Gamut, viền mỏng",Đã qua sử dụng,Battery,"Wi-Fi 6, Bluetooth 5.1","1,87","35.7 x 23.5 x 1,7",Platinum (bạc),Windows 10 Pro,Dell,2018
Dell Precision 5530 i7 8850H RAM 16GB SSD 1TB P1000 4GB FHD IPS,14700000,https://trungtran.vn/dell-precision-5530-i7-p1000/,https://trungtran.vn/images/products/2023/resized/dell_precision_5530_trungtranvn.png,"Intel Core i7 8850H (6 nhân 12 luồng, xung nhịp cơ bản 2.6GHz có thể đạt tối đa Turbo Boost 4.3GHz, 9 MB Intel Smart Cache)",16GB DDR4 bus 2666Mhz,512GB PCIe NVMe M.2 SSD,Intel UHD Graphics 630 + Nvidia Quadro P1000 4GB DDR5,"15.6 inch UltraSharp FHD IGZO4 (1920x1080), chống lóa, không cảm ứng, 72% Color Gamut, viền mỏng",Đã qua sử dụng,Battery,"Wi-Fi 6, Bluetooth 5.1","1,87","35.7 x 23.5 x 1,7",Platinum (bạc),Windows 10 Pro,Dell,2018
