Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,OS,Size,Connector,Brand
Itel Spirit 2 i3 1115G4 (71006300240),10.290.000,https://cdn.tgdd.vn/Products/Images/44/299999/itel-spirit-2-i3-71006300240-040123-105717-600x600.jpg,https://www.thegioididong.com/laptop/itel-spirit-2-i3-71006300240,"i3, 1115G4, 3GHz","8 GB, DDR4 (1 khe), 3200 MHz","256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 358 mm - Rộng 243 mm - Dày 18.9 mm - Nặng 1.7 kg,"USB Type-C, 2 x USB 3.0, HDMI, Jack tai nghe 3.5 mm",ITEL
Acer Aspire 3 A315 58 358E i3 1115G4 (NX.ADDSV.00F),10.290.000,https://cdn.tgdd.vn/Products/Images/44/285960/acer-aspire-3-a315-58-358e-i3-nxaddsv00f-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-358e-i3-nxaddsv00f,"i3, 1115G4, 3GHz","8 GB, DDR4 (Onboard 4 GB + 1 khe 4 GB), Từ 2400 MHz (Hãng công bố)","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm - Nặng 1.7 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ACER
Asus Vivobook X515EA i3 1115G4 (EJ3948W),11.990.0,https://cdn.tgdd.vn/Products/Images/44/305010/asus-vivobook-x515ea-i3-ej3948w-thumb-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-ej3948w,"i3, 1115G4, 3GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360 mm - Rộng 235 mm - Dày 19.9 mm - Nặng 1.8 kg,"USB Type-C, 2 x USB 2.0, HDMI, Jack tai nghe 3.5 mm, 1 x USB 3.2",ASUS
Acer Aspire 3 A315 59 38PG i3 1215U (NX.K6TSV.00A),10.690.000,https://cdn.tgdd.vn/Products/Images/44/302485/acer-aspire-3-a315-59-38pg-i3-nxk6tsv00a-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-38pg-i3-nxk6tsv00a,"i3, 1215U, 1.2GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 2400 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - Nặng 1.7 kg,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",ACER
Itel Spirit 2 i5 1155G7 (71006300202),12.990.000,https://cdn.tgdd.vn/Products/Images/44/300000/itel-spirit-2-i5-71006300202-thumb-600x600.jpg,https://www.thegioididong.com/laptop/itel-spirit-2-i5-71006300202,"i5, 1155G7, 2.5GHz","8 GB, DDR4 (1 khe), 3200 MHz","512 GB SSD NVMe PCIe, Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 358 mm - Rộng 243 mm - Dày 18.9 mm - Nặng 1.7 kg,"USB Type-C, 2 x USB 3.0, HDMI, Jack tai nghe 3.5 mm",ITEL
Acer Aspire 5 A515 58P 34RJ i3 1315U (NX.KHJSV.003),13.090.00,https://cdn.tgdd.vn/Products/Images/44/307185/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,"i3, 1315U, 1.2GHz","8 GB, LPDDR5 (Onboard), 4800 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 362.9 mm - Rộng 237.5 mm - Dày 17.99 mm - Nặng 1.7 kg,"HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",ACER
Acer Aspire 3 A314 35 P6NC N6000 (NX.A7SSV.006),10.290.00,https://cdn.tgdd.vn/Products/Images/44/264495/acer-aspire-3-a314-35-p6nc-nxa7ssv006-141221-035402-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-p6nc-nxa7ssv006,"Pentium, N6000, 1.1GHz","4 GB, DDR4 (2 khe), Từ 2400 MHz (Hãng công bố)","512 GB SSD NVMe PCIe, Hỗ trợ khe cắm HDD SATA","Card tích hợp, Intel UHD","14"", HD (1366 x 768)",New,Windows 11 Home SL,Dài 328 mm - Rộng 236 mm - Dày 19.9 mm - Nặng 1.45 kg,"HDMI, LAN (RJ45), USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2",ACER
HP Pavilion 15 eg2062TU i3 1215U (6K790PA),13.190.000,https://cdn.tgdd.vn/Products/Images/44/285966/hp-pavilion-15-eg2062tu-i3-6k790pa-fix-thumb-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tu-i3-6k790pa,"i3, 1215U, 1.2GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",256 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
HP Pavilion 15 eg2086TU i3 1215U (7C0Q8PA),13.790.000,https://cdn.tgdd.vn/Products/Images/44/302207/hp-pavilion-15-eg2086tu-i3-7c0q8pa-050223-080308-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2086tu-i3-7c0q8pa,"i3, 1215U, 1.2GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",256 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B),14.490.000,https://cdn.tgdd.vn/Products/Images/44/304543/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), Từ 2400 MHz (Hãng công bố)","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - Nặng 1.7 kg,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",ACER
Asus Vivobook 14 A1405VA i3 1315U (LY097W),14.990.0,https://cdn.tgdd.vn/Products/Images/44/306104/asus-vivobook-14-a1405va-i3-ly097w-thumb-lap-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w,"i3, 1315U, 1.2GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","14"", WUXGA (1920 x 1200)",New,Windows 11 Home SL,Dài 317.1 mm - Rộng 222 mm - Dày 19.9 mm - Nặng 1.6 kg,"HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2, 1 x USB Type-C 3.2 (hỗ trợ Power Delivery)",ASUS
Lenovo V14 G3 IAP i5 1235U (82TS005RVN),13.690.00,https://cdn.tgdd.vn/Products/Images/44/299801/lenovo-v14-g3-iap-i5-82ts005rvn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-v14-g3-iap-i5-82ts005rvn,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 512 GB), Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)","Card tích hợp, Intel UHD","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 324 mm - Rộng 215 mm - Dày 19.9 mm - Nặng 1.43 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 1 x USB 3.2, USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)",LENOVO
MSI Modern 15 B7M R5 7530U (231VN),14.490.00,https://cdn.tgdd.vn/Products/Images/44/307649/msi-modern-15-b7m-r5-231vn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/msi-modern-15-b7m-r5-231vn,"Ryzen 5, 7530U, 2GHz","16 GB, DDR4 (Onboard), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Radeon","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359 mm - Rộng 241 mm - Dày 19.9 mm - Nặng 1.75 kg,"2 x USB 2.0, HDMI, Jack tai nghe 3.5 mm, 1 x USB 3.2, 1 x USB Type-C (chỉ hỗ trợ Power Delivery)",MSI
Acer Aspire 5 A514 54 5127 i5 1135G7 (NX.A28SV.007),14.190.000,https://cdn.tgdd.vn/Products/Images/44/271044/acer-aspire-a514-54-5127-i5-nxa28sv007-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-a514-54-5127-i5-nxa28sv007,"i5, 1135G7, 2.4GHz","8 GB, DDR4 (Onboard 4 GB + 1 khe 4 GB), 2666 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 328 mm - Rộng 223 mm - Dày 17.95 mm - Nặng 1.46 kg,"USB Type-C, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2 x USB 3.2",ACER
Lenovo V15 G3 IAP i5 1235U (82TT0064VN),14.390.00,https://cdn.tgdd.vn/Products/Images/44/299798/lenovo-v15-g3-iap-i5-82tt0064vn-180123-115803-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-v15-g3-iap-i5-82tt0064vn,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","512 GB SSD NVMe PCIe, Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359 mm - Rộng 236 mm - Dày 19.9 mm - Nặng 1.7 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 1 x USB 3.2, USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)",LENOVO
HP Pavilion X360 14 ek0059TU i3 1215U (6K7E1PA),14.690.000,https://cdn.tgdd.vn/Products/Images/44/291158/hp-pavilion-x360-14-ek0059tu-i3-6k7e1pa-071022-040430-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0059tu-i3-6k7e1pa,"i3, 1215U, 1.2GHz","8 GB, DDR4 (Onboard), 3200 MHz",256 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.517 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2x SuperSpeed USB A",HP
Lenovo IdeaPad 3 15ITL6 i7 1165G7 (82H803CUVN),15.490.000,https://cdn.tgdd.vn/Products/Images/44/306277/lenovo-ideapad-3-15itl6-i7-82h803cuvn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i7-82h803cuvn,"i7, 1165G7, 2.8GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))","Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm - Nặng 1.65 kg,"HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 1 x USB 3.2, 1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)",LENOVO
Acer Aspire 3 A315 58 787C i7 1165G7 (NX.ADDSV.00J),16.490.000,https://cdn.tgdd.vn/Products/Images/44/285959/acer-aspire-3-a315-58-787c-i7-nxaddsv00j-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-787c-i7-nxaddsv00j,"i7, 1165G7, 2.8GHz","8 GB, DDR4 (Onboard 4 GB + 1 khe 4 GB), Từ 2400 MHz (Hãng công bố)","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)","Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm - Nặng 1.7 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ACER
HP Pavilion X360 14 ek0131TU i3 1215U (7C0P6PA),16.590.00,https://cdn.tgdd.vn/Products/Images/44/308528/hp-pavilion-x360-14-ek0131tu-i3-7c0p6pa-thumb-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0131tu-i3-7c0p6pa,"i3, 1215U, 1.2GHz","8 GB, DDR4 (Onboard), 3200 MHz",256 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.517 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2x SuperSpeed USB A",HP
Dell Inspiron 15 3520 i5 1235U (i5U085W11BLU),18.990.0,https://cdn.tgdd.vn/Products/Images/44/296921/dell-inspiron-15-3520-i5u085w11blu-ab-thumb-600x600.jpg,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 2666 MHz","512 GB SSD NVMe PCIe, Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) , 120Hz",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.9 mm - Nặng 1.9 kg,"HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",DELL
Acer Aspire 7 Gaming A715 75G 58U4 i5 10300H (NH.Q97SV.004),15.390.000,https://cdn.tgdd.vn/Products/Images/44/271042/acer-aspire-7-gaming-a715-75g-58u4-i5-nhq97sv004-260122-044206-450x300.jpg,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-75g-58u4-i5-nhq97sv004,"i5, 10300H, 2.5GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 2666 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Không hỗ trợ khe cắm HDD, Không hỗ trợ khe cắm SSD M2 mở rộng thêm","Card rời, GTX 1650 4GB","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm - Nặng 2.15 kg,"USB Type-C, HDMI, LAN (RJ45), USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2",ACER
Asus Vivobook 14 X1404VA i5 1335U (NK123W),17.990.0,https://cdn.tgdd.vn/Products/Images/44/305656/asus-vivobook-14-x1404va-i5-nk123w-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk123w,"i5, 1335U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 2933 MHz","512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel UHD","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - Nặng 1.4 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ASUS
HP Pavilion 15 eg2085TU i5 1240P (7C0Q7PA),16.790.000,https://cdn.tgdd.vn/Products/Images/44/302210/hp-pavilion-15-eg2085tu-i5-7c0q7pa-thumb-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2085tu-i5-7c0q7pa,"i5, 1240P, 1.7GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",256 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.72 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
MSI Modern 15 B13M i5 1335U (438VN),16.790.000,https://cdn.tgdd.vn/Products/Images/44/306141/msi-modern-15-b13m-i5-438vn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/msi-modern-15-b13m-i5-438vn,"i5, 1335U, 1.3GHz","8 GB, DDR4 (Onboard), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359 mm - Rộng 241 mm - Dày 19.9 mm - Nặng 1.7 kg,"2 x USB 2.0, HDMI, 1 x USB 3.2, 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",MSI
HP 15s fq5077TU i7 1255U (6K797PA),16.790.000,https://cdn.tgdd.vn/Products/Images/44/284140/hp-15s-fq5077tu-i7-6k797pa-010922-041231-600x600.jpg,https://www.thegioididong.com/laptop/hp-15s-fq5077tu-i7-6k797pa,"i7, 1255U, 1.7GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm - Nặng 1.69 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
Asus Vivobook 14X OLED A1405ZA i5 12500H (KM146W),19.490.0,https://cdn.tgdd.vn/Products/Images/44/307806/asus-vivobook-14x-oled-a1405za-i5-km146w-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-a1405za-i5-km146w,"i5, 12500H, 2.5GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz",512 GB SSD NVMe PCIe,"Card rời, Intel UHD","14"", 2.8K (2880 x 1800) - OLED 16:10, 90Hz",New,Windows 11 Home SL,Dài 317.1 mm - Rộng 222 mm - Dày 19.9 mm - Nặng 1.6 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ASUS
Dell Inspiron 16 5620 i5 1235U (P1WKN),19.790.0,https://cdn.tgdd.vn/Products/Images/44/303834/dell-inspiron-16-5620-i5-p1wkn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i5-p1wkn,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz",256 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","16"", Full HD (1920 x 1080) ",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 356.7 mm - Rộng 251.9 mm - Dày 17.95 mm - Nặng 1.87 kg,"HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2, 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)",DELL
Acer Aspire 7 Gaming A715 43G R8GA R5 5625U (NH.QHDSV.002),17.490.000,https://cdn.tgdd.vn/Products/Images/44/285961/acer-aspire-7-gaming-a715-43g-r8ga-r5-nhqhdsv002-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-43g-r8ga-r5-nhqhdsv002,"Ryzen 5, 5625U, 2.30 GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card rời, RTX 3050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm - Nặng 2.1 kg,"USB Type-C, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ACER
HP Pavilion 15 eg2036TX i5 1235U (6K782PA),18.290.000,https://cdn.tgdd.vn/Products/Images/44/291157/hp-pavilion-15-eg2036tx-i5-6k782pa-291222-043503-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2036tx-i5-6k782pa,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card rời, MX550 2GB","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
Acer Swift 3 SF314 511 55QE i5 1135G7 (NX.ABNSV.003),17.690.000,https://cdn.tgdd.vn/Products/Images/44/269313/acer-swift-3-sf314-511-55qe-i5-nxabnsv003-120122-022600-600x600.jpg,https://www.thegioididong.com/laptop/acer-swift-3-sf314-511-55qe-i5-nxabnsv003,"i5, 1135G7, 2.4GHz","16 GB, LPDDR4X (Onboard), 4266 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 322.8 mm - Rộng 212.2 mm - Dày 15.9 mm - Nặng 1.19 kg,"HDMI, Jack tai nghe 3.5 mm, Thunderbolt 4 USB-C, 2 x USB 3.2",ACER
Dell Vostro 15 3520 i5 1235U (5M2TT2),19.490.0,https://cdn.tgdd.vn/Products/Images/44/303835/dell-vostro-15-3520-i5-5m2tt2-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) , 120Hz",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 358.5 mm - Rộng 235.56 mm - Dày 19 mm - Nặng 1.67 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",DELL
Dell Inspiron 5620 i5 1235U (71003903),19.490.0,https://cdn.tgdd.vn/Products/Images/44/307712/dell-inspiron-5620-i5-71003903-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/dell-inspiron-5620-i5-71003903,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","16"", Full HD+ (1920 x 1200)",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 356 mm - Rộng 251.9 mm - Dày 18.3 mm - Nặng 1.87 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2, 1 x USB Type-C (hỗ trợ DisplayPort)",DELL
Asus TUF Gaming F15 FX506HF i5 11400H (HN014W),21.990.0,https://cdn.tgdd.vn/Products/Images/44/304867/asus-tuf-gaming-f15-fx506hf-i5-hn014w-thumb-600x600.jpg,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506hf-i5-hn014w,"i5, 11400H, 2.7GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)","Card rời, RTX 2050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 359 mm - Rộng 256 mm - Dày 22.8 ~ 24.5 mm - Nặng 2.3 kg,"1 x Thunderbolt 4 (hỗ trợ DisplayPort), HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",ASUS
Asus ZenBook UX325EA i5 1135G7 (KG656W),22.490.0,https://cdn.tgdd.vn/Products/Images/44/267786/asus-zenbook-ux325ea-i5-1135g7-8gb-512gb-600x600.jpg,https://www.thegioididong.com/laptop/asus-zenbook-ux325ea-i5-kg656w,"i5, 1135G7, 2.4GHz","8 GB, LPDDR4X (Onboard), 4267 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel Iris Xe","13.3"", Full HD (1920 x 1080) OLED",New,Windows 11 Home SL,Dài 304.2 mm - Rộng 203 mm - Dày 13.9 mm - Nặng 1.14 kg,"HDMI, 2 x Thunderbolt 4 USB-C, 1 x USB 3.2",ASUS
HP Probook 450 G9 i5 1235U (6M0Y9PA),18.990.000,https://cdn.tgdd.vn/Products/Images/44/291154/hp-probook-450-g9-i5-6m0y9pa-thumb-1-600x600.jpg,https://www.thegioididong.com/laptop/hp-probook-450-g9-i5-6m0y9pa,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm - Nặng 1.74 kg,"USB Type-C, HDMI, LAN (RJ45), 3x SuperSpeed USB A, Jack tai nghe 3.5 mm",HP
