Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Laptop HP Pavilion 15-eg2035TX 6K781PA,20590000,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2035tx-6k781pa.html,https://phucanhcdn.com/media/product/250_48671_laptop_hp_pavilion_15_eg2035tx_gold_a4.gif,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce MX550 2GB GDDR6,15.6inch Full HD,Battery,Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 Combo,"1,85 Kg","15.6inch Full HD,360.4 x 271.09 x 25.9 mm",Gold,Windows 11 Home
Laptop Asus Vivobook A1503ZA-L1151W,16990000,https://www.phucanh.vn//laptop-asus-vivobook-15x-oled-a1503za-l1151w.html,https://phucanhcdn.com/media/product/250_48582_asus_vivobook_15x_oled_a1503_silver_intel_a4.gif,Core i3 Alder Lake 1220P 1.1 GHz,8Gb (Onboard) DDR4 3200,1,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,8 Kg","15.6inch Full HD,359 x 235 x 17.9-17.9 mm",Silver,Windows 11 Home
Laptop Asus Vivobook A1503ZA-L1421W,19990000,https://www.phucanh.vn//laptop-asus-vivobook-15x-oled-a1503za-l1421w.html,https://phucanhcdn.com/media/product/250_48443_asus_vivobook_14x_a1403za_ly072w_a1.gif,Core i5 Alder Lake 12500H 2.5 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,8 Kg","15.6inch Full HD,359 x 235 x 17.9-17.9 mm",Silver,Windows 11 Home
Laptop Lenovo Yoga Slim 7 Carbon 14ACN6 82L0005BVN,32990000,https://www.phucanh.vn//laptop-lenovo-yoga-slim-7-carbon-14acn6-82l0005bvn.html,https://phucanhcdn.com/media/product/250_48429_3y_laptop_lenovo_yoga_slim_7_carbon__amd_cloud_grey_a6.gif,AMD Ryzen 7 5800U 1.9 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,1TB SSD M.2 NVMe PCIe 2280,Nvidia GeForce MX450 2GB GDDR6,Khoảng 14 inch,Battery,Wi-Fi 6 - 802.11ax. Bluetooth v5.0,"1,1 Kg","Khoảng 14 inch,317.4 x 228.5 x 17.9-17.9 mm",Cloud Grey,Windows 11 Home
Laptop Lenovo ThinkPad T14 GEN 3 21AJSCA000,36990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-t14-gen-3-21ajsca000-core-i7-1260p-16gb-512gb-ssd-intel-uhd-graphics-14-0inch-wuxga-touch-noos-black-carbon-fiber-3-year.html,https://phucanhcdn.com/media/product/250_51550_50207_laptop_lenovo_thinkpad_t14_gen_3_intel_black_a.jpg,Core i7 Alder Lake 1260P 2.1 GHz,16Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,14.0inch WUXGA Touch,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,4 Kg","14.0inch WUXGA Touch,328 x 223 x 17.95 mm",Black,NoOS
Laptop HP ProBook 450 G9 6M103PA,25990000,https://www.phucanh.vn//laptop-hp-probook-450-g9-6m103pa.html,https://phucanhcdn.com/media/product/250_48953_hp_probook_450_g9_a5.jpg,Core i7 Alder Lake 1260P 3.4 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 15 inch,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,74","Khoảng 15 inch,35.94 x 23.39 x 1.99 cm",Silver,Windows 11 Home
Laptop Lenovo ThinkPad X1 NANO Gen 2 21E8003FVN,52990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-x1-nano-gen-2-21e8003fvn.html,https://phucanhcdn.com/media/product/250_48924_laptop_lenovo_thinkpad_x1_nano_gen_2_intell_black_a6.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb (Onboard) DDR5 5200,Không hỗ trợ,1TB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,13inch 2K,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","0,97 Kg","13inch 2K,293 x 208 x 14.8 mm",Black,Windows 11 Pro
Laptop HP Pavilion 15-eg2036TX 6K782PA,20590000,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2036tx-6k782pa.html,https://phucanhcdn.com/media/product/250_48887_laptop_hp_pavilion_15_intel_silver_a5.gif,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce MX550 2GB GDDR6,15.6inch Full HD,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (Supporting Gigabit data rate),"1,85 Kg","15.6inch Full HD,360.4 x 271.09 x 25.9 mm",Silver,Windows 11 Home
Laptop HP EliteBook 630 G9 6M145PA,26390000,https://www.phucanh.vn//laptop-hp-elitebook-630-g9-6m145pa.html,https://phucanhcdn.com/media/product/250_48745_,Core i7 Alder Lake 1255U 3.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,13.3inch Full HD,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,28 Kg","13.3inch Full HD,30.69 x 20.84 x 1.59 cm",Silver,Windows 11 Home
Laptop HP EliteBook 630 G9 6M143PA,22190000,https://www.phucanh.vn//laptop-hp-elitebook-630-g9-6m143pa.html,https://phucanhcdn.com/media/product/250_48653_laptop_hp_elitebook_630_g9__silver_a5.gif,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,13.3inch Full HD,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,28 Kg","13.3inch Full HD,30.69 x 20.84 x 1.59 cm",Silver,Windows 11 Home
Laptop HP EliteBook 630 G9 6M142PA,21190000,https://www.phucanh.vn//laptop-hp-elitebook-630-g9-6m142pa.html,https://phucanhcdn.com/media/product/250_48652_48653_laptop_hp_elitebook_630_g9__silver_a5.gif,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,13.3inch Full HD,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,28 Kg","13.3inch Full HD,30.69 x 20.84 x 1.59 cm",Silver,Windows 11 Home
Laptop LG Gram 17Z90Q-G.AH74A5,47990000,https://www.phucanh.vn//laptop-lg-gram-17z90q-g.ah74a5.html,https://phucanhcdn.com/media/product/250_48463_lg_gram_17z90q_white_a3.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 17 inch,Battery,802.11ax + Bluetooth 5.1,"1,35 Kg","Khoảng 17 inch,358 x 235 x 17.5 mm",White,Windows 11 Home
Laptop LG Gram 16ZD90Q-G.AX55A5,39990000,https://www.phucanh.vn//laptop-lg-gram-16zd90q-g.ax55a5.html,https://phucanhcdn.com/media/product/250_48460_lg_gram_16zd90q_g_ax55a5_black_a6.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","Khoảng 16 inch,358 x 235 x 17.5 mm",Black,NoOS
Laptop LG Gram 14ZD90Q-G.AX56A5,33990000,https://www.phucanh.vn//laptop-lg-gram-14zd90q-g.ax56a5.html,https://phucanhcdn.com/media/product/250_48450_lg_gram_14zd90q_g_ax56a5_grey_a1.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch WUXGA,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","14.0inch WUXGA,358 x 235 x 17.5 mm",Grey,NoOS
Laptop HP Pavilion 15-eg2038TX 6K784PA,19590000,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2038tx-6k784pa.html,https://phucanhcdn.com/media/product/250_48374_laptop_hp_pavilion_15_eg2038tx_6k784pa_1.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (2x4Gb) DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Nvidia GeForce MX550 2GB GDDR6,15.6inch Full HD,Battery,Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 Combo,"1,85 Kg","15.6inch Full HD,360.4 x 271.09 x 25.9 mm",Silver,Windows 11 Home
Laptop HP 14s dq5053TU 6R9M6PA,17690000,https://www.phucanh.vn//laptop-hp-14s-dp5053tu-6r9m6pa.html,https://phucanhcdn.com/media/product/250_48371_laptop_hp_14s_dp5054tu_6r9m7pa_1.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,46 Kg","14.0inch,322.8 x 212.2 x 15.9 mm",Silver,Windows 11 Home
Laptop Asus Vivobook A1403ZA-KM067W,19990000,https://www.phucanh.vn//laptop-asus-vivobook-a1403za-km067w.html,https://phucanhcdn.com/media/product/250_48366_laptop_asus_vivobook_a1403_intel_silver_a3.gif,Core i5 Alder Lake 12500H 2.5 GHz,8Gb (Onboard) DDR4 3200,1,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WQXGA,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,4","14.0inch WQXGA,31.71 x 22.20 x 1.99 ~ 1.99 cm",Silver,Windows 11 Home
Laptop Dell Vostro 5320 V3I7005W,28990000,https://www.phucanh.vn//laptop-dell-vostro-5320-v3i7005w.html,https://phucanhcdn.com/media/product/250_48360_1y_laptop_dell_vostro_5320_v3i7007w_titan_gray_a5.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 13 inch,Battery,Intel Wi-Fi 6E (6GHz) AX211 2x2 + Bluetooth 5.2 Wireless Card,"1,55 Kg","Khoảng 13 inch,314 x 227.5 x 18.3 mm",Grey,Windows 11 Home + Office Student
Laptop HP ProBook 440 G9 6M0Q8PA,16390000,https://www.phucanh.vn//laptop-hp-probook-440-g9-6m0q8pa.html,https://phucanhcdn.com/media/product/250_48211_laptop_hp_probook_440_g9_a6.jpg,Core i3 Alder Lake 1215U 1.2 GHz,4Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe 2280,Intel UHD Graphics,Khoảng 14 inch,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,38 Kg","Khoảng 14 inch,32.19 x 21.39 x 1.99 cm",Silver,Windows 11 Home
Laptop Asus Zenbook UX3402ZA-KM220W,24990000,https://www.phucanh.vn//laptop-asus-zenbook-ux3402za-km220w.html,https://phucanhcdn.com/media/product/250_48151_laptop_asus_zenbook_ux3402za_aqua_celadon_a2.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch 2.8K,Battery,Wi-Fi 6E(802.11ax)+Bluetooth 5.2 (Dual band) 2*2,"1,1","14.0inch 2.8K,31.36 x 21.98 x 1.69 ~ 1.69 cm",Aqua celadon,Windows 11 Home
Laptop Lenovo ThinkBook 14 G4 IAP 21DH00BBVN,23390000,https://www.phucanh.vn//laptop-lenovo-thinkbook-14-g4-iap-21dh00bbvn.html,https://phucanhcdn.com/media/product/250_48101_laptop_lenovo_thinkbook_14_g4_intel.jpg,Core i5 Alder Lake 1240P 3.3 GHz,16Gb (8Gb onboard + 1 khe rời) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"100/1000M/ 11ac, 2x2 + BT5.0","1,4 Kg","14.0inch Full HD,325 x 216 x 23.1-23.1 mm",Grey,Windows 11 Home
Laptop Asus TUF Gaming FX507ZM-HN123W,39990000,https://www.phucanh.vn//laptop-asus-tuf-gaming-fx507zm-hn123w.html,https://phucanhcdn.com/media/product/250_47615_tuf_gaming_fx507_ha6.jpg,Core i7 Alder Lake 12700H 3.5 GHz,16Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3060 6GB GDDR6,15.6inch Full HD,Battery,Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.0,"2,2 Kg","15.6inch Full HD,354 x 251 x 22.4-24.9 mm",Grey,Windows 11 Home
Máy tính xách tay Apple Macbook Pro 14 MPHK3SA/A,75690000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-14-m2-max-mphk3saa.html,https://phucanhcdn.com/media/product/250_50135_may_tinh_xach_tay_apple_macbook_pro_14_m2_pro_silver_1.jpg,M2 Max 400GB/s,32Gb,1,1TB SSD,30 Core GPU,Khoảng 14 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",1.63Kg,"1.55 x 31.26 x 22.12 cm,Khoảng 14 inch",Silver,Mac OS
Máy tính xách tay Apple Macbook Pro 14 MPHG3SA/A,75690000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-14-m2-max-mphg3saa.html,https://phucanhcdn.com/media/product/250_50134_may_tinh_xach_tay_apple_macbook_pro_14_m2_pro_1.jpg,M2 Max 400GB/s,32Gb,1,1TB SSD,30 Core GPU,Khoảng 14 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",1.63Kg,"1.55 x 31.26 x 22.12 cm,Khoảng 14 inch",Gray,Mac OS
Máy tính xách tay Apple Macbook Pro 14 MPHF3SA/A,60790000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-14-m2-pro-mphf3saa.html,https://phucanhcdn.com/media/product/250_50132_may_tinh_xach_tay_apple_macbook_pro_14_m2_pro_1.jpg,M2 Pro 200GB/s,,1,1TB SSD,19 Core GPU,Khoảng 14 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",1.6Kg,"1.55 x 31.26 x 22.12 cm,Khoảng 14 inch",Gray,Mac OS
Laptop HP 240 G9 6L273PA,17590000,https://www.phucanh.vn//may-tinh-xach-tay-hp-240-g9-6l273pa-core-i5-1240p-8gb-256gb-ssd-intelirisxegraphics-140inch-full-hd-windows-11-home-silver-vo-nhua.html,https://phucanhcdn.com/media/product/250_50084_may_tinh_xach_tay_hp_240_g9_5.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Realtek RTL8822CE 802.11ac 2x2 Wi-Fi + Bluetooth 5,"1,5 Kg","14.0inch Full HD,279 x 191 x 16.9-16.9 mm",Silver,Windows 11 Home
Laptop Lenovo ThinkPad T14S GEN 3 21BRS0DJ00,36990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-t14s-gen-3-21brs0dj00-core-i5.html,https://phucanhcdn.com/media/product/250_50015_3y_laptop_lenovo_thinkpad_t14s_gen_3_intel_black_a.gif,Core i5 Alder Lake 1235U 1.3 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WUXGA Touch,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,21 Kg","14.0inch WUXGA Touch,328 x 223 x 17.95 mm",Black,Windows 11 Pro
Màn hình LG 16MQ70ASDA5,6590000,https://www.phucanh.vn//man-hinh-lg-16mq70asda5-man-di-dong-16.0inch.html,https://phucanhcdn.com/media/product/250_49983_lg_16mq70asda5_a1.jpg,,,2,,Intel Iris Xe Graphics,15.6inch Full HD,Battery,"Wi-Fi 6, Bluetooth 5.0",,,Black,Windows 11 Home
Laptop Lenovo ThinkPad T14S GEN 2 20WM01SXVA,29990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-t14s-gen-2-20wm01sxva-core-i5.html,https://phucanhcdn.com/media/product/250_49981_laptop_lenovo_thinkpad_t14s_gen_2_a2.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"Intel Wi-Fi 6E AX210, 11ax 2x2 + BT5.1","1,36 Kg","14.0inch Full HD,326.8 x 225.5 x 17.9 mm",Black,NoOS
Laptop Lenovo ThinkPad E14 GEN 4 21E300DSVA,25490000,https://www.phucanh.vn//laptop-lenovo-thinkpad-e14-gen-4-21e300dsva.html,https://phucanhcdn.com/media/product/250_49834_lenovo_thinkpad_e14_gen_4_intel_black_a4.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel AX201 11ax. 2x2 + BT5.1,"1,64 Kg","14.0inch Full HD,324 x 220 x 17.9 mm",Black,NoOS
Laptop Dell Vostro 3520 5M2TT3,24690000,https://www.phucanh.vn//may-tinh-xach-tay-dell-vostro-3520-5m2tt3.html,https://phucanhcdn.com/media/product/250_49805_dell_vostro_3520_grey_a_8.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (8Gb onboard + 1 khe rời) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,WiFi 802.11a/b/g/ Bluetooth 5.0,"1,66 Kg","15.6inch Full HD,358 x 235 x 1.69 mm",Grey,Windows 11 Home + Office Student
Laptop Lenovo ThinkPad X1 Carbon Gen 10 21CB009WVN,47290000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-x1-carbon-gen-10-21cb009wvn.html,https://phucanhcdn.com/media/product/250_49675_lenovo_thinkpad_x1_carbon_gen_10_intel_black_a5.jpg,Core i5 Alder Lake 1240P 3.3 GHz,16Gb (Onboard) DDR5 5200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 14 inch,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,12 Kg","Khoảng 14 inch,315 x 222 x 15.36 mm",Black,Windows 11 Pro
Laptop HP Pavilion x360 14-ek0133TU 7C0P7PA,23190000,https://www.phucanh.vn//laptop-hp-pavilion-x360-14-ek0133tu-7c0p7pa.html,https://phucanhcdn.com/media/product/250_49660_laptop_hp_pavilion_x360_14_intel_gold_a5.jpg,Core i5 Alder Lake 1235U 1.3 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 14 inch,Battery,Realtek Wi-Fi 6 (2x2) and Bluetooth 5.3 compatible combo (supporting gigabit data rate),"1,51 Kg","Khoảng 14 inch,32.2 x 21 x 1.99 cm",Gold,Windows 11 Home
Laptop HP Pavilion x360 14-ek0132TU 7C0W4PA,26990000,https://www.phucanh.vn//laptop-hp-pavilion-x360-14-ek0132tu-7c0w4pa.html,https://phucanhcdn.com/media/product/250_49659_laptop_hp_pavilion_x360_14_intel_gold_a5.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 14 inch,Battery,Realtek Wi-Fi 6 (2x2) and Bluetooth 5.3 compatible combo (supporting gigabit data rate),"1,51 Kg","Khoảng 14 inch,32.2 x 21 x 1.99 cm",Gold,Windows 11 Home
Laptop HP Pavilion 15-eg2081TU 7C0Q4PA,20990000,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2081tu-7c0q4pa.html,https://phucanhcdn.com/media/product/250_49656_hp_pavilion_15_eg20_intel_silver_a1.jpg,Core i5 Alder Lake 1240P 3.3 GHz,16Gb (2x8Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"1,74 Kg","15.6inch Full HD,36.02 x 23.4 x 1.79 cm",Silver,Windows 11 Home
Laptop HP Gaming Victus 16-e1105AX 7C0T0PA,27990000,https://www.phucanh.vn//laptop-hp-gaming-victus-16-e1105ax-7c0t0pa.html,https://phucanhcdn.com/media/product/250_49605_laptop_hp_gaming_victus_16_blue_a1.jpg,AMD Ryzen 5 6600H 3.3 GHz,16Gb (2x8Gb) DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,Khoảng 16 inch,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"2,4 Kg","Khoảng 16 inch,6.9 x 55.2 x 34.5 cm",Blue,Windows 11 Home
Laptop LG Gram 14Z90Q-G.AH75A5,27990000,https://www.phucanh.vn//laptop-lg-gram-14z90q-g.ah75a5.html,https://phucanhcdn.com/media/product/250_48445_lg_gram_14z90q_g_ah75a5_grey_a4.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch WUXGA,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","14.0inch WUXGA,358 x 235 x 17.5 mm",Grey,Windows 11 Home
Laptop HP 240 G9 6L1Y5PA,22190000,https://www.phucanh.vn//laptop-hp-240-g9-6l1y5pa.html,https://phucanhcdn.com/media/product/250_49699_laptop_hp_240_g9__a3.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Realtek RTL8822CE 802.11ac 2x2 Wi-Fi + Bluetooth 5,"1,5 Kg","14.0inch Full HD,279 x 191 x 16.9-16.9 mm",Silver,Windows 11 Home
Laptop Dell G series Gaming G15 5530 i7H165W11GR4050,40990000,https://www.phucanh.vn//laptop-dell-g-series-gaming-g15-5530-i7h165w11gr4050-moi.html,https://phucanhcdn.com/media/product/250_51376_laptop_dell_g_series_gaming_g15_5530_intel_phantom_grey_a8.jpg,Core i7 Raptor Lake 13650HX 2.6 GHz,16Gb (2x8Gb) DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4050 6GB GDDR6,15.6inch Full HD,Battery,802.11ax 2x2 WiFi and Bluetooth 5.2,"2,65 Kg","15.6inch Full HD,356 x 274 x 26.1 mm",Grey,Windows 11 Home + Office Student
Laptop LG Gram 16Z90Q-G.AH76A5,46990000,https://www.phucanh.vn//laptop-lg-gram-16z90q-g.ah76a5.html,https://phucanhcdn.com/media/product/250_48454_lg_gram_16z90q_g_ah76a5_grey_a5.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","Khoảng 16 inch,358 x 235 x 17.5 mm",Grey,Windows 11 Home
Laptop HP Spectre 14-ef0030TU 6K773PA,51990000,https://www.phucanh.vn//laptop-hp-spectre-x360-14-ef0030tu-6k773pa.html,https://phucanhcdn.com/media/product/250_48375_laptop_hp_spectre_x360_14_ef0030tu_6k773pa_1.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (Onboard) DDR4 4266,Không hỗ trợ,1TB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 13 inch,Battery,Intel Wi-Fi 6E AX211 (2x2) and Bluetooth 5.2 combo (Supporting Gigabit data rate),"1,36","Khoảng 13 inch,14.8 x 38.5 x 31.5 cm",Xanh,Windows 11 Home
Laptop Asus Zenbook Flip 14 OLED UP5401ZA-KN101W,33990000,https://www.phucanh.vn//laptop-asus-zenbook-flip-14-oled-up5401za-kn101w.html,https://phucanhcdn.com/media/product/250_48369_laptop_asus_zenbook_flip_14_oled_up5401_a5.gif,Core i7 Alder Lake 12700H 3.5 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 14 inch,Battery,Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2,"1,4 Kg","Khoảng 14 inch,311 x 223 x 15.9-15.9 mm",Grey,Windows 11 Home
Máy tính xách tay Asus Vivobook M1503QA-L1028W,17990000,https://www.phucanh.vn//laptop-asus-vivobook-m1503qa-l1028w.html,https://phucanhcdn.com/media/product/250_48368_laptop_asus_vivobook_m1503qa__a6.gif,AMD Ryzen 5 5600H 3.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,AMD Radeon Graphics,Khoảng 15 inch,Battery,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5,"1,7","Khoảng 15 inch,35.68 x 22.76 x 1.99 ~ 1.99 cm",Blue,Windows 11 Home
Máy tính xách tay Asus Vivobook M1403QA-LY023W,16490000,https://www.phucanh.vn//laptop-asus-vivobook-m1403qa-ly023w.html,https://phucanhcdn.com/media/product/250_48367_laptop_asus_vivobook_m1403qa_ly023w_1.jpg,AMD Ryzen 5 5600H 3.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,AMD Radeon Graphics,14.0inch WUXGA,Battery,Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,4 Kg","14.0inch WUXGA,317.4 x 228.5 x 19.2-19.3 mm",Blue,Windows 11 Home
Laptop HP 15s-fq5079TU 6K799PA,17890000,https://www.phucanh.vn//laptop-hp-15s-fq5079tu-6k799pa.html,https://phucanhcdn.com/media/product/250_47951_laptop_hp_15s_fq5104tu_6k7e4pa_a4.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,69","15.6inch,35.85 x 24.2 x 1.79 cm",Bạc,Windows 11 Home
Máy tính xách tay Apple Macbook Pro 13 Z16S00034,39190000,https://www.phucanh.vn//laptop-apple-macbook-pro-m2-10gpu-16gb-512gb-gray-z16r0003x.html,https://phucanhcdn.com/media/product/250_47936_,M2 100GB/s,,1,512GB SSD,,Khoảng 13 inch,Battery,"Wi-Fi 6, Bluetooth 5.0",1.4Kg,"1.56 x 30.41 x 21.24 cm,Khoảng 13 inch",Gray,Mac OS
