Battery,CPU,CPU_code,CPU_speed,Color,Display,Graphics,ImgURL,Name,Num_cores,Num_thread,OS,Ports,Price,Ram,Ram_slot,Ram_speed,Ram_type,Resolutions,Size,Storage,Storage_drive,Storage_type,URL,Weight,Wireless
: 3 cell,: AMD Ryzen 5,: 5625U,: 2.3 GHz,: Pink,: 14.0inch Full HD,: AMD Radeon Graphics,https://phucanhcdn.com/media/product/250_48806_1y_laptop_acer_swift_3_sf314_44_amd_pink_s8.gif,Laptop Acer Swift 3 SF314 44 R2U3 NX.K0WSV.001 (Ryzen 5 5625U/ 16GB/ 512GB SSD/ AMD Radeon Graphics/ 14.0inch Full HD/ Windows 11 Home/ Pink/ Nhôm/ 1 Year),: 6,: 12,: Windows 11 Home,: 2  x USB Type-CTM port supporting:• USB 3.2 Gen 1 (up to 5 Gbps)• DisplayPort over USB-C• USB charging 5 V; 3 A• DC-in port 20 V; 65 W1 x HDMI®2.1 port with HDCP support2 x USB 3.2 Gen 1 ports with one featuring power-off USB charging1 x Headphone/speaker jack,21.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 325 x 215 x 19.5 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-acer-swift-3-sf314-44-r2u3-nx.k0wsv.001.html,": 1,19 Kg",: 802.11 a/b/g/n/ac/ax + Bluetooth 5.2
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Gold,: 15.6inch Full HD,: Nvidia GeForce MX550 2GB GDDR6,https://phucanhcdn.com/media/product/250_48671_laptop_hp_pavilion_15_eg2035tx_gold_a4.gif,Laptop HP Pavilion 15-eg2035TX 6K781PA (Core i5 1235U/ 8GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Gold/ Hợp kim nhôm),: 10 Cores,: 12 Threads,: Windows 11 Home,": 1 USB 3.1 Gen 1 Type-C (Data Transfer Only, 5 Gb/s signaling rate); 2 USB 3.1 Gen 1 Type-A (Data Transfer Only); 1 AC smart pin; 1 HDMI 1.4b; 1 headphone/microphone combo; 1 RJ-45",20.590.000 ₫,: 8Gb (2x4Gb),: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 360.4 x 271.09 x 25.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2035tx-6k781pa.html,": 1,85 Kg",: Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 Combo
: 3 cell,: Core i3 Alder Lake,: 1220P,: 1.1 GHz,: Silver,: 15.6inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48582_asus_vivobook_15x_oled_a1503_silver_intel_a4.gif,Laptop Asus Vivobook A1503ZA-L1151W (Core i3 1220P/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),: 10 Cores,: 12 Threads,: Windows 11 Home,: 1x USB 3.2 Gen 1 Type-A; 1x USB 3.2 Gen 1 Type-C; 2x USB 2.0 Type-A; 1x HDMI 1.4,16.990.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 359 x 235 x 17.9-17.9 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-asus-vivobook-15x-oled-a1503za-l1151w.html,": 1,8 Kg",: Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
: 3 cell,: Core i5 Alder Lake,: 12500H,: 2.5 GHz,: Silver,: 15.6inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_48443_asus_vivobook_14x_a1403za_ly072w_a1.gif,Laptop Asus Vivobook A1503ZA-L1421W (Core i5 12500H/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver/ Balo),: 12,: 16,: Windows 11 Home,: 1x USB 3.2 Gen 1 Type-A; 1x USB 3.2 Gen 1 Type-C; 2x USB 2.0 Type-A; 1x HDMI 1.4,19.990.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 359 x 235 x 17.9-17.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-asus-vivobook-15x-oled-a1503za-l1421w.html,": 1,8 Kg",: Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
: 4 cell,: AMD Ryzen 7,: 5800U,: 1.9 GHz,: Cloud Grey,: Khoảng 14 inch,: Nvidia GeForce MX450 2GB GDDR6,https://phucanhcdn.com/media/product/250_48429_3y_laptop_lenovo_yoga_slim_7_carbon__amd_cloud_grey_a6.gif,Laptop Lenovo Yoga Slim 7 Carbon 14ACN6 82L0005BVN (Ryzen 7 5800U/ 16GB/ 1TB SSD/ Nvidia GeForce MX450 2GB GDDR6/ 14.0inch OLED/ Windows 11 Home/ Cloud Grey/ Vỏ nhôm/ 3 Year),: 8,: 16,: Windows 11 Home,": 1x USB-C 3.2 Gen 1 (support data transfer only)/ 2x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)/ 1x Headphone / microphone combo jack (3.5mm)",32.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: 2.8K (2880x1800),": Khoảng 14 inch,: 317.4 x 228.5 x 17.9-17.9 mm",: 1TB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-lenovo-yoga-slim-7-carbon-14acn6-82l0005bvn.html,": 1,1 Kg",: Wi-Fi 6 - 802.11ax. Bluetooth v5.0
: 4 cell,: Core i7 Alder Lake,: 1260P,: 2.1 GHz,: Black,: 14.0inch WUXGA Touch,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_51550_50207_laptop_lenovo_thinkpad_t14_gen_3_intel_black_a.jpg,Laptop Lenovo ThinkPad T14 GEN 3 21AJSCA000 (Core i7 1260P/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch WUXGA Touch/ NoOS/ Black/ Carbon Fiber/ 3 Year),: 12 Cores,: 16 Threads,: NoOS,": 1x USB 3.2 Gen 11x USB 3.2 Gen 1 (Always On)2x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)1x HDMI, up to 4K/60Hz1x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)",36.990.000 ₫,: 16Gb (Onboard),: 1,: 3200,: DDR4,: WUXGA (1920x1200) ,": 14.0inch WUXGA Touch,: 328 x 223 x 17.95 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-lenovo-thinkpad-t14-gen-3-21ajsca000-core-i7-1260p-16gb-512gb-ssd-intel-uhd-graphics-14-0inch-wuxga-touch-noos-black-carbon-fiber-3-year.html,": 1,4 Kg",": Intel AX211 Wi-Fi 6E, 2x2 + BT5.1"
: 3 cell,: Core i7 Alder Lake,: 1260P,: 3.4 GHz,: Silver,: Khoảng 15 inch,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48953_hp_probook_450_g9_a5.jpg,Laptop HP ProBook 450 G9 6M103PA (Core i7 1260P/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch FHD/ Windows 11 Home/ Silver/ Vỏ nhôm),: 12 Cores,: 16 Threads,: Windows 11 Home,": 1 USB 3.1 Type-C Gen 1 (Power delivery, DisplayPort); 2 USB 3.1 Gen 1; 1 HDMI 1.4b; 1 RJ-45; 1 headphone/microphone combo; 1 AC power; 1 USB 2.0 (powered port)",25.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": Khoảng 15 inch,: 35.94 x 23.39 x 1.99 cm",: 512GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-hp-probook-450-g9-6m103pa.html,": 1,74 kg",: Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo
: 4 cell,: Core i7 Alder Lake,: 1260P,: 2.1 GHz,: Black,: 13inch 2K,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48924_laptop_lenovo_thinkpad_x1_nano_gen_2_intell_black_a6.gif,Laptop Lenovo ThinkPad X1 NANO Gen 2 21E8003FVN (Core i7 1260P/ 16GB/ 1TB SSD/ Intel Iris Xe Graphics/ 13inch 2K/ Windows 11 Pro/ Black/ Carbon Fiber/ 3 Year),: 12 Cores,: 16 Threads,: Windows 11 Pro,": 2x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)1x Headphone / microphone combo jack (3.5mm)",52.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 5200,: DDR5,: 2K (2160x1350),": 13inch 2K,: 293 x 208 x 14.8 mm",: 1TB,: M.2 NVMe PCIe 2242,: SSD,https://www.phucanh.vn//laptop-lenovo-thinkpad-x1-nano-gen-2-21e8003fvn.html,": 0,97 Kg",": Intel AX211 Wi-Fi 6E, 2x2 + BT5.1"
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Silver,: 15.6inch Full HD,: Nvidia GeForce MX550 2GB GDDR6,https://phucanhcdn.com/media/product/250_48887_laptop_hp_pavilion_15_intel_silver_a5.gif,Laptop HP Pavilion 15-eg2036TX 6K782PA (Core i5 1235U/ 8GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Silver/ Hợp kim nhôm),: 10 Cores,: 12 Threads,: Windows 11 Home,": 1 SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPortTM 1.4, HP Sleep and Charge); 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo",20.590.000 ₫,: 8Gb (2x4Gb),: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 360.4 x 271.09 x 25.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2036tx-6k782pa.html,": 1,85 Kg",: MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth® 5.2 combo (Supporting Gigabit data rate)
: 3 cell,: Core i7 Alder Lake,: 1255U,: 3.5 GHz,: Silver,: 13.3inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48745_,Laptop HP EliteBook 630 G9 6M145PA (Core i7 1255U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.3inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),: 10 Cores,: 12 Threads,: Windows 11 Home,": 2 SuperSpeed USB Type-A 5Gbps signaling rate (USB Power Delivery); 1 ThunderboltTM 4 with USB4TM Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPortTM 1.4); 1 RJ-45; 1 headphone/microphone combo; 1 HDMI 2.0; 1 AC power (HDMI cable sold separately)",26.390.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 13.3inch Full HD,: 30.69 x 20.84 x 1.59 cm",: 512GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-hp-elitebook-630-g9-6m145pa.html,": 1,28 Kg",: Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Silver,: 13.3inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48653_laptop_hp_elitebook_630_g9__silver_a5.gif,Laptop HP EliteBook 630 G9 6M143PA (Core i5 1235U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.3inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),: 10 Cores,: 12 Threads,: Windows 11 Home,": 2 SuperSpeed USB Type-A 5Gbps signaling rate (USB Power Delivery); 1 ThunderboltTM 4 with USB4TM Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPortTM 1.4); 1 RJ-45; 1 headphone/microphone combo; 1 HDMI 2.0; 1 AC power (HDMI cable sold separately)",22.190.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 13.3inch Full HD,: 30.69 x 20.84 x 1.59 cm",: 512GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-hp-elitebook-630-g9-6m143pa.html,": 1,28 Kg",: Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Silver,: 13.3inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48652_48653_laptop_hp_elitebook_630_g9__silver_a5.gif,Laptop HP EliteBook 630 G9 6M142PA (Core i5 1235U/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 13.3inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),: 10 Cores,: 12 Threads,: Windows 11 Home,": 2 SuperSpeed USB Type-A 5Gbps signaling rate (USB Power Delivery); 1 ThunderboltTM 4 with USB4TM Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPortTM 1.4); 1 RJ-45; 1 headphone/microphone combo; 1 HDMI 2.0; 1 AC power (HDMI cable sold separately)",21.190.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 13.3inch Full HD,: 30.69 x 20.84 x 1.59 cm",: 256GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-hp-elitebook-630-g9-6m142pa.html,": 1,28 Kg",: Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo
: 0 cell,: Core i7 Alder Lake,: 1260P,: 2.1 GHz,: White,: Khoảng 17 inch,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48463_lg_gram_17z90q_white_a3.gif,Laptop LG Gram 17Z90Q-G.AH74A5 (Core i7 1260P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 17.0inch WQXGA/ Windows 11 Home/ White),: 12 Cores,: 16 Threads,: Windows 11 Home,": HP-Out (4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)",47.990.000 ₫,: 16Gb,: Không hỗ trợ,: 4800,: DDR5,: WQXGA (2560x1600) ,": Khoảng 17 inch,: 358 x 235 x 17.5 mm",: 512GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-lg-gram-17z90q-g.ah74a5.html,": 1,35 Kg",: 802.11ax + Bluetooth 5.1
: 80Wh,: Core i5 Alder Lake,: 1240P,: 3.3 GHz,: Black,: Khoảng 16 inch,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48460_lg_gram_16zd90q_g_ax55a5_black_a6.gif,Laptop LG Gram 16ZD90Q-G.AX55A5 (Core i5 1240P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 16.0inch WQXGA/ DOS/ Black),: 12,: 16,: NoOS,": HP-Out (4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)",39.990.000 ₫,: 16Gb,: Không hỗ trợ,: 4800,: DDR5,: WQXGA (2560x1600) ,": Khoảng 16 inch,: 358 x 235 x 17.5 mm",: 512GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-lg-gram-16zd90q-g.ax55a5.html,": 1,19 Kg",: 802.11ax + Bluetooth 5.1
: 80Wh,: Core i5 Alder Lake,: 1240P,: 3.3 GHz,: Grey,: 14.0inch WUXGA,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48450_lg_gram_14zd90q_g_ax56a5_grey_a1.gif,Laptop LG Gram 14ZD90Q-G.AX56A5 (Core i5 1240P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch WUXGA/ NoOS/ Grey),: 12,: 16,: NoOS,": HP-Out (4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)",33.990.000 ₫,: 16Gb,: Không hỗ trợ,: 4800,: DDR5,: WUXGA (1920x1200) ,": 14.0inch WUXGA,: 358 x 235 x 17.5 mm",: 512GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-lg-gram-14zd90q-g.ax56a5.html,": 1,19 Kg",: 802.11ax + Bluetooth 5.1
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Silver,: 15.6inch Full HD,: Nvidia GeForce MX550 2GB GDDR6,https://phucanhcdn.com/media/product/250_48374_laptop_hp_pavilion_15_eg2038tx_6k784pa_1.jpg,Laptop HP Pavilion 15-eg2038TX 6K784PA (Core i5 1235U/ 8GB/ 256GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Silver/ Hợp kim nhôm),: 10 Cores,: 12 Threads,: Windows 11 Home,": 1 USB 3.1 Gen 1 Type-C (Data Transfer Only, 5 Gb/s signaling rate); 2 USB 3.1 Gen 1 Type-A (Data Transfer Only); 1 AC smart pin; 1 HDMI 1.4b; 1 headphone/microphone combo; 1 RJ-45",19.590.000 ₫,: 8Gb (2x4Gb),: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 360.4 x 271.09 x 25.9 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2038tx-6k784pa.html,": 1,85 Kg",: Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 Combo
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Silver,: 14.0inch,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48371_laptop_hp_14s_dp5054tu_6r9m7pa_1.jpg,Laptop HP 14s dq5053TU 6R9M6PA (Core i5 1235U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch/ Windows 11 Home/ Silver/ Vỏ nhựa),: 10 Cores,: 12 Threads,: Windows 11 Home,: 1 SuperSpeed USB Type-C 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo,17.690.000 ₫,: 8Gb (2x4Gb),: 2,: 3200,: DDR4,: HD (1366x768),": 14.0inch,: 322.8 x 212.2 x 15.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-hp-14s-dp5053tu-6r9m6pa.html,": 1,46 Kg",: Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® and Bluetooth® 5 combo
: 3 cell,: Core i5 Alder Lake,: 12500H,: 2.5 GHz,: Silver,: 14.0inch WQXGA,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48366_laptop_asus_vivobook_a1403_intel_silver_a3.gif,Laptop Asus Vivobook A1403ZA-KM067W (Core i5 12500H/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 14.0inch WQXGA/ Windows 11 Home/ Silver),: 12,: 16,: Windows 11 Home,: 2x USB 3.2 Gen 1 Type-A//1x HDMI 1.4/1x USB 3.2 Gen 1 Type-C/1x USB 2.0 Type-A,19.990.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: WQXGA (2560x1600) ,": 14.0inch WQXGA,: 31.71 x 22.20 x 1.99 ~ 1.99 cm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-asus-vivobook-a1403za-km067w.html,": 1,4 kg",: Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
: 4 cell,: Core i7 Alder Lake,: 1260P,: 2.1 GHz,: Grey,: Khoảng 13 inch,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48360_1y_laptop_dell_vostro_5320_v3i7007w_titan_gray_a5.gif,Laptop Dell Vostro 5320 V3I7005W (Core i7 1260P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.3inch Full HD+/ Windows 11 Home + Office Student/ Grey/ Vỏ nhôm/ 1 Year),: 12 Cores,: 16 Threads,: Windows 11 Home + Office Student,: 1 USB 3.2 Gen 1 Type-A2 Thunderbolt 4.0 (PowerDelivery & DisplayPort)​1 Audio Jack1 HDMI 1.4 port,28.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 4800,: DDR5,: WUXGA (1920x1200) ,": Khoảng 13 inch,: 314 x 227.5 x 18.3 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-vostro-5320-v3i7005w.html,": 1,55 Kg",: Intel Wi-Fi 6E (6GHz) AX211 2x2 + Bluetooth 5.2 Wireless Card
: 3 cell,: Core i3 Alder Lake,: 1215U,: 1.2 GHz,: Silver,: Khoảng 14 inch,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_48211_laptop_hp_probook_440_g9_a6.jpg,Laptop HP ProBook 440 G9 6M0Q8PA (Core i3 1215U/ 4GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch FHD/ Windows 11 Home/ Silver/ Vỏ nhôm),: 6 Cores,: 8 Threads,: Windows 11 Home,": 1 USB 3.1 Type-C Gen 1 (Power delivery, DisplayPort); 2 USB 3.1 Gen 1; 1 HDMI 1.4b; 1 RJ-45; 1 headphone/microphone combo; 1 AC power; 1 USB 2.0 (powered port)",16.390.000 ₫,: 4Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": Khoảng 14 inch,: 32.19 x 21.39 x 1.99 cm",: 256GB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-hp-probook-440-g9-6m0q8pa.html,": 1,38 Kg",: Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo
: 4 cell,: Core i5 Alder Lake,: 1240P,: 3.3 GHz,: Aqua celadon,: 14.0inch 2.8K,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48151_laptop_asus_zenbook_ux3402za_aqua_celadon_a2.jpg,Laptop Asus Zenbook UX3402ZA-KM220W (Core i5 1240P/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch 2.8K/ Windows 11 Home/ AQUA CELADON/ Vỏ nhôm),: 12,: 16,: Windows 11 Home,: 1x USB 3.2 Gen 2 Type-C; 1x 3.5mm Combo Audio Jack//1x USB 3.2 Gen 2 Type-C2x ThunderboltTM 4 supports display / power delivery//Micro SD card reader,24.990.000 ₫,: 8Gb (Onboard),: Không hỗ trợ,: 4800,: DDR5,: 2.8K (2880x1800),": 14.0inch 2.8K,: 31.36 x 21.98 x 1.69 ~ 1.69 cm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-asus-zenbook-ux3402za-km220w.html,": 1,1 kg",: Wi-Fi 6E(802.11ax)+Bluetooth 5.2 (Dual band) 2*2
: 3 cell,: Core i5 Alder Lake,: 1240P,: 3.3 GHz,: Grey,: 14.0inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_48101_laptop_lenovo_thinkbook_14_g4_intel.jpg,Laptop Lenovo ThinkBook 14 G4 IAP 21DH00BBVN (Core i5 1240P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home/ Grey/ Vỏ nhôm/ 2 Year),: 12,: 16,: Windows 11 Home,": 1x USB 3.2 Gen 1/ 1x USB 3.2 Gen 1 (Always On)/1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)/1x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power",23.390.000 ₫,: 16Gb (8Gb onboard + 1 khe rời),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 325 x 216 x 23.1-23.1 mm",: 512GB,: M.2 NVMe PCIe 2242,: SSD,https://www.phucanh.vn//laptop-lenovo-thinkbook-14-g4-iap-21dh00bbvn.html,": 1,4 Kg",": 100/1000M/ 11ac, 2x2 + BT5.0"
: 4 cell,: Core i7 Alder Lake,: 12700H,: 3.5 GHz,: Grey,: 15.6inch Full HD,: Nvidia GeForce RTX 3060 6GB GDDR6,https://phucanhcdn.com/media/product/250_47615_tuf_gaming_fx507_ha6.jpg,Laptop Asus TUF Gaming FX507ZM-HN123W (Core i7 12700H/ 16GB/ 512GB SSD/ Nvidia GeForce RTX 3060 6GB GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Grey),: 14,: 20,: Windows 11 Home,: 1x RJ45 LAN port; 1x Thunderbolt 4 support DisplayPort; 1x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC; 2x USB 3.2 Gen 1 Type-A//1x 3.5mm Combo Audio Jack,39.990.000 ₫,: 16Gb,: 2,: 4800,: DDR5,: Full HD (1920x1080) ,": 15.6inch Full HD,: 354 x 251 x 22.4-24.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-asus-tuf-gaming-fx507zm-hn123w.html,": 2,2 Kg",: Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.0
": Lên đến 18 giờ xem phim trên ứng dụng Apple TV, Lên đến 12 giờ truy cập web",: ,: M2 Max,: 400GB/s,: Silver,: Khoảng 14 inch,: 30 Core GPU,https://phucanhcdn.com/media/product/250_50135_may_tinh_xach_tay_apple_macbook_pro_14_m2_pro_silver_1.jpg,Máy tính xách tay Apple Macbook Pro 14 MPHK3SA/A (M2 Max 12 Cores CPU/ 32GB/ 1TB SSD/ 30 core GPU/ Silver),: 12 Cores,,: Mac OS,": 3x Thunderbolt 4 (USB-C), 3.5 mm headphone, Cổng sạc MagSafe 3, 1x HDMI, SDXC card",75.690.000 ₫,: 32Gb,: 1,: ,: ,: 3K,": 1.55 x 31.26 x 22.12 cm,: Khoảng 14 inch",: 1TB,,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-14-m2-max-mphk3saa.html,: 1.63Kg,": Wi-Fi 6E, Bluetooth 5.3"
": Lên đến 18 giờ xem phim trên ứng dụng Apple TV, Lên đến 12 giờ truy cập web",: ,: M2 Max,: 400GB/s,: Gray,: Khoảng 14 inch,: 30 Core GPU,https://phucanhcdn.com/media/product/250_50134_may_tinh_xach_tay_apple_macbook_pro_14_m2_pro_1.jpg,Máy tính xách tay Apple Macbook Pro 14 MPHG3SA/A (M2 Max 12 Cores CPU/ 32GB/ 1TB SSD/ 30 core GPU/ Space Gray),: 12 Cores,,: Mac OS,": 3x Thunderbolt 4 (USB-C), 3.5 mm headphone, Cổng sạc MagSafe 3, 1x HDMI, SDXC card",75.690.000 ₫,: 32Gb,: 1,: ,: ,: 3K,": 1.55 x 31.26 x 22.12 cm,: Khoảng 14 inch",: 1TB,,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-14-m2-max-mphg3saa.html,: 1.63Kg,": Wi-Fi 6E, Bluetooth 5.3"
