Battery,CPU,CPU_code,CPU_speed,Color,Display,Graphics,ImgURL,Name,Num_cores,Num_thread,OS,Ports,Price,Ram,Ram_slot,Ram_speed,Ram_type,Resolutions,Size,Storage,Storage_drive,Storage_type,URL,Weight,Wireless
: 3 cell,: Core i3 Alder Lake,: 1215U,: 1.2 GHz,: Carbon,: 15.6inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_49822_dell_vostro_3520_carbon_black_a4.jpg,Laptop Dell Vostro 3520 V5I3614W1 (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Carbon Black/ Vỏ nhựa/ 1 Year),: 6 Cores,: 8 Threads,: Windows 11 Home + Office Student,: 2 USB 3.2 Gen 1 port1 USB 2.0 port1 headset (headphone and microphone combo) port1 HDMI 1.4 portHDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)1 RJ45 Ethernet port (flip-down),14.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 358 x 235 x 1.69 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-vostro-3520-v5i3614w1.html,": 1,66 Kg",: WiFi 802.11a/b/g/ Bluetooth 5.0
: 4 cell,: AMD Ryzen 5,: 6600H,: 3.3 GHz,: Blue,: Khoảng 16 inch,: Nvidia GeForce RTX 3050 4Gb GDDR6,https://phucanhcdn.com/media/product/250_49607_8.jpg,Laptop HP Gaming Victus 16-e1107AX 7C140PA (Ryzen 5 6600H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050 4Gb GDDR6/ 16.1inch FHD/ Windows 11 Home/ Performance Blue/ Vỏ nhựa),: 6,: 12,: Windows 11 Home,": 1 SuperSpeed USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPortTM 1.4, HP Sleep and Charge); 1 SuperSpeed USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",25.490.000 ₫,: 8Gb,: 2,: 4800,: DDR5,: Full HD (1920x1080) ,": Khoảng 16 inch,: 6.9 x 55.2 x 34.5 cm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-hp-gaming-victus-16-e1107ax-7c140pa.html,": 2,4 Kg",: MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth® 5.2 combo (supporting gigabit data rate)
: 4 cell,: Core i5 Tiger Lake,: 11400H,: 2.7 GHz,: Black,: 15.6inch Full HD,: Nvidia GeForce RTX 3050 4Gb GDDR6,https://phucanhcdn.com/media/product/250_44949_1.jpg,Laptop Acer Gaming Nitro Eagle AN515 57 54MV NH.QENSV.003 (Core i5 11400H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050 4Gb GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Black/ 1 Year),: 6,: 12,: Windows 11 Home,: 1 x USB 3.2 Gen 2 port featuring power-off USB charging/ 2 x USB 3.2 Gen 1 ports/ 1 x Ethernet (RJ-45) port/ 1 x HDMI2.1 port with HDCP support/ 1 x HDMI2.0 port with HDCP support/ 3.5 mm head,26.490.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 364.9 x 256.9 x 19 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-gaming-acer-nitro-series-an515-57-54mv-nh.qensv.003.html,": 2,3 Kg",: KillerTM Wi-Fi 6 AX 1650i/ 10/100/1000 Mbps / Bluetooth 5.1
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Silver,: 15.6inch Full HD,: Nvidia GeForce MX550 2GB GDDR6,https://phucanhcdn.com/media/product/250_49132_dell_inspiron_3520_intel_silver_a3.jpg,Laptop Dell Inspiron 3520 70296960 (Core i5 1235U/ 8GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Silver/ Vỏ nhựa/ 1 Year),: 10 Cores,: 12 Threads,: Windows 11 Home + Office Student,: 2 USB 3.2 Gen 1 port 1 USB 2.0 Type-A port1 Audio Jack1 HDMI 1.4 port1 4.5 mm x 2.9 mm DC-in port1 Flip-Down,22.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 381 x 256 x 25 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-70296960.html,": 1,9 Kg",: WiFi 802.11a/b/g/ Bluetooth 5.0
: 6 cell,: Core i7 Tiger Lake,: 1165G7,: 2.8 GHz,: Black,: 13.3inch WQXGA,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_49978_laptop_lenovo_thinkpad_x13_gen_2__a3.jpg,Laptop Lenovo ThinkPad X13 GEN 2 20WK00PTVA (Core i7 1165G7/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.3inch WQXGA/ NoOS/ Black/ Carbon Fiber/ 3 Year),: 4,: 8,: NoOS,": 1x USB 3.2 Gen 11x USB 3.2 Gen 1 (Always On)2x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4a)1x HDMI 2.01x Headphone / microphone combo jack (3.5mm)",32.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: WQXGA (2560x1600) ,": 13.3inch WQXGA,: 305.8 x 217.06 x 18.19 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-lenovo-thinkpad-x13-gen-2-20wk00ptva-core-i7.html,": 1,31 Kg",": Intel Wi-Fi 6E AX210, 11ax 2x2 + BT5.1"
: 4 cell,: Core i3 Alder Lake,: 1215U,: 1.2 GHz,: Cloud Grey,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_49714_lenovo_s_series_s14_g3_iap__intel_cloud_grey_a5.jpg,Laptop Lenovo S series S14 G3 IAP 82TW000DVN (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ NoOS/ Cloud Grey/ Hợp kim nhôm/ 1 Year),: 6 Cores,: 8 Threads,: NoOS,": 1 cổng USB 3.2 Gen 1, 1 cổng USB 3.2 Gen 1, 1 cổng USB-C 3.2 Gen 2, 1 cổng Thunderbolt 4 / USB 4 40Gbps, 1 cổng HDMI, up to 4K/60Hz, 1 cổng Card reader 1X Ethernet, 1 cổng Headphone / microphone combo jack",14.690.000 ₫,: 8Gb (2x4Gb),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 324 x 215 x 19.5 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-s-series-s14-g3-iap-82tw000dvn.html,": 1,4 Kg",": Wi-Fi 6 11ax, 2x2 + BT5.1"
: 3 cell,: Core i5 Alder Lake,: 1240P,: 3.3 GHz,: Gold,: 15.6inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_49657_hp_pavilion_15_eg20_intel_gold_a1.jpg,Laptop HP Pavilion 15-eg2082TU 7C0Q5PA (Core i5 1240P/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Gold/ Hợp kim nhôm),: 12,: 16,: Windows 11 Home,": 1 SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPortTM 1.4, HP Sleep and Charge); 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo",19.790.000 ₫,: 8Gb (2x4Gb),: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 36.02 x 23.4 x 1.79 cm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//hp-pavilion-15-eg2082tu-7c0q5pa.html,": 1,74 Kg",: MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth® 5.2 combo (supporting gigabit data rate)
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Black,: 15.6inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_49155_dell_inspiron_3520_intel_black_a1.jpg,Laptop Dell Inspiron 3520 I5U085W11BLU (Core i5 1235U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Black/ Vỏ nhựa/ 1 Year),: 10 Cores,: 12 Threads,: Windows 11 Home + Office Student,: 2 USB 3.2 Gen 1 port 1 USB 2.0 Type-A port1 Audio Jack1 HDMI 1.4 port1 4.5 mm x 2.9 mm DC-in port1 Flip-Down,19.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 363 x 249 x 19.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-i5u085w11blu.html,": 1,83 Kg",: 802.11ac 1x1 WiFi + Bluetooth 5.2
: 1x Headphone / microphone combo jack (3.5mm),: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Xanh,: 15.6inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_49142_lenovo_ideapad_slim_3_15iau7_a2.jpg,"Laptop Lenovo IdeaPad Slim 3 15IAU7 82RK001QVN (Core i5 1235U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Xanh/ PC + ABS (Top), PC + ABS (Bottom)/ 2 Year)",: 10 Cores,: 12 Threads,: Windows 11 Home,": 1x USB 2.01x USB 3.2 Gen 11x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)1x HDMI 1.4b1x Card reader1x Headphone / microphone combo jack (3.5mm)1x Power connector",17.490.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 359 x 236 x 19.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-ideapad-slim-3-15aba7-82rk001qvn.html,": 1,63 Kg",": 11ac, 2x2 + BT5.0"
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Black,: 15.6inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_48882_49470_dell_inspiron_3520_intel_blakc_a3.jpg,Laptop Dell Inspiron 3520 N5I5122W1 (Core i5 1235U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Black/ Vỏ nhựa/ 1 Year),: 10 Cores,: 12 Threads,: Windows 11 Home + Office Student,: 2 USB 3.2 Gen 1 port 1 USB 2.0 Type-A port1 Audio Jack1 HDMI 1.4 port1 4.5 mm x 2.9 mm DC-in port1 Flip-Down,18.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 381 x 256 x 25 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-n5i5122w1.html,": 1,9 Kg",: WiFi 802.11a/b/g/ Bluetooth 5.0
