Name,Price,URL,ImgURL,CPU,Ram,Storage,Graphics,Display,Status
Laptop ASUS TUF Gaming F15 FX507VV4,39490000,https://laptop88.vn/new-100-laptop-asus-tuf-gaming-f15-fx507vv4-lp382w-intel-core-i9-13900h-rtx-4060-8gb-15.6-inch-full-hd-144hz.html,https://laptop88.vn/media/product/7955_t___i_xu___ng.jpg,i9 - 13900H,16GB DDR4,SSD 512GB NMVe,Nvidia RTX 4060 8GB,15.6 Full HD 144Hz,New 100%
Laptop Cũ Dell Vostro 15 3500,11990000,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-15-3500-7g3981-intel-core-i5.html,https://laptop88.vn/media/product/6262_7345_dell_vostro_3500_v5i3001w_1.jpg,"Core i5-1135G7
",8GB DDR4,SSD 256GB NVMe,"Intel Iris Xe Graphics
",15.6 Full HD,Used
Laptop Cũ Dell Latitude 5500,8990000,https://laptop88.vn/laptop-cu-dell-latitude-5500-intel-core-i5.html,https://laptop88.vn/media/product/pro_poster_7212.jpg,i5 - 8350U,8GB DDR4,SSD 256GB,Intel UHD 620,15.6 Full HD,Used
Laptop MSI Creator Z17 HX Studio A13VGT 068VN,75990000,https://laptop88.vn/new-100-laptop-msi-creator-z17-hx-studio-a13vgt-068vn-intel-core-i7-13700hx-rtx4070-8gb-17-inch-qhd-165hz.html,https://laptop88.vn/media/product/8031_untitled_1.jpg,"i7-13700HX
",32GB DDR5,SSD 2TB NVMe,RTX4070 8GB,17.0 QHD+ 165Hz,New 100%
Laptop Cũ Dell Vostro 15 3500,12690000,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-15-3500-7g3982-intel-core-i7.html,https://laptop88.vn/media/product/pro_poster_6263.jpg,"Core i7-1165G7
",8GB DDR4,SSD 256GB,"Intel Iris Xe Graphics
",15.6 Full HD,Used
Laptop HP Pavilion 14,14990000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv051-intel-core-i5.html,https://laptop88.vn/media/product/pro_poster_6683.jpg,i5 - 1235U,8GB DDR4,SSD 256GB NMVe,"Intel UHD Graphics
",14 Full HD,New 100%
Laptop Dell Inspiron 16 5630,18990000,https://laptop88.vn/new-100-laptop-dell-inspiron-16-5630-r1605s-intel-core-i5-1340p-16-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_8072.jpg,"i5 - 1340P
",16GB LPDDR5,SSD 512GB NVMe,"Intel Iris Xe Graphics
",16.0 Full HD+ ,New 100%
Laptop Asus ROG Strix G15 G513IE,21590000,https://laptop88.vn/moi-100-full-box-laptop-asus-rog-strix-g15-g513ie-hn246w-amd-ryzen-7-4800h-rtx-3050ti-15.6-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7532.jpg,"R7 - 4800H
",8GB DDR4,SSD 512GB NVMe,"Nvidia RTX 3050 Ti
",15.6 Full HD 144Hz,New Outlet
Laptop Dell Vostro 15 3510,14590000,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-15-3510-7t2yc1-intel-core-i5.html,https://laptop88.vn/media/product/pro_poster_6720.jpg,"Core i5-1135G7
",8GB DDR4,SSD 512GB NVMe,"Nvidia MX350
",15.6 Full HD,New 100%
Laptop Cũ Asus Vivobook 17 X712JA,13690000,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-17-x712ja-211-intel-core-i7-1065g7-17-inch-hd.html,https://laptop88.vn/media/product/pro_poster_7649.jpg,"i7 - 1065G7
",16GB DDR4,SSD 1TB NVMe,"Intel Iris Plus Graphics
",17 HD+,Used
Laptop LG Gram 2022 16ZD90Q,28590000,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-lg-gram-2022-16zd90q-g.ax72a5-intel-core-i7-gen-12th-16-inch-2k-99-dci-p3.html,https://laptop88.vn/media/product/pro_poster_7322.jpg,"12th Gen Intel Core i7
",16GB LPDDR5,SSD 256GB NVMe,"Intel Iris Xe Graphics
",16.0 WQXGA ,New 100%
Laptop LG Gram 2022 17ZD90Q,25990000,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-17zd90q-g.ax73a5-intel-core-i7-gen-12th-17-inch-2k-99-dci-p3.html,https://laptop88.vn/media/product/pro_poster_7329.jpg,"12th Gen Intel Core i7
",16GB LPDDR5,SSD 512GB NVMe,"Intel Iris Xe Graphics
",17.0 WQXGA,New 100%
Laptop LG Gram 2022 14ZD90Q,22990000,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-14zd90q-g.ax56a5-intel-core-i5-gen-12th-14-inch-99-dci-p3.html,https://laptop88.vn/media/product/pro_poster_7336.jpg,12th Gen Intel Core i5,16GB LPDDR5,SSD 256GB NVMe,"Intel Iris Xe Graphics
",14.0 WUXGA ,New 100%
Laptop Asus Vivobook 15 X1502ZA,15290000,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-15-x1502za-bq127w-intel-core-i5-1240p.html,https://laptop88.vn/media/product/pro_poster_7277.jpg,"Core i5-1240P
",8GB DDR4,SSD 512GB NVMe,"Intel Iris Xᵉ Graphics
","15.6 Full HD iPS
",New 100%
Laptop Asus Vivobook 14X A1403ZA,16490000,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-a14-a1403za-km067w-intel-core-i5-12500h.html,https://laptop88.vn/media/product/pro_poster_7411.jpg,Intel Core i5-12500H,8GB DDR4,SSD 256GB NVMe,Intel Iris Xe Graphics,14 2K 100%DCi-P3,New 100%
Laptop Asus FL8850UA 90NB0U12,13290000,https://laptop88.vn/moi-99-full-box-laptop-asus-fl8850ua-90nb0u12-m01790-amd-ryzen-7.html,https://laptop88.vn/media/product/7523_6703__m___i_100__full_box__laptop_asus_fl8850ua_90nb0u12_m01790___amd_ryzen_7.png,R7-5700U 8 nhân,8GB DDR4,SSD 512GB,AMD Vega 8,15.6 Full HD,Used
Laptop Asus VivoBook X1402ZA,14790000,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-x1402za-ek084w-intel-core-i5-1240p.html,https://laptop88.vn/media/product/pro_poster_7378.jpg,"Core i5-1240P
",8GB DDR4,SSD 256GB,"Intel Iris Xe Graphics
",14.0 Full HD,New 100%
Laptop Asus Vivobook 14X OLED A1403ZA,16490000,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-14-a1403za-km161w-intel-i5-12500h.html,https://laptop88.vn/media/product/pro_poster_7319.jpg,"Core i5-12500H
",8GB DDR4,SSD 256GB NVMe,"Intel Iris Xe Graphics
",14.0 WQXGA ,New 100%
Laptop Acer Nitro 5 AN515,19990000,https://laptop88.vn/moi-100-full-box-laptop-acer-nitro-5-2021-an515-56-56s5-intel-core-i5.html,https://laptop88.vn/media/product/pro_poster_6386.jpg,"i5 - 11400H
",8GB DDR4,SSD 512GB NVMe,Nvidia RTX 3050 4GB,15.6 Full HD 144Hz,New 100%
Laptop Asus Vivobook 14 OLED A1405VA,18990000,https://laptop88.vn/new-100-laptop-asus-vivobook-14-oled-a1405va-km095w-intel-core-i5-13500h-14-inch-2.8k-oled.html,https://laptop88.vn/media/product/pro_poster_8066.jpg," i5-13500H
",16GB DDR4,SSD 512GB M.2 NVMe,Intel Iris Xe Graphics,14  2.8K OLED,New 100%
Laptop Asus Vivobook 14X A1403ZA,13490000,https://laptop88.vn/new-100-laptop-asus-vivobook-14x-a1403za-ly153w-intel-core-i3-1220p-14-inch-wuxga-2022.html,https://laptop88.vn/media/product/7950_ac_m___i_100__full_box_laptop_asus_vivobook_14x_a1403za_ly072w_i3.jpg,Intel Core i3-1220p,8GB DDR4,SSD 512GB NVMe,Intel UHD Graphics,14 inch Full HD+,New 100%
Laptop Asus Vivobook M1503QA,16190000,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-asus-m1503qa-l1044w-amd-ryzen-7-5800h-15.6-inch-full-hd-oled.html,https://laptop88.vn/media/product/pro_poster_7533.jpg,"R7 - 5800H
",8GB DDR4,SSD 512GB NVMe,"AMD Radeon Graphics
",15.6 OLED 100%DCi-P3,New 100%
Laptop  Asus Vivobook S 14 Flip TP3402VA,20390000,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-flip-tp3402va-lz031w-intel-core-i5-13500h-14-inch-wuxga.html,https://laptop88.vn/media/product/pro_poster_8062.jpg,"i5-13500H
",16GB DDR4,SSD 512GB M.2 NVMe,Intel UHD Graphics,14  WUXGA (1920 x 1200),New 100%
Laptop LG Gram 2022 16ZD90Q,25990000,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-16zd90q-g.ax51a5-intel-core-i5-16-inch-2k-99-dci-p3.html,https://laptop88.vn/media/product/pro_poster_7357.jpg,12th Gen Intel Core i5,8GB LPDDR5,SSD 256GB,"Intel Iris Xe Graphics
",16.0 WQXGA,New 100%
Laptop LG Gram 2022 16ZD90Q,24590000,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-16zd90q-g.ax55a5-intel-core-i5-gen-12th-16-inch-2k-99-dci-p3.html,https://laptop88.vn/media/product/7326_444.jpg,"12th Gen Intel Core i5
",16GB LPDDR5,SSD 512GB NVMe,"Intel Iris Xe Graphics
",16.0 WQXGA,New 100%
Laptop HP Pavilion 15 EG2058TU 6K788PA / EG2084TU 7C0Q6PA  / EG2085TU 7C0Q7PA,14790000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2058tu-6k788pa-intel-core-i5-1240p-15.6-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7392.jpg,i5 - 1240p,8GB DDR4,SSD 256GB,Intel Iris Xe,15.6 Full HD iPS,New 100%
Laptop  HP Pavilion 15,17690000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2065tx-intel-core-i5-1235u-15.6-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7843.jpg,i5 - 1235U,8GB DDR4,SSD 256GB,2G_MX550,15.6 Full HD ,New 100%
Asus Vivobook 15 K513EA,15990000,https://laptop88.vn/new-outlet-asus-vivobook-15-k513e-intel-core-i7-1165g7-16gb-1tb-15.6-inch-full-hd-oled.html,https://laptop88.vn/media/product/pro_poster_8185.jpg,i7-1165G7,16GB DDR4,SSD 1TB NVMe,Intel Iris Xe,15  FHD OLED,New Outlet
