Product,Price,Image,Link,CPU,Ram,Storage,Graphics,Screen,Status,Weight,Battery,Brand
Dell Inspiron 7567,9900000,https://techcare.vn/wp-content/uploads/2020/02/dell-inspiron-7567-300x300.png,https://techcare.vn/san-pham/dell-inspiron-7567-i5/,Core i5-7300HQ,8GB,HDD 500GB + SSD 120GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,,6-Cell 74 WHr,DELL
Dell inspiron 7559,9500000,https://techcare.vn/wp-content/uploads/2019/04/dell-inspiron-7559-1-300x300.png,https://techcare.vn/san-pham/dell-inspiron-7559-i7/,Core i7-6700HQ,8GB,HDD 500GB + SSD 120GB,Nvidia GTX 960M 4GB,15.6 inch Full HD,99%,2.5 kg,,DELL
Lenovo ThinkPad P50,10400000,https://techcare.vn/wp-content/uploads/2018/04/lenovo-thinkpad-p50-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-p50/,Core i7-6820HQ,8GB,SSD 256GB,Nvidia Quadro M1000M 2GB,15.6 inch Full HD,99%,2.55Kg,,LENOVO
Dell Inspiron 7447,8600000,https://techcare.vn/wp-content/uploads/2019/11/dell-inspiron-7447-300x300.jpg,https://techcare.vn/san-pham/dell-inspiron-7447-i5/,Core i5 4210H,4GB,SSD 120GB,Nvidia Geforce GTX 850M,14 inch HD,99%,,4 Cells,DELL
Surface Pro X,23500000,https://techcare.vn/wp-content/uploads/2022/07/surface-pro-x-300x300.jpg,https://techcare.vn/san-pham/surface-pro-x/,Microsoft SQ1,16GB,SSD 512GB,Microsoft SQ1 Adreno 685,13 inch (2880x1920) pixels,99%,0.774 kg,13Whr,MICROSOFT
Surface Book 2,20900000,https://techcare.vn/wp-content/uploads/2022/07/microsoft-surface-book-2-300x300.jpg,https://techcare.vn/san-pham/microsoft-surface-book-2/,Core i7-8650U,16GB,SSD 512GB,Nvidia GeForce GTX 1050 2GB,13.5 inch 3K,99%,1.534kg,Khoảng 17 giờ (theo công bố của Microsoft),MICROSOFT
Dell Precision 5540,16500000,https://techcare.vn/wp-content/uploads/2021/02/dell-precision-5540-14-300x300.jpg,https://techcare.vn/san-pham/dell-precision-5540/,Core i7-9750H,16GB,SSD 256GB,Nvidia Quadro T1000 4GB,15.6 inch Full HD,99%,,56Wh,DELL
Lenovo X1 Carbon Gen 4,8900000,https://techcare.vn/wp-content/uploads/2019/10/lenovo-x1-carbon-gen-4-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-x1-carbon-gen-4/,Core i5-6200U,8GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%,1.18kg,,LENOVO
HP Folio 1040 G2,8800000,https://techcare.vn/wp-content/uploads/2019/10/hp-folio-1040-g2-300x300.png,https://techcare.vn/san-pham/hp-elitebook-folio-1040-g2/,Core i5-5300U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%,,,HP
Lenovo ThinkPad T470s,7400000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-t470s-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t470s/,Core i5-6300U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,,58Wh,LENOVO
HP Elitebook 840 G1,5300000,https://techcare.vn/wp-content/uploads/2016/09/hp-elitebook-840-g1-3-300x300.png,https://techcare.vn/san-pham/hp-elitebook-840-g1-core-i5-4300u-intel-hd-graphics-4400/,Core i5-4300U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,,,HP
Dell XPS 13 9380,13900000,https://techcare.vn/wp-content/uploads/2018/04/dell-xps-13-9380-300x300.jpg,https://techcare.vn/san-pham/dell-xps-13-9380/,Core i5-8265U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%,,52WHr,DELL
Dell XPS 15 9560,13500000,https://techcare.vn/wp-content/uploads/2019/07/dell-xps15-9560-300x300.png,https://techcare.vn/san-pham/dell-xps-15-9560-i5/,Core i5-7300HQ,8GB,SSD 256GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,1.78kg,,DELL
Lenovo X1 Carbon Gen 3,12900000,https://techcare.vn/wp-content/uploads/2018/08/lenovo-x1-carbon-gen-3-1-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-x1-carbon-gen3/,Core i7-5600U,8GB,SSD 240GB,Intel HD Graphics 5500,14 inch Full HD,99%,1.36 kg,8-cell (50Wh),LENOVO
Dell Latitude 3490,4900000,https://techcare.vn/wp-content/uploads/2020/02/dell-latitude-3490-5-300x300.png,https://techcare.vn/san-pham/dell-latitude-3490/,Core i3-7020U,4GB,SSD 128GB,Intel Graphics HD,14 inch HD,99%,,4 cell,DELL
Dell Latitude E5540,4900000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-e5540-2-300x300.png,https://techcare.vn/san-pham/dell-latitude-e5540-i5/,Core i3-4005U,4GB,SSD 120GB,Intel HD Graphics 4400,15.6 inch HD,99%,2.4Kg,,DELL
Lenovo x1 Yoga Gen 3,25900000,https://techcare.vn/wp-content/uploads/2019/05/lenovo-x1-yoga-gen-3-2-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-x1-yoga-gen-3/,Core i7-8550U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch 2K cảm ứng,99%,1.4kg,4 cell Li-Polymer 54Whr,LENOVO
Dell XPS 15 9570,16500000,https://techcare.vn/wp-content/uploads/2019/04/dell-xps-15-9570-300x300.png,https://techcare.vn/san-pham/dell-xps-15-9570/,Core i7-8750H,16GB,SSD 512GB,Nvidia GTX 1050Ti 4GB + Intel UHD Graphics 630,15.6 inch Full HD,99%,,6 Cell 97WHr,DELL
Lenovo Carbon Gen 6,16500000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-x1-carbon-gen-6-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-x1-carbon-gen-6-core-i5/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.13 kg,"3Cell, 57WHr",LENOVO
Dell XPS 15 9550,14900000,https://techcare.vn/wp-content/uploads/2019/05/dell-xps-15-9550-300x300.png,https://techcare.vn/san-pham/dell-xps-15-9550/,Core i7-6700HQ,16GB,SSD 512GB,Nvidia GeForce GTX 960M + Intel HD Graphics 530,15.6 inch Full HD,99%,2kg,6 Cell – 84WHr,DELL
Dell XPS 13-9360,14900000,https://techcare.vn/wp-content/uploads/2017/08/dell-xps-13-9360-300x300.jpg,https://techcare.vn/san-pham/laptop-dell-xps-13-9360-core-i7-7500u-intel-hd-graphics-620/,Core i7-7600U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%,1.29 kg,,DELL
Dell Precision 7750,43400000,https://techcare.vn/wp-content/uploads/2020/04/dell-precision-7750-300x300.jpg,https://techcare.vn/san-pham/dell-precision-7750/,Core i7-10750H,16GB,SSD 512GB,Nvidia Quadro RTX3000 6GB,17.3 inch Full HD,99%,3.01 kg,6 Cell 95Whr,DELL
Lenovo Thinkpad P1,35900000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-p1-2-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-p1-i7/,Core i7-8850H,16GB,SSD 512GB,Nvidia Quadro P2000 4GB,15.6 inch Full HD,99%,,,LENOVO
Dell Precision 7730,29500000,https://techcare.vn/wp-content/uploads/2018/04/dell-precision-7730-300x300.png,https://techcare.vn/san-pham/dell-precision-7730/,Core i7-8850H,32GB,SSD 512GB,Nvidia Quadro P3200 6GB + Intel UHD Graphics 630,17.3 inch Full HD,99%,"2,6Kg",6 Cell 97WHr,DELL
Dell Precision 7740,29400000,https://techcare.vn/wp-content/uploads/2020/04/dell-precision-7740-300x300.jpg,https://techcare.vn/san-pham/dell-precision-7740/,Core i5-9400H,16GB,SSD 512GB,Nvidia Quadro RTX3000 6GB,17.3 inch Full HD,99%,3.08 Kg,6 Cells 97 Whr,DELL
Dell precision 7550,26000000,https://techcare.vn/wp-content/uploads/2021/04/dell-precision-7550-20-300x300.png,https://techcare.vn/san-pham/dell-precision-7550-xeon/,Xeon W-10855M,16GB,SSD 512GB,Nvidia Quadro T1000 4GB,15.6 inch Full HD,99%,,95WHr,DELL
Lenovo ThinkPad P15,23900000,https://techcare.vn/wp-content/uploads/2021/07/lenovo-thinkpad-p15-9-300x300.png,https://techcare.vn/san-pham/lenovo-thinkpad-p15/,Core i7-10850H,16GB,SSD 512GB,Nvidia Quadro T1000 4GB,15.6 inch Full HD,99%,"2,74Kg",94WHr,LENOVO
HP Zbook 17 G4,24900000,https://techcare.vn/wp-content/uploads/2018/04/hp-zbook-17-g4-300x300.png,https://techcare.vn/san-pham/hp-zbook-17-g4/,Core i7-7700HQ,16GB,SSD 512GB,Nvidia Quadro P5000 16GB,17.3 inch Full HD,99%,,9 Cell 90 WHr Long Life,HP
HP ZBook 15 G4,23900000,https://techcare.vn/wp-content/uploads/2018/04/hp-zbook-15-g4-300x300.png,https://techcare.vn/san-pham/hp-zbook-15-g4/,Core i7-7700HQ,8GB,SSD 256GB,Nvidia Quadro M2200,15.6 inch Full HD,99%,2.6 kg,9 Cells (51Wh),HP
HP ZBook 15 G5,16500000,https://techcare.vn/wp-content/uploads/2018/04/hp-zbook-15-g5-300x300.png,https://techcare.vn/san-pham/hp-zbook-15-g5/,Core i7-8750H,8GB,SSD 256GB + HDD 500GB,Nvidia Quadro P1000 4GB,15.6 inch Full HD,99%,2.8kg,72WHr,HP
Dell Precision M6800,14400000,https://techcare.vn/wp-content/uploads/2018/04/dell-precision-m6800-300x300.png,https://techcare.vn/san-pham/dell-precision-m6800/,Core i7-4800MQ,8GB,HDD 500GB + SSD 120GB,AMD FirePro M6100M,17.3 inch Full HD,99%,3.8 kg,,DELL
Dell precision 3510,8200000,https://techcare.vn/wp-content/uploads/2020/02/dell-precision-3510-1-2-300x300.png,https://techcare.vn/san-pham/dell-precision-3510/,Core i7-6820HQ,8GB,SSD 240GB,AMD FirePro W5130M,15.6 inch Full HD,99%,,84 Wh,DELL
HP Zbook 15 G2,8900000,https://techcare.vn/wp-content/uploads/2019/10/hp-zbook-15-g2-300x300.png,https://techcare.vn/san-pham/hp-zbook-15-g2/,Core i7-4810MQ,8GB,SSD 256GB,Nvidia Quadro K1100M,15.6 inch Full HD,99%,2.82kg dày 30.5mm,8 Cell,HP
HP Probook 340 G4,9200000,https://techcare.vn/wp-content/uploads/2021/07/hp-probook-340-g4-300x300.jpg,https://techcare.vn/san-pham/hp-probook-340-g4/,Core i5-7200U,4GB,SSD 120GB,AMD R5 M330,14 inch HD,99%,1.55 kg,3 cell,HP
HP Zbook 15 G1,7500000,https://techcare.vn/wp-content/uploads/2020/02/hp-zbook-15-g1-1-300x300.jpg,https://techcare.vn/san-pham/laptop-hp-zbook-15-g1-core-i7-4800mq-nvidia-quadro-k1100/,Core i7-4800MQ,8GB,SSD 256GB,Nvidia Quadro K1100M,15.6 inch Full HD,99%,2.82kg dày 30.5mm,,HP
HP Elitebook 840 G5,8200000,https://techcare.vn/wp-content/uploads/2019/05/hp-elitebook-840-g5-300x300.png,https://techcare.vn/san-pham/hp-elitebook-840-g5-corei7/,Core i7-8650U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.44 Kg,,HP
HP Zbook 14U G5,8900000,https://techcare.vn/wp-content/uploads/2022/08/hp-zbook-14u-g5-10.jpg,https://techcare.vn/san-pham/hp-zbook-14u-g5/,Core i5-7200U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.48Kg,6 Cell 30WHr,HP
Dell Precison M4800,7500000,https://techcare.vn/wp-content/uploads/2020/05/dell-precison-m4800-1-300x300.jpg,https://techcare.vn/san-pham/dell-precison-m4800-i7-nvidia-quadro-k1100m-chien-binh-thep-game-hoa/,Core i7-4800MQ,8GB,SSD 256GB,Nvidia Quadro K1100M,15.6 inch Full HD,99%,,,DELL
HP Elitebook 745 G4,6900000,https://techcare.vn/wp-content/uploads/2021/09/hp-elitebook-745-g4-8-300x300.png,https://techcare.vn/san-pham/hp-eitebook-745-g4/,AMD PRO A10-8730B,4GB,SSD 120GB,AMD Radeon R5,14 inch Full HD,99%,1.48 kg,3-cell (51 WHr),HP
HP Elitebook 9480m,6900000,https://techcare.vn/wp-content/uploads/2019/04/hp-elitebook-9480m-2-300x300.png,https://techcare.vn/san-pham/laptop-hp-elitebook-folio-9480m-core-i5-4310u-intel-hd-graphics-4000/,Core i5-4300U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,,,HP
Dell Latitude E6440,4900000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-e6440-1-300x300.png,https://techcare.vn/san-pham/laptop-cu-dell-latitude-e6440-core-i5-4200m-intel-hd-graphics-4600/,Core i5-4200M,4GB,SSD 120GB,Intel Graphics 4600,14 inch HD,99%,2.1 kg,,DELL
Lenovo X1 Yoga Gen 3,23900000,https://techcare.vn/wp-content/uploads/2019/05/lenovo-x1-yoga-gen-3-300x300.jpg,https://techcare.vn/san-pham/lenovo-x1-yoga-gen-3-20lds00l00-i5/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch 2K cảm ứng,99%,,4 Cell,LENOVO
Lenovo Thinkpad x280,20500000,https://techcare.vn/wp-content/uploads/2019/05/lenovo-thinkpad-x280-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-x280-20kfs01boo-i7/,Core i7-8550U,8GB,SSD 256GB,Intel HD Graphics 620,12.5 inch HD,99%,,,LENOVO
Lenovo X1 Carbon Gen 6,17200000,https://techcare.vn/wp-content/uploads/2019/05/lenovo-x1-carbon-gen-6-1-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-x1-carbon-gen-6-20khs01900-i7/,Core i7-8550U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,,3 cell 57Wh,LENOVO
HP ProBook 640 G3,10500000,https://techcare.vn/wp-content/uploads/2021/07/hp-probook-640-g3-300x300.jpg,https://techcare.vn/san-pham/hp-probook-640-g3/,Core i5-7200U,8GB,SSD 240GB,Intel HD Graphics 620,14 inch HD,99%,2.2kg,72WHr,HP
Lenovo K43c-80,9800000,https://techcare.vn/wp-content/uploads/2021/07/lenovo-k43c-80-7-300x300.jpg,https://techcare.vn/san-pham/lenovo-k43c-80/,Core i3-8130U,8GB,HDD 1TB + SSD 120GB,Intel HD Graphics 620,14 inch Full HD,99%,,,LENOVO
Lenovo Thinkpad T460s,6800000,https://techcare.vn/wp-content/uploads/2020/02/lenovo-thinkpad-t460s-1-1-300x300.png,https://techcare.vn/san-pham/lenovo-thinkpad-t460s-i5/,Core i5-6200U,8GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%,1.4kg ,,LENOVO
HP Elitebook 840 G4,8200000,https://techcare.vn/wp-content/uploads/2019/05/hp-elitebook-840-g4-300x300.png,https://techcare.vn/san-pham/hp-elitebook-840-g4/,Core i5-7200U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.48kg,,HP
HP EliteBook 840 G6,9200000,https://techcare.vn/wp-content/uploads/2021/09/hp-elitebook-840-g6-10-1-300x300.jpg,https://techcare.vn/san-pham/hp-elitebook-840-g6/,Core i5-8350U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.44 kg,3 Cell 50 WHr,HP
Dell Latitude 3380,7500000,https://techcare.vn/wp-content/uploads/2021/10/dell-latitude-3380-9-300x300.png,https://techcare.vn/san-pham/dell-latitude-3380/,Core i3-6006U,4GB,SSD 128GB,Intel HD Graphics 520,13.3 inch HD,99%,1.6 kg,4 cells,DELL
HP Probook 440 G5,7900000,https://techcare.vn/wp-content/uploads/2022/08/hp-probook-440-g5-11.jpg,https://techcare.vn/san-pham/hp-probook-440-g5/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.63 kg,"3-cell, Long Life 48 WHr Li-ion",HP
Lenovo K21-80,7200000,https://techcare.vn/wp-content/uploads/2021/10/lenovo-k21-80-9-300x300.png,https://techcare.vn/san-pham/lenovo-k21-80/,Core i3-6100U,4GB,SSD 120GB,Intel HD Graphics 520,12.5 inch HD,99%,1.2kg,,LENOVO
Dell Latitude 5591,8900000,https://techcare.vn/wp-content/uploads/2022/07/dell-latitude-5591.jpg,https://techcare.vn/san-pham/laptop-dell-latitude-5591/,Core i7-8750H,8GB,SSD 256GB,Nvidia Geforce MX130 2GB,15.6 inch Full HD,99%,1.93kg,"3 Cell 51 WHr, Li-ion/Polymer",DELL
HP Elitebook 830 G6,7500000,https://techcare.vn/wp-content/uploads/2022/07/hp-elitebook-830-g6.jpg,https://techcare.vn/san-pham/laptop-hp-elitebook-830-g6/,Core i5-8365U,8GB,SSD 256GB,Intel UHD Graphics,13 inch Full HD,99%,1.32 kg,"3 Cell, 53Whr",HP
HP Probook 430 G8,11500000,https://techcare.vn/wp-content/uploads/2022/07/hp-probook-430-g8.jpg,https://techcare.vn/san-pham/hp-probook-430-g8/,Core i5-1135G7,8GB,SSD 256GB,Intel UHD Graphics,13.3 inch Full HD,99%,1.28 kg,"3-cell Li-ion, 45 Wh",HP
Dell Latitude 5401,8500000,https://techcare.vn/wp-content/uploads/2023/05/dell-latitude-5401-3.png,https://techcare.vn/san-pham/laptop-dell-latitude-5401/,Core i5-9400H,8GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,99%,1.6kg,4 Cell (68wh),DELL
HP 250 G8,8900000,https://techcare.vn/wp-content/uploads/2023/05/hp-250-g8-3.png,https://techcare.vn/san-pham/laptop-hp-250-g8/,Core i3-1005G1,4GB,SSD 256GB,Intel UHD Graphics,15.6 inch HD,100 %,1.5 Kg,"3-cell, 41 Wh Li-ion",HP
Dell Vostro 7580,21000000,https://techcare.vn/wp-content/uploads/2018/07/dell-vostro-7580-300x300.png,https://techcare.vn/san-pham/dell-vostro-7580/,Core i7-8750H,8GB,HDD 1TB + SSD 128GB,Nvidia Geforce GTX 1050Ti 4GB,15.6 inch Full HD,99%,,56Wh,DELL
Dell Latitude 3450,8500000,https://techcare.vn/wp-content/uploads/2021/07/dell-latitude-3450-5-300x300.png,https://techcare.vn/san-pham/dell-latitude-3450/,Core i5-5200U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%,2.0 kg,3Cell 43Whr,DELL
Dell g7 7588,18900000,https://techcare.vn/wp-content/uploads/2020/02/dell-g7-7588-300x300.png,https://techcare.vn/san-pham/dell-g7-7588/,Core i7-8750H,8GB,HDD 1TB + SSD 128GB,Nvidia Geforce GTX 1050Ti 4GB,15.6 inch Full HD,99%,,4 Cell 56WHr,DELL
Dell Latitude E3570,6500000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-e3570-3-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e3570-i5/,Core i3-6100U,4GB,SSD 120GB,Intel HD Graphics 520,15.6 inch HD,99%,2.06kg,,DELL
Dell Latitude E5530,5300000,https://techcare.vn/wp-content/uploads/2020/05/dell-latitude-e5530-300x300.png,https://techcare.vn/san-pham/dell-latitude-e5530-i5-intel-hd-graphics-4000/,Core i5-3320M,4GB,SSD 120GB,Intel HD Graphics 4000,15.6 inch HD,99%,,,DELL
Dell Latitude E3460,6200000,https://techcare.vn/wp-content/uploads/2021/07/dell-latitude-e3460-7-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e3460/,Intel Celeron 3215U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,1.6kg,5 cells,DELL
Dell Latitude E7440,4800000,https://techcare.vn/wp-content/uploads/2019/11/dell-latitude-e7440-2-300x300.png,https://techcare.vn/san-pham/dell-latitude-e7440-i5-intel-hd-graphics-family/,Core i5-4300U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,,,DELL
HP Elitebook 9470m,4900000,https://techcare.vn/wp-content/uploads/2019/11/hp-elitebook-9470m-300x300.png,https://techcare.vn/san-pham/laptop-hp-elitebook-folio-9470m-core-i5-3427u-intel-hd-graphics-4000/,Core i5-3427U,4GB,SSD 120GB,Intel HD Graphics 4000,14 inch HD,99%,,,HP
Dell Latitude E5430,4500000,https://techcare.vn/wp-content/uploads/2020/02/dell-latitude-e5430-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e5430-i5-intel-hd-graphics-4000/,Core i5-3320M,4GB,SSD 128GB,Intel HD Graphics 4000,14 inch HD,99%,,,DELL
HP Elitebook 1040 G3,6400000,https://techcare.vn/wp-content/uploads/2022/06/hp-elitebook-1040-g3.jpg,https://techcare.vn/san-pham/hp-elitebook-1040-g3/,Core i5-6300U,8GB,SSD 256GB,Intel HD Graphics 520,14 inch Full HD,99%,1.5Kg,6 Cell,HP
Lenovo Yoga S1,8800000,https://techcare.vn/wp-content/uploads/2019/05/lenovo-yoga-s1-300x300.jpg,https://techcare.vn/san-pham/lenovo-yoga-s1-i5/,Core i5-4200U,8GB,SSD 240GB,Intel HD Graphics 4400,12.5 Inch Full HD cảm ứng,99%,,,LENOVO
Lenovo Thinkpad X260,8500000,https://techcare.vn/wp-content/uploads/2021/10/lenovo-thinkpad-x260-13-300x300.png,https://techcare.vn/san-pham/lenovo-thinkpad-x260/,Core i5-6300U,4GB,SSD 120GB,Intel HD Graphics 520,12.5 inch HD,99%,1.5 kg,3 Cell,LENOVO
HP Probook 650 G2,8400000,https://techcare.vn/wp-content/uploads/2020/05/hp-probook-650-g2-300x300.jpg,https://techcare.vn/san-pham/hp-probook-650-g2/,Core i5-6200U,4GB,SSD 128GB,Intel HD Graphics 520,15.6 inch HD,99%,2.3 kg,,HP
HP Probook 440 G6,8300000,https://techcare.vn/wp-content/uploads/2022/07/hp-probook-440-g6.jpg,https://techcare.vn/san-pham/hp-probook-440-g6-6fg85pa-i5/,Core i5-8265U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.6 kg,3 Cells 45WHr,HP
HP Probook 640 G7,9900000,https://techcare.vn/wp-content/uploads/2022/07/hp-probook-640-g7.jpg,https://techcare.vn/san-pham/laptop-hp-probook-640-g7/,Core i5-10210U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.73kg,48 Wh Lithium-Ion,HP
Hp EliteBook 830 G5,7800000,https://techcare.vn/wp-content/uploads/2019/05/hp-elitebook-830-g5-300x300.png,https://techcare.vn/san-pham/hp-elitebook-830-g5/,Core i7-8550U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%,,3-cell,HP
Lenovo ThinkPad T460s,7700000,https://techcare.vn/wp-content/uploads/2019/05/lenovo-thinkpad-t460s-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t460s/,Core i7-6600U,8GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%,1.4kg,6-cell 51Whr,LENOVO
HP Probook 450 G2,4900000,https://techcare.vn/wp-content/uploads/2017/11/hp-probook-450-g2-3-300x300.png,https://techcare.vn/san-pham/laptop-hp-probook-450-g2-core-i5-4210u-intel-hd-graphics-4400/,Core i3-4030U,4GB,SSD 120GB,Intel HD Graphics 4400,15.6 inch HD,99%, 2.1 kg,,HP
HP EliteBook 830 G5,6900000,https://techcare.vn/wp-content/uploads/2019/04/hp-elitebook-830-g5-1-300x300.png,https://techcare.vn/san-pham/hp-elitebook-830-g5-core-i5/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%,,3-cell,HP
Dell Latitude 5480,6900000,https://techcare.vn/wp-content/uploads/2020/05/dell-latitude-e5480-1-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-5480/,Core i7-7600U,8GB,SSD 120GB,Intel HD Graphics,14 inch Full HD,99%,1.6 kg,,DELL
Asus A411UA BV445T,10500000,https://techcare.vn/wp-content/uploads/2019/04/asus-a411ua-bv445t-300x300.png,https://techcare.vn/san-pham/asus-a411ua-bv445t-i5/,Core i5-8250U,4GB,HDD 1TB,Intel HD Graphics 620,14 inch Full HD,99%,1.4KG,,ASUS
Dell Latitude 3560,5900000,https://techcare.vn/wp-content/uploads/2022/06/dell-latitude-3560-1.png,https://techcare.vn/san-pham/dell-latitude-3560/,Core i5-5200U,4GB,SSD 120GB,Intel HD Graphics 5500,15.6 inch HD,99%,2.1 kg,6 Cells,DELL
Dell Vostro 3578,12600000,https://techcare.vn/wp-content/uploads/2019/04/dell-vostro-3578-7-300x300.png,https://techcare.vn/san-pham/dell-vostro-3578-i5/,Core i5-8250U,4GB,HDD 1TB,AMD Radeon 520,15.6 inch Full HD,99%,2.2kg,,DELL
Dell Latitude e7480,6500000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-e7480-1-300x300.png,https://techcare.vn/san-pham/dell-latitude-e7480-i7/,Core i7-6600U,8GB,SSD 240GB,Intel HD Graphics 520,14 inch HD,99%,,,DELL
Dell latitude 7490,7600000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-7490-300x300.png,https://techcare.vn/san-pham/dell-latitude-7490-core-i7/,Core i7-8650U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.4 kg,"4Cell, 60WHr",DELL
Lenovo Thinkpad T480,8500000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-t480-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t480-core-i7/,Core i7-8550U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,336.6 x 232.5 x 19.95 mm,3 Cells 24 Whrs,LENOVO
Dell Latitude 3540,6200000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-3540-300x300.png,https://techcare.vn/san-pham/dell-latitude-3540-i5/,Core i3-4005U,4GB,SSD 128GB,Intel HD Graphics 4400,15.6 inch HD,99%,2.3 kg,65Whr hoặc 40Whr,DELL
Dell Latitude e6440,5900000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-e6440-1-300x300.png,https://techcare.vn/san-pham/dell-latitude-e6440-i7/,Core i7–4600M,4GB,SSD 120GB,Intel Graphics 4600,14 inch HD,99%,2kg,6 cell,DELL
Dell Latitude e7440,5500000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-e7440-3-300x300.png,https://techcare.vn/san-pham/dell-latitude-e7440-i7/,Core i7-4600U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,,6 cells (sử dụng liên tục được 2-3 giờ),DELL
Lenovo Thinkpad T450s,9900000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-t450s-1-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t450s-i7/,Core i7-5600U,8GB,SSD 240GB,Intel HD Graphics 5500,14 inch Full HD,99%,,4 cell,LENOVO
HP Elitebook 850 G2,8600000,https://techcare.vn/wp-content/uploads/2019/04/hp-elitebook-850-g2-300x300.png,https://techcare.vn/san-pham/hp-elitebook-850-g2/,Core i5-5200U,4GB,SSD 240GB,Intel HD Graphics 5500,15.6 inch HD,99%,2.02 kg,,HP
Hp Elitebook 840 G3,7300000,https://techcare.vn/wp-content/uploads/2019/04/hp-elitebook-840-g3-1-300x300.png,https://techcare.vn/san-pham/hp-elitebook-840-g3/,Core i7-6600U,8GB,SSD 240GB,Intel HD Graphics 520,14 inch Full HD,99%,1.48 kg,"3Cell, 46WHr",HP
Dell Latitude e7270,5900000,https://techcare.vn/wp-content/uploads/2018/08/dell-latitude-e7270-300x300.png,https://techcare.vn/san-pham/dell-latitude-e7270/,Core i7-6600U,8GB,SSD 240GB,Intel HD Graphics 520,12.5 inch HD,99%,1.26 kg,4 Cell,DELL
