Product,Price,Image,Link,CPU,Ram,Storage,Graphics,Screen,Status,Weight,Battery,Brand
Lenovo V15 IGL 82C30080VN,6890000,https://techcare.vn/wp-content/uploads/2021/08/lenovo-v15-igl-82c30080vn-300x300.jpg,https://techcare.vn/san-pham/lenovo-v15-igl-82c30080vn/,Intel Pentium Silver N5030,4GB,SSD 256GB,Intel UHD Graphics 605,15.6 inch HD,100 %,1.85 kg,"2 cell, 30Wh",LENOVO
Dell Inspiron 5405,14900000,https://techcare.vn/wp-content/uploads/2022/07/dell-inspiron-5405-10-1-300x300.jpg,https://techcare.vn/san-pham/dell-inspiron-5405/,AMD Ryzen 5 4500U,16GB,SSD 512GB,AMD RX Vega 6,14 inch Full HD,100 %,1.4kg,3 cell 40wh,DELL
HP EliteBook 840 G7,10300000,https://techcare.vn/wp-content/uploads/2022/07/hp-elitebook-840-g7-300x300.jpg,https://techcare.vn/san-pham/hp-elitebook-840-g7/,Core i5-10310U,8GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,99%,,3 cell 53 Wh Lithium-Ion,HP
Dell Inspiron 5502,15300000,https://techcare.vn/wp-content/uploads/2022/08/dell-inspiron-5502-10-300x300.jpg,https://techcare.vn/san-pham/dell-inspiron-5502/,Core i5-1135G7,8GB,SSD 256GB,Intel Iris Xe Graphics,15.6 inch Full HD,100 %,,4 Cell – 51Wh,DELL
Dell inspiron 3505,11900000,https://techcare.vn/wp-content/uploads/2022/07/dell-inspiron-3505-15.jpg,https://techcare.vn/san-pham/dell-inspiron-3505-amd/,AMD Ryzen 5 3450U,8GB,SSD 256GB,AMD Radeon Graphics,15.6 inch Full HD cảm ứng,100 %,,3Cell 42Whrs,DELL
Dell Inspiron 15 7501,17900000,https://techcare.vn/wp-content/uploads/2022/08/dell-inspiron-15-7501-9-300x300.png,https://techcare.vn/san-pham/dell-inspiron-15-7501/,Core i5-10300H,8GB,SSD 256GB,Intel UHD Graphics,15.6 inch Full HD,100 %,,3 Cell 56WHr,DELL
Asus Vivobook A1503ZA-L1422W,19890000,https://techcare.vn/wp-content/uploads/2022/07/asus-vivobook-a1503za-l1422w-8-300x300.png,https://techcare.vn/san-pham/asus-vivobook-a1503za-l1422w/,Core i5-12500H,8GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,100 %,1.7kg,70 Wh,ASUS
Dell Inspiron 3505,10900000,https://techcare.vn/wp-content/uploads/2021/07/dell-inspiron-3505-7-300x300.png,https://techcare.vn/san-pham/dell-inspiron-3505/,AMD Ryzen 3-3250U,8GB,SSD 256GB,AMD Radeon Graphics,15.6 inch Full HD,New Outled,,3Cell 42Whrs,DELL
Dell Precision 7550,23500000,https://techcare.vn/wp-content/uploads/2020/04/dell-precision-7550-19-300x300.png,https://techcare.vn/san-pham/dell-precision-7550/,Core i7-10750H,16GB,SSD 512GB,Nvidia Quadro T1000 4GB,15.6 inch Full HD,99%,,95WHr,DELL
Lenovo ThinkPad P15s G2,21500000,https://techcare.vn/wp-content/uploads/2022/08/lenovo-thinkpad-p15s-g2.jpg,https://techcare.vn/san-pham/laptop-lenovo-thinkpad-p15s-g2/,Core i7-1165G7,16GB,SSD 512GB,Nvidia Quadro T500 4GB,15.6 inch Full HD,99%,1.783 kg,4 Cell 50Wh,LENOVO
Dell Precision m5550,23500000,https://techcare.vn/wp-content/uploads/2021/06/dell-precision-m5550-18-300x300.png,https://techcare.vn/san-pham/dell-precision-m5550/,Core i7-10850H,16GB,SSD 256GB,Nvidia Quadro T1000 4GB,15.6 inch Full HD,99%,,56WHr,DELL
HP Zbook Firefly 14 G7,17900000,https://techcare.vn/wp-content/uploads/2022/07/hp-zbook-firefly-14-g7-300x300.jpg,https://techcare.vn/san-pham/hp-zbook-firefly-14-g7/,Core i5-10310U,16GB,SSD 256GB,Intel UHD Graphics,14 inch Full HD,New Outled,,"3 cell, 56 Wh",HP
Dell G3 3579,10900000,https://techcare.vn/wp-content/uploads/2020/02/dell-g3-3579-300x300.png,https://techcare.vn/san-pham/dell-g3-3579/,Core i5-8300H,8GB,SSD 128GB + SSD 256GB,Nvidia Geforce GTX 1050Ti 4GB,15.6 inch Full HD,99%,,4 Cell 56WHr,DELL
